# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.850000,0.850000,0.655370,0.655370
399,0.827500,0.805000,0.601133,0.546301
599,0.835000,0.850000,0.609097,0.625000
799,0.826250,0.800000,0.586930,0.519404
999,0.827000,0.830000,0.588526,0.595431
1199,0.821667,0.795000,0.575672,0.514793
1399,0.823571,0.835000,0.578708,0.597266
1599,0.824375,0.830000,0.580921,0.596965
1799,0.830556,0.880000,0.594541,0.706134
1999,0.833000,0.855000,0.598887,0.638944
2199,0.831364,0.815000,0.597301,0.580594
2399,0.832500,0.845000,0.601571,0.645552
2599,0.834615,0.860000,0.605679,0.656484
2799,0.835000,0.840000,0.605617,0.604401
2999,0.833667,0.815000,0.602408,0.557522
3199,0.837187,0.890000,0.608337,0.703304
3399,0.836471,0.825000,0.606039,0.568328
3599,0.835556,0.820000,0.603083,0.551346
3799,0.837895,0.880000,0.609669,0.722447
3999,0.837000,0.820000,0.609346,0.600533
4199,0.835000,0.795000,0.604642,0.511323
4399,0.833636,0.805000,0.600554,0.509434
4599,0.832609,0.810000,0.598754,0.559931
4799,0.832083,0.820000,0.599612,0.610895
4999,0.832400,0.840000,0.599081,0.582409
5199,0.831923,0.820000,0.598939,0.593679
5399,0.832037,0.835000,0.598726,0.592995
5599,0.834107,0.890000,0.603564,0.735545
5799,0.833448,0.815000,0.602127,0.562234
5999,0.834333,0.860000,0.603589,0.649606
6199,0.833548,0.810000,0.603633,0.594840
6399,0.834844,0.875000,0.605816,0.677169
6599,0.835303,0.850000,0.607509,0.658159
6799,0.835882,0.855000,0.608728,0.649674
6999,0.835714,0.830000,0.608232,0.591346
7199,0.835972,0.845000,0.608347,0.614907
7399,0.836081,0.840000,0.607339,0.558011
7599,0.835658,0.820000,0.606709,0.583671
7799,0.835641,0.835000,0.606875,0.612858
7999,0.835125,0.815000,0.606288,0.583333
8199,0.835732,0.860000,0.606369,0.598624
8399,0.837024,0.890000,0.609332,0.732912
8599,0.837907,0.875000,0.611130,0.689055
8799,0.838182,0.850000,0.612196,0.655331
8999,0.837778,0.820000,0.610387,0.517620
9199,0.837391,0.820000,0.609114,0.548646
9399,0.837340,0.835000,0.608384,0.569191
9599,0.836875,0.815000,0.608064,0.590617
9799,0.837041,0.845000,0.608262,0.617756
9999,0.836600,0.815000,0.606858,0.533770
