# TEST CONFIGURATION BEGIN
# FileStream(filename='weather.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.760000,0.760000,0.000000,0.000000
399,0.680000,0.600000,0.000000,0.000000
599,0.721667,0.805000,0.000000,0.000000
799,0.688750,0.590000,0.000000,0.000000
999,0.696000,0.725000,0.000000,0.000000
1199,0.683333,0.620000,0.000000,0.000000
1399,0.690714,0.735000,0.000000,0.000000
1599,0.696875,0.740000,0.000000,0.000000
1799,0.696111,0.690000,0.000000,0.000000
1999,0.705000,0.785000,0.000000,0.000000
2199,0.695000,0.595000,0.000000,0.000000
2399,0.699583,0.750000,0.000000,0.000000
2599,0.693077,0.615000,0.000000,0.000000
2799,0.700357,0.795000,0.000000,0.000000
2999,0.696667,0.645000,0.000000,0.000000
3199,0.700937,0.765000,0.000000,0.000000
3399,0.702647,0.730000,0.000000,0.000000
3599,0.700833,0.670000,0.000000,0.000000
3799,0.698684,0.660000,0.000000,0.000000
3999,0.692750,0.580000,0.000000,0.000000
4199,0.694286,0.725000,0.000000,0.000000
4399,0.693636,0.680000,0.000000,0.000000
4599,0.696087,0.750000,0.000000,0.000000
4799,0.694583,0.660000,0.000000,0.000000
4999,0.696600,0.745000,0.000000,0.000000
5199,0.698846,0.755000,0.000000,0.000000
5399,0.700000,0.730000,0.000000,0.000000
5599,0.699464,0.685000,0.000000,0.000000
5799,0.699655,0.705000,0.000000,0.000000
5999,0.703000,0.800000,0.000000,0.000000
6199,0.702581,0.690000,0.000000,0.000000
6399,0.706719,0.835000,0.000000,0.000000
6599,0.706212,0.690000,0.000000,0.000000
6799,0.710294,0.845000,0.000000,0.000000
6999,0.708714,0.655000,0.000000,0.000000
7199,0.708333,0.695000,0.000000,0.000000
7399,0.706892,0.655000,0.000000,0.000000
7599,0.705000,0.635000,0.000000,0.000000
7799,0.706795,0.775000,0.000000,0.000000
7999,0.703375,0.570000,0.000000,0.000000
8199,0.701951,0.645000,0.000000,0.000000
8399,0.696786,0.485000,0.000000,0.000000
8599,0.695930,0.660000,0.000000,0.000000
8799,0.692841,0.560000,0.000000,0.000000
8999,0.692556,0.680000,0.000000,0.000000
9199,0.691413,0.640000,0.000000,0.000000
9399,0.692021,0.720000,0.000000,0.000000
9599,0.693438,0.760000,0.000000,0.000000
9799,0.690918,0.570000,0.000000,0.000000
9999,0.692300,0.760000,0.000000,0.000000
