# TEST CONFIGURATION BEGIN
# KafkaStream(topic='covtype', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.800000,0.800000,0.718290,0.718290
399,0.740000,0.680000,0.640250,0.565763
599,0.680000,0.560000,0.565812,0.415748
799,0.633750,0.495000,0.512378,0.353269
999,0.592000,0.425000,0.467930,0.287529
1199,0.564167,0.425000,0.438205,0.294933
1399,0.532143,0.340000,0.409131,0.262178
1599,0.520000,0.435000,0.415973,0.284946
1799,0.521111,0.530000,0.426899,0.379620
1999,0.518500,0.495000,0.428828,0.384896
2199,0.517273,0.505000,0.430329,0.378492
2399,0.498750,0.295000,0.412417,0.176113
2599,0.493077,0.425000,0.407652,0.318801
2799,0.484286,0.370000,0.399929,0.260194
2999,0.468667,0.250000,0.384606,0.125466
3199,0.460625,0.340000,0.377152,0.224396
3399,0.456765,0.395000,0.373161,0.263789
3599,0.451389,0.360000,0.366870,0.220724
3799,0.456316,0.545000,0.372722,0.436550
3999,0.464000,0.610000,0.380946,0.484332
4199,0.477857,0.755000,0.396916,0.615098
4399,0.482273,0.575000,0.401712,0.254647
4599,0.485217,0.550000,0.404108,0.283953
4799,0.475417,0.250000,0.391828,-0.012624
4999,0.463000,0.165000,0.376549,-0.131820
5199,0.456731,0.300000,0.368024,0.038726
5399,0.453333,0.365000,0.362391,0.027751
5599,0.452500,0.430000,0.359224,0.138648
5799,0.447931,0.320000,0.354284,0.224607
5999,0.437833,0.145000,0.344141,0.043196
6199,0.433871,0.315000,0.340730,0.054129
6399,0.431719,0.365000,0.338695,0.244857
6599,0.443939,0.835000,0.351295,0.631799
6799,0.453382,0.765000,0.360719,0.639847
6999,0.464571,0.845000,0.372966,0.801702
7199,0.475417,0.855000,0.386051,0.813114
7399,0.485270,0.840000,0.398564,0.793701
7599,0.495000,0.855000,0.411515,0.727533
7799,0.505513,0.905000,0.424949,0.829198
7999,0.513750,0.835000,0.435228,0.759168
8199,0.515488,0.585000,0.437803,0.444593
8399,0.513214,0.420000,0.435539,0.285582
8599,0.511512,0.440000,0.433437,0.325667
8799,0.510455,0.465000,0.432101,0.341336
8999,0.505222,0.275000,0.426161,0.172233
9199,0.502717,0.390000,0.423138,0.253183
9399,0.504681,0.595000,0.425070,0.486513
9599,0.503437,0.445000,0.423402,0.179510
9799,0.499082,0.290000,0.417925,-0.002789
9999,0.494700,0.280000,0.412867,0.186280
