# TEST CONFIGURATION BEGIN
# KafkaStream(topic='elec', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.830000,0.830000,0.664826,0.664826
399,0.752500,0.675000,0.494924,0.304069
599,0.773333,0.815000,0.523058,0.565626
799,0.762500,0.730000,0.515155,0.485910
999,0.782000,0.860000,0.551041,0.696477
1199,0.805833,0.925000,0.606244,0.846782
1399,0.801429,0.775000,0.598282,0.562086
1599,0.808125,0.855000,0.605428,0.583573
1799,0.813333,0.855000,0.615858,0.700351
1999,0.814500,0.825000,0.617026,0.629786
2199,0.805000,0.710000,0.595783,0.384093
2399,0.786250,0.580000,0.559273,0.253201
2599,0.785769,0.780000,0.557818,0.541667
2799,0.786071,0.790000,0.562038,0.571996
2999,0.792000,0.875000,0.575690,0.750100
3199,0.796562,0.865000,0.586060,0.730754
3399,0.797353,0.810000,0.589103,0.616935
3599,0.799167,0.830000,0.593488,0.660306
3799,0.801579,0.845000,0.599302,0.689628
3999,0.805500,0.880000,0.607721,0.759784
4199,0.809048,0.880000,0.614828,0.758040
4399,0.805909,0.740000,0.608885,0.487987
4599,0.807174,0.835000,0.612193,0.658031
4799,0.806875,0.800000,0.611427,0.595755
4999,0.809200,0.865000,0.616235,0.731824
5199,0.811538,0.870000,0.621819,0.708226
5399,0.812593,0.840000,0.624062,0.679872
5599,0.813036,0.825000,0.624973,0.650350
5799,0.812586,0.800000,0.623746,0.572147
5999,0.813000,0.825000,0.623996,0.582339
6199,0.809194,0.695000,0.615955,0.342105
6399,0.804844,0.670000,0.606446,0.198251
6599,0.798485,0.595000,0.593438,0.181653
6799,0.796176,0.720000,0.589321,0.432337
6999,0.794429,0.735000,0.585350,0.418605
7199,0.794028,0.780000,0.584429,0.550699
7399,0.793243,0.765000,0.582580,0.507234
7599,0.790921,0.705000,0.578328,0.424951
7799,0.791026,0.795000,0.578654,0.590000
7999,0.793250,0.880000,0.583801,0.740961
8199,0.796585,0.930000,0.590544,0.859663
8399,0.798571,0.880000,0.594903,0.753770
8599,0.799186,0.825000,0.596078,0.652778
8799,0.801591,0.905000,0.601242,0.805328
8999,0.803111,0.870000,0.604407,0.740623
9199,0.801304,0.720000,0.600833,0.455677
9399,0.801064,0.790000,0.599987,0.518845
9599,0.802500,0.870000,0.603003,0.741653
9799,0.802551,0.805000,0.603091,0.612403
9999,0.800400,0.695000,0.598091,0.016129
