# TEST CONFIGURATION BEGIN
# KafkaStream(topic='moving_squares', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_moving_squares.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.200000,0.200000,-0.066667,-0.066667
399,0.177500,0.155000,-0.096667,-0.126667
599,0.208333,0.270000,-0.055556,0.026667
799,0.248750,0.370000,-0.001667,0.160000
999,0.268000,0.345000,0.024000,0.126667
1199,0.272500,0.295000,0.030000,0.060000
1399,0.264286,0.215000,0.019048,-0.046667
1599,0.256250,0.200000,0.008333,-0.066667
1799,0.269444,0.375000,0.025926,0.166667
1999,0.283500,0.410000,0.044667,0.213333
2199,0.289545,0.350000,0.052727,0.133333
2399,0.287500,0.265000,0.050000,0.020000
2599,0.288462,0.300000,0.051282,0.066667
2799,0.284643,0.235000,0.046190,-0.020000
2999,0.285333,0.295000,0.047111,0.060000
3199,0.286250,0.300000,0.048333,0.066667
3399,0.292353,0.390000,0.056471,0.186667
3599,0.301944,0.465000,0.069259,0.286667
3799,0.307105,0.400000,0.076140,0.200000
3999,0.319500,0.555000,0.092667,0.406667
4199,0.322857,0.390000,0.097143,0.186667
4399,0.322955,0.325000,0.097273,0.100000
4599,0.321957,0.300000,0.095942,0.066667
4799,0.317500,0.215000,0.090000,-0.046667
4999,0.317000,0.305000,0.089333,0.073333
5199,0.314231,0.245000,0.085641,-0.006667
5399,0.316111,0.365000,0.088148,0.153333
5599,0.319286,0.405000,0.092381,0.206667
5799,0.322241,0.405000,0.096322,0.206667
5999,0.317500,0.180000,0.090000,-0.093333
6199,0.314032,0.210000,0.085376,-0.053333
6399,0.313437,0.295000,0.084583,0.060000
6599,0.315000,0.365000,0.086667,0.153333
6799,0.316324,0.360000,0.088431,0.146667
6999,0.315429,0.285000,0.087238,0.046667
7199,0.311667,0.180000,0.082222,-0.093333
7399,0.308243,0.185000,0.077658,-0.086667
7599,0.310526,0.395000,0.080702,0.193333
7799,0.311538,0.350000,0.082051,0.133333
7999,0.313125,0.375000,0.084167,0.166667
8199,0.313415,0.325000,0.084553,0.100000
8399,0.313095,0.300000,0.084127,0.066667
8599,0.310698,0.210000,0.080930,-0.053333
8799,0.310568,0.305000,0.080758,0.073333
8999,0.310111,0.290000,0.080148,0.053333
9199,0.313804,0.480000,0.085072,0.306667
9399,0.317340,0.480000,0.089787,0.306667
9599,0.318229,0.360000,0.090972,0.146667
9799,0.321837,0.495000,0.095782,0.326667
9999,0.322900,0.375000,0.097200,0.166667
