# TEST CONFIGURATION BEGIN
# KafkaStream(topic='sea_big', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_sea_big.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.885000,0.885000,0.768751,0.768751
399,0.875000,0.865000,0.748035,0.727218
599,0.875000,0.875000,0.747288,0.745418
799,0.873750,0.870000,0.742567,0.724372
999,0.874000,0.875000,0.744271,0.749399
1199,0.873333,0.870000,0.741519,0.724226
1399,0.875714,0.890000,0.745807,0.771761
1599,0.876875,0.885000,0.747925,0.762789
1799,0.876667,0.875000,0.747022,0.739094
1999,0.875500,0.865000,0.743691,0.709615
2199,0.877727,0.900000,0.746370,0.764123
2399,0.878750,0.890000,0.747107,0.749316
2599,0.878462,0.875000,0.746148,0.734043
2799,0.880357,0.905000,0.749957,0.799874
2999,0.880333,0.880000,0.749895,0.749033
3199,0.881250,0.895000,0.752933,0.789748
3399,0.882647,0.905000,0.756706,0.809619
3599,0.880556,0.845000,0.752447,0.680412
3799,0.879737,0.865000,0.751348,0.729024
3999,0.880500,0.895000,0.753592,0.789874
4199,0.881429,0.900000,0.755612,0.795585
4399,0.879773,0.845000,0.752340,0.684318
4599,0.879348,0.870000,0.751588,0.735045
4799,0.878750,0.865000,0.750658,0.728042
4999,0.878800,0.880000,0.750886,0.755974
5199,0.878654,0.875000,0.750776,0.747219
5399,0.879444,0.900000,0.752120,0.786758
5599,0.877857,0.835000,0.748833,0.660004
5799,0.877931,0.880000,0.748550,0.734484
5999,0.878833,0.905000,0.750252,0.800000
6199,0.877903,0.850000,0.748289,0.689055
6399,0.877344,0.860000,0.747264,0.715649
6599,0.877576,0.885000,0.747866,0.766355
6799,0.878088,0.895000,0.748969,0.785276
6999,0.877857,0.870000,0.748294,0.722933
7199,0.877778,0.875000,0.748124,0.742162
7399,0.877027,0.850000,0.746535,0.688893
7599,0.876316,0.850000,0.744909,0.681799
7799,0.876282,0.875000,0.744607,0.730138
7999,0.875625,0.850000,0.743127,0.683377
8199,0.876463,0.910000,0.744871,0.814720
8399,0.876071,0.860000,0.743999,0.708181
8599,0.875930,0.870000,0.743856,0.736815
8799,0.875568,0.860000,0.743112,0.711697
8999,0.875000,0.850000,0.742032,0.695987
9199,0.875978,0.920000,0.743979,0.832618
9399,0.876596,0.905000,0.745158,0.799916
9599,0.875833,0.840000,0.743611,0.672131
9799,0.875408,0.855000,0.743007,0.709710
9999,0.874900,0.850000,0.742142,0.698825
