# TEST CONFIGURATION BEGIN
# KafkaStream(topic='weather', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.815000,0.815000,0.458114,0.458114
399,0.772500,0.730000,0.471790,0.442149
599,0.805000,0.870000,0.497019,0.520737
799,0.776250,0.690000,0.463268,0.351668
999,0.794000,0.865000,0.493387,0.625520
1199,0.802500,0.845000,0.529292,0.670213
1399,0.801429,0.795000,0.518666,0.437277
1599,0.807500,0.850000,0.526140,0.578652
1799,0.806667,0.800000,0.526450,0.528302
1999,0.813500,0.875000,0.533464,0.591770
2199,0.807727,0.750000,0.523087,0.436937
2399,0.807083,0.800000,0.517558,0.444984
2599,0.793846,0.635000,0.494250,0.234801
2799,0.796786,0.835000,0.490597,0.342629
2999,0.794333,0.760000,0.490792,0.479167
3199,0.794063,0.790000,0.481619,0.235669
3399,0.793235,0.780000,0.474458,0.323493
3599,0.791389,0.760000,0.467217,0.346761
3799,0.790526,0.775000,0.465314,0.436373
3999,0.786750,0.715000,0.458152,0.355495
4199,0.788571,0.825000,0.460249,0.502134
4399,0.787273,0.760000,0.456235,0.372959
4599,0.787826,0.800000,0.452884,0.333333
4799,0.784583,0.710000,0.443514,0.229236
4999,0.785200,0.800000,0.441092,0.350649
5199,0.785962,0.805000,0.438780,0.341216
5399,0.787407,0.825000,0.439672,0.458037
5599,0.788036,0.805000,0.441834,0.498715
5799,0.787931,0.785000,0.441013,0.417028
5999,0.789667,0.840000,0.440856,0.398496
6199,0.787742,0.730000,0.436367,0.305645
6399,0.790781,0.885000,0.438893,0.505801
6599,0.790000,0.765000,0.437127,0.382067
6799,0.792647,0.880000,0.438443,0.438334
6999,0.793143,0.810000,0.443886,0.576696
7199,0.793056,0.790000,0.443296,0.423077
7399,0.791757,0.745000,0.441978,0.393579
7599,0.790526,0.745000,0.440524,0.391408
7799,0.791410,0.825000,0.440033,0.396552
7999,0.789875,0.730000,0.439667,0.415837
8199,0.788293,0.725000,0.435537,0.289222
8399,0.784524,0.630000,0.431105,0.271151
8599,0.784070,0.765000,0.429780,0.381579
8799,0.783182,0.745000,0.431720,0.465297
8999,0.783778,0.810000,0.433252,0.501574
9199,0.784239,0.805000,0.435658,0.532822
9399,0.783723,0.760000,0.432472,0.244689
9599,0.784167,0.805000,0.431095,0.317705
9799,0.783469,0.750000,0.431979,0.457465
9999,0.784200,0.820000,0.431249,0.348770
