# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True), HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)], window_size=100)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.agrawal_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,1.000000,1.000000,1.000000,1.000000
501,1.000000,1.000000,1.000000,1.000000
599,0.360000,0.360000,-0.221374,-0.221374
799,0.550000,0.645000,0.105960,0.283552
999,0.712000,0.955000,0.418219,0.907900
1199,0.648571,0.490000,0.298911,0.019985
1399,0.660000,0.700000,0.313737,0.350298
1599,0.626364,0.475000,0.247979,-0.042287
1799,0.633846,0.675000,0.264323,0.351556
1999,0.616667,0.505000,0.233009,0.027887
2199,0.608235,0.545000,0.214710,0.075203
2399,0.619474,0.715000,0.233490,0.397463
2599,0.649048,0.930000,0.291328,0.856366
2799,0.652609,0.690000,0.300159,0.387654
2999,0.656800,0.705000,0.307516,0.399797
3199,0.665926,0.780000,0.322975,0.524427
3399,0.669655,0.720000,0.331719,0.441564
3599,0.686452,0.930000,0.363264,0.849138
3799,0.689091,0.730000,0.367935,0.439834
3999,0.691429,0.730000,0.371151,0.420352
4199,0.704054,0.925000,0.394738,0.834034
4399,0.693590,0.500000,0.373672,-0.004319
4599,0.695854,0.740000,0.377793,0.459235
4799,0.696744,0.715000,0.378726,0.393488
4999,0.696667,0.695000,0.378727,0.380333
5199,0.705319,0.900000,0.395827,0.790246
5399,0.715714,0.960000,0.415868,0.913345
5599,0.714510,0.685000,0.413793,0.363893
5799,0.716604,0.770000,0.418101,0.527915
5999,0.708909,0.505000,0.402683,0.003021
6199,0.710000,0.740000,0.404419,0.452920
6399,0.717797,0.940000,0.418889,0.866310
6599,0.724590,0.925000,0.431052,0.822695
6799,0.718571,0.535000,0.418474,0.031653
6999,0.712154,0.510000,0.405374,-0.004098
7199,0.706269,0.515000,0.392794,-0.027542
7399,0.712319,0.915000,0.404139,0.808256
7599,0.706901,0.520000,0.394267,0.073359
7799,0.706164,0.680000,0.392229,0.315654
7999,0.701200,0.520000,0.382974,0.059100
8199,0.700909,0.690000,0.382295,0.356646
8399,0.694937,0.465000,0.370819,-0.055227
8599,0.699877,0.895000,0.380283,0.772185
8799,0.700361,0.720000,0.380804,0.404255
8999,0.705647,0.925000,0.391519,0.842932
9199,0.705977,0.720000,0.392460,0.432279
9399,0.700562,0.465000,0.382156,-0.040047
9599,0.700659,0.705000,0.381702,0.352928
9799,0.701613,0.745000,0.383556,0.469965
9999,0.699263,0.590000,0.378964,0.169368
10199,0.704021,0.930000,0.387770,0.840619
10399,0.704343,0.720000,0.387819,0.382988
10599,0.704950,0.735000,0.389475,0.470000
10799,0.705340,0.725000,0.390080,0.420076
10999,0.706190,0.750000,0.391548,0.468368
11199,0.706449,0.720000,0.392396,0.436166
11399,0.703211,0.530000,0.385830,0.043938
11599,0.703874,0.740000,0.386948,0.447690
11799,0.703894,0.705000,0.386901,0.384134
11999,0.707913,0.935000,0.394605,0.856860
12199,0.704359,0.500000,0.387754,0.009214
12399,0.704538,0.715000,0.387974,0.400631
12599,0.704463,0.700000,0.387901,0.388005
12799,0.701545,0.525000,0.382650,0.053785
12999,0.697600,0.455000,0.375027,-0.090436
13199,0.693386,0.430000,0.366654,-0.145498
13399,0.689535,0.445000,0.359298,-0.109113
13599,0.687099,0.530000,0.354813,0.059530
13799,0.684211,0.495000,0.349225,-0.013039
13999,0.680741,0.450000,0.342941,-0.103531
14199,0.677591,0.465000,0.336890,-0.070428
14399,0.675180,0.510000,0.332305,0.017642
14599,0.672553,0.490000,0.327356,-0.019694
14799,0.670070,0.495000,0.322758,-0.009596
14999,0.667793,0.505000,0.318496,0.009406
15199,0.665102,0.470000,0.313672,-0.049609
15399,0.663154,0.520000,0.310114,0.040767
15599,0.660861,0.490000,0.305947,-0.015127
15799,0.657908,0.435000,0.300017,-0.131358
15999,0.655742,0.490000,0.296086,-0.017456
16199,0.652611,0.410000,0.289716,-0.186645
16399,0.650189,0.460000,0.285150,-0.076448
16599,0.648261,0.495000,0.281451,-0.012836
16799,0.646503,0.505000,0.278017,0.004425
16999,0.644606,0.490000,0.273843,-0.039649
17199,0.642695,0.485000,0.270337,-0.029382
17399,0.640828,0.485000,0.266943,-0.025896
17599,0.639708,0.545000,0.264637,0.081736
17799,0.638150,0.505000,0.261586,0.009009
17999,0.636629,0.505000,0.258900,0.014141
18199,0.635254,0.515000,0.256380,0.029806
18399,0.633687,0.495000,0.253647,-0.011821
18599,0.631436,0.430000,0.248960,-0.130056
18799,0.629399,0.445000,0.245085,-0.109113
18999,0.627892,0.490000,0.242021,-0.025744
19199,0.627219,0.565000,0.240943,0.130174
19399,0.625873,0.500000,0.238143,-0.016777
19599,0.624817,0.525000,0.235894,0.034357
19799,0.623368,0.485000,0.233161,-0.028560
19999,0.621487,0.440000,0.229239,-0.145663
