# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.covtype.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.555000,0.555000,0.123110,0.123110
700,0.375000,0.195000,0.028928,0.035813
900,0.340000,0.270000,0.033451,0.021939
1100,0.326250,0.285000,-0.052156,0.003623
1300,0.403000,0.710000,0.086382,0.552831
1500,0.437500,0.610000,0.150280,0.445097
1700,0.421429,0.325000,0.150774,0.206862
1900,0.453750,0.680000,0.241552,0.616766
2100,0.442222,0.350000,0.256110,0.265786
2300,0.458500,0.605000,0.289405,0.489928
2500,0.478636,0.680000,0.330349,0.591472
2700,0.483750,0.540000,0.347040,0.416632
2900,0.484231,0.490000,0.358321,0.376204
3100,0.497143,0.665000,0.382742,0.513400
3300,0.503333,0.590000,0.395478,0.431385
3500,0.525312,0.855000,0.424883,0.732509
3700,0.540000,0.775000,0.444125,0.588327
3900,0.555000,0.810000,0.461630,0.520565
4100,0.564474,0.735000,0.471655,0.513851
4300,0.577250,0.820000,0.485750,0.715348
4500,0.585476,0.750000,0.493987,0.602623
4700,0.592500,0.740000,0.501047,0.583083
4900,0.599565,0.755000,0.509693,0.667616
5100,0.599792,0.605000,0.509171,0.452965
5300,0.601000,0.630000,0.510581,0.466763
5500,0.603846,0.675000,0.514734,0.563978
5700,0.602037,0.555000,0.513705,0.425083
5900,0.599107,0.520000,0.511118,0.257368
6100,0.601379,0.665000,0.514153,0.480842
6300,0.591500,0.305000,0.503430,0.207345
6500,0.577742,0.165000,0.488536,0.033341
6700,0.576875,0.550000,0.488995,0.443190
6900,0.566818,0.245000,0.478228,0.135438
7100,0.561912,0.400000,0.474084,0.291492
7300,0.558000,0.425000,0.471954,0.347777
7500,0.546667,0.150000,0.460918,0.100815
7700,0.551757,0.735000,0.468681,0.659043
7900,0.553289,0.610000,0.471982,0.493161
8100,0.552821,0.535000,0.472330,0.442947
8300,0.553250,0.570000,0.473624,0.473233
8500,0.555854,0.660000,0.477318,0.566824
8700,0.557619,0.630000,0.480053,0.543632
8900,0.558372,0.590000,0.482097,0.366012
9100,0.561591,0.700000,0.487192,0.472342
9300,0.565000,0.715000,0.492263,0.477088
9500,0.568043,0.705000,0.496491,0.481091
9700,0.561702,0.270000,0.489658,0.062209
9900,0.551562,0.075000,0.478349,-0.010294
