# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.elec.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.710000,0.710000,0.416910,0.416910
700,0.797500,0.885000,0.598752,0.764634
900,0.828333,0.890000,0.650302,0.753557
1100,0.820000,0.795000,0.616184,0.370586
1300,0.833000,0.885000,0.618509,0.462617
1500,0.828333,0.805000,0.615546,0.594679
1700,0.805714,0.670000,0.580858,0.395604
1900,0.800000,0.760000,0.569244,0.495003
2100,0.761111,0.450000,0.488671,-0.107531
2300,0.757000,0.720000,0.479312,0.408096
2500,0.759545,0.785000,0.488506,0.565129
2700,0.752083,0.670000,0.473631,0.316770
2900,0.760000,0.855000,0.488591,0.679133
3100,0.756071,0.705000,0.478710,0.353070
3300,0.761333,0.835000,0.496646,0.667473
3500,0.770625,0.910000,0.506936,0.488636
3700,0.774412,0.835000,0.511831,0.582278
3900,0.775000,0.785000,0.511295,0.503235
4100,0.777105,0.815000,0.508621,0.227880
4300,0.776750,0.770000,0.509607,0.527090
4500,0.779762,0.840000,0.517069,0.662269
4700,0.783636,0.865000,0.524299,0.682801
4900,0.781957,0.745000,0.521808,0.467641
5100,0.785208,0.860000,0.529946,0.709091
5300,0.782600,0.720000,0.523239,0.373251
5500,0.785769,0.865000,0.533542,0.730000
5700,0.779074,0.605000,0.521606,0.268925
5900,0.769286,0.505000,0.499081,0.000000
6100,0.769138,0.765000,0.500110,0.526019
6300,0.767833,0.730000,0.497526,0.427238
6500,0.766774,0.735000,0.495807,0.467122
6700,0.772031,0.935000,0.504977,0.825971
6900,0.770606,0.725000,0.503016,0.457487
7100,0.767353,0.660000,0.495650,0.284436
7300,0.770000,0.860000,0.503723,0.724219
7500,0.773611,0.900000,0.514662,0.798550
7700,0.776216,0.870000,0.523036,0.735369
7900,0.777632,0.830000,0.529555,0.627724
8100,0.781667,0.935000,0.539000,0.869268
8300,0.780875,0.750000,0.539703,0.494745
8500,0.779390,0.720000,0.537422,0.467022
8700,0.783452,0.950000,0.548052,0.894515
8900,0.783837,0.800000,0.547864,0.514091
9100,0.783295,0.760000,0.548397,0.520000
9300,0.782667,0.755000,0.548540,0.516670
9500,0.781087,0.710000,0.546166,0.420000
9700,0.784574,0.945000,0.554083,0.890307
9900,0.787604,0.930000,0.562226,0.838094
10100,0.786939,0.755000,0.562188,0.490008
10300,0.786800,0.780000,0.562281,0.560922
10500,0.787353,0.815000,0.563612,0.629035
