# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.hyperplane_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.455000,0.455000,-0.070517,-0.070517
700,0.532500,0.610000,0.046891,0.193882
900,0.550000,0.585000,0.085035,0.182749
1100,0.561250,0.595000,0.121182,0.148802
1300,0.575000,0.630000,0.148611,0.259333
1500,0.566667,0.525000,0.132128,0.050190
1700,0.562857,0.540000,0.123971,0.073048
1900,0.561875,0.555000,0.121873,0.107501
2100,0.565000,0.590000,0.128651,0.180000
2300,0.569500,0.610000,0.137556,0.222100
2500,0.562273,0.490000,0.124647,0.000000
2700,0.563333,0.575000,0.126991,0.000000
2900,0.559615,0.515000,0.120010,0.052734
3100,0.563571,0.615000,0.127406,0.226131
3300,0.564667,0.580000,0.129927,0.157895
3500,0.562813,0.535000,0.126556,0.071671
3700,0.567059,0.635000,0.134670,0.266332
3900,0.568333,0.590000,0.137712,0.196708
4100,0.571316,0.625000,0.144350,0.266719
4300,0.571750,0.580000,0.145122,0.117647
4500,0.573571,0.610000,0.149024,0.229249
4700,0.573864,0.580000,0.149473,0.156288
4900,0.578696,0.685000,0.159640,0.366197
5100,0.581667,0.650000,0.165382,0.299369
5300,0.576400,0.450000,0.155721,-0.020030
5500,0.581731,0.715000,0.166644,0.424823
5700,0.585185,0.675000,0.173930,0.350779
5900,0.588750,0.685000,0.180986,0.365814
6100,0.592414,0.695000,0.187682,0.394240
6300,0.596333,0.710000,0.195330,0.419826
6500,0.598710,0.670000,0.199670,0.342957
6700,0.600625,0.660000,0.203362,0.320000
6900,0.601364,0.625000,0.204589,0.249700
7100,0.603235,0.665000,0.208585,0.321450
7300,0.601571,0.545000,0.204859,0.098117
7500,0.603889,0.685000,0.209124,0.376731
7700,0.605676,0.670000,0.212718,0.338346
7900,0.608158,0.700000,0.217362,0.405941
8100,0.609103,0.645000,0.219323,0.288006
8300,0.611250,0.695000,0.223418,0.383340
8500,0.612561,0.665000,0.226028,0.328388
8700,0.613452,0.650000,0.227703,0.299440
8900,0.612791,0.585000,0.226453,0.172483
9100,0.613636,0.650000,0.228281,0.296624
9300,0.612778,0.575000,0.226350,0.159248
9500,0.614457,0.690000,0.229618,0.377197
9700,0.616277,0.700000,0.233263,0.400719
9900,0.616458,0.625000,0.233490,0.255214
10100,0.617245,0.655000,0.235004,0.306951
10300,0.619300,0.720000,0.239108,0.439327
10500,0.620294,0.670000,0.241104,0.336817
10700,0.621154,0.665000,0.242858,0.327984
10900,0.622358,0.685000,0.245216,0.370881
11100,0.623611,0.690000,0.247658,0.379069
11300,0.624455,0.670000,0.249369,0.341054
11500,0.625625,0.690000,0.251660,0.380929
11700,0.625702,0.630000,0.251735,0.268413
11900,0.623879,0.520000,0.248192,0.074342
12100,0.622881,0.565000,0.246156,0.018059
12300,0.620500,0.480000,0.241555,0.032738
12500,0.621475,0.680000,0.243448,0.360575
12700,0.622258,0.670000,0.244891,0.341777
12900,0.623175,0.680000,0.246617,0.354774
13100,0.623203,0.625000,0.246549,0.243341
13300,0.623154,0.620000,0.246444,0.236871
13500,0.622879,0.605000,0.245898,0.210000
13700,0.623209,0.645000,0.246627,0.296333
13900,0.624044,0.680000,0.248342,0.355813
14100,0.623768,0.605000,0.247840,0.213147
14300,0.624071,0.645000,0.248539,0.284995
14500,0.623873,0.610000,0.248121,0.211803
14700,0.624097,0.640000,0.248545,0.272433
14900,0.624726,0.670000,0.249698,0.292453
15100,0.625000,0.645000,0.250263,0.289147
15300,0.624867,0.615000,0.249975,0.229229
15500,0.624539,0.600000,0.249260,0.208548
15700,0.624935,0.655000,0.250039,0.309862
15900,0.624359,0.580000,0.248794,0.153908
16100,0.623861,0.585000,0.247747,0.122065
16300,0.623313,0.580000,0.246571,0.106098
16500,0.622346,0.545000,0.244682,0.118217
16700,0.622195,0.610000,0.244399,0.215923
16900,0.621566,0.570000,0.243105,0.128143
17100,0.621548,0.620000,0.243040,0.233330
17300,0.620176,0.505000,0.240272,0.043293
17500,0.618895,0.510000,0.237707,0.038462
17700,0.617356,0.485000,0.234600,0.032319
17900,0.617500,0.630000,0.234931,0.257401
18100,0.617640,0.630000,0.235202,0.259111
18300,0.618000,0.650000,0.236038,0.283448
18500,0.618901,0.700000,0.237877,0.402093
18700,0.619565,0.680000,0.239220,0.361341
18900,0.619516,0.615000,0.239083,0.235353
19100,0.618670,0.540000,0.237415,0.102877
19300,0.618842,0.635000,0.237741,0.268684
19500,0.619427,0.675000,0.238903,0.350390
19700,0.619794,0.655000,0.239608,0.319527
19900,0.618571,0.500000,0.237166,0.000000
