# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.led_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.320000,0.320000,0.243520,0.243520
700,0.327500,0.335000,0.251556,0.259342
900,0.320000,0.305000,0.244545,0.226854
1100,0.321250,0.325000,0.245801,0.248581
1300,0.325000,0.340000,0.249817,0.265688
1500,0.341667,0.425000,0.268389,0.358760
1700,0.341429,0.340000,0.268083,0.266198
1900,0.347500,0.390000,0.274586,0.319917
2100,0.344444,0.320000,0.271139,0.243919
2300,0.347000,0.370000,0.274054,0.298851
2500,0.354091,0.425000,0.281802,0.358205
2700,0.355000,0.365000,0.282741,0.292361
2900,0.362692,0.455000,0.291156,0.390346
3100,0.362143,0.355000,0.290610,0.282975
3300,0.364333,0.395000,0.293014,0.325774
3500,0.367188,0.410000,0.296147,0.342069
3700,0.372941,0.465000,0.302544,0.405473
3900,0.373611,0.385000,0.303268,0.314801
4100,0.372895,0.360000,0.302505,0.289363
4300,0.370000,0.315000,0.299342,0.238339
4500,0.369048,0.350000,0.298304,0.277196
4700,0.370455,0.400000,0.299857,0.331700
4900,0.370000,0.360000,0.299310,0.284616
5100,0.371250,0.400000,0.300724,0.333093
5300,0.372000,0.390000,0.301486,0.319974
5500,0.371154,0.350000,0.300562,0.276814
5700,0.370185,0.345000,0.299572,0.270419
5900,0.370893,0.390000,0.300434,0.323068
6100,0.370000,0.345000,0.299444,0.272969
6300,0.371167,0.405000,0.300784,0.340044
6500,0.370645,0.355000,0.300193,0.281297
6700,0.371563,0.400000,0.301232,0.333463
6900,0.372273,0.395000,0.302025,0.323966
7100,0.373235,0.405000,0.303118,0.336215
7300,0.372143,0.335000,0.301934,0.260413
7500,0.372361,0.380000,0.302173,0.307030
7700,0.373243,0.405000,0.303152,0.341450
7900,0.373947,0.400000,0.303926,0.331048
8100,0.373846,0.370000,0.303831,0.299182
8300,0.372375,0.315000,0.302178,0.235917
8500,0.372317,0.370000,0.302164,0.300175
8700,0.371667,0.345000,0.301489,0.272343
8900,0.372558,0.410000,0.302510,0.344845
9100,0.372500,0.370000,0.302439,0.297894
9300,0.371222,0.315000,0.301021,0.238847
9500,0.370761,0.350000,0.300496,0.277336
9700,0.369787,0.325000,0.299422,0.249833
9900,0.371146,0.435000,0.300952,0.373423
10100,0.371735,0.400000,0.301576,0.330432
