# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.pokerhand.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.785000,0.785000,0.261866,0.261866
700,0.785000,0.785000,0.258189,0.253472
900,0.763333,0.720000,0.240824,0.206068
1100,0.752500,0.720000,0.259637,0.291049
1300,0.695000,0.465000,0.300560,0.179228
1500,0.609167,0.180000,0.242520,-0.100930
1700,0.570714,0.340000,0.163044,0.000000
1900,0.582500,0.665000,0.152449,0.192577
2100,0.610556,0.835000,0.183589,0.458661
2300,0.627500,0.780000,0.189047,0.000000
2500,0.647273,0.845000,0.217524,0.558405
2700,0.645000,0.620000,0.227876,0.313025
2900,0.656923,0.800000,0.306075,0.171414
3100,0.635357,0.355000,0.274152,0.042601
3300,0.602333,0.140000,0.211393,-0.014959
3500,0.622188,0.920000,0.236167,0.639558
3700,0.639706,0.920000,0.257382,0.635618
3900,0.650556,0.835000,0.268649,0.434932
4100,0.665526,0.935000,0.312826,0.875000
4300,0.676750,0.890000,0.356011,0.234383
4500,0.661190,0.350000,0.325933,-0.088823
4700,0.672955,0.920000,0.338232,0.000000
4900,0.683913,0.925000,0.348895,0.000000
5100,0.692292,0.885000,0.355215,0.000000
5300,0.697400,0.820000,0.361304,0.506173
5500,0.697692,0.705000,0.358199,0.222457
5700,0.698519,0.720000,0.355045,0.147835
5900,0.700893,0.765000,0.355379,0.264130
6100,0.700862,0.700000,0.353222,0.279928
6300,0.690000,0.375000,0.341196,-0.092705
6500,0.682258,0.450000,0.338920,-0.142857
6700,0.667500,0.210000,0.312028,-0.024046
6900,0.664242,0.560000,0.304340,0.129273
7100,0.669118,0.830000,0.308361,0.339421
7300,0.672286,0.780000,0.315104,0.543592
7500,0.678889,0.910000,0.344119,0.496222
7700,0.671892,0.420000,0.335074,0.080569
7900,0.673947,0.750000,0.335965,0.336122
8100,0.679487,0.890000,0.342543,0.595588
8300,0.682375,0.795000,0.345301,0.445946
8500,0.687683,0.900000,0.366805,0.195495
8700,0.691429,0.845000,0.373969,0.677755
8900,0.696744,0.920000,0.379010,0.000000
