# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.rbf_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.410000,0.410000,0.000000,0.000000
700,0.465000,0.520000,0.018146,0.048469
900,0.465000,0.465000,0.011395,-0.002624
1100,0.465000,0.465000,-0.046999,0.000000
1300,0.472000,0.500000,-0.033612,0.000000
1500,0.474167,0.485000,-0.027492,0.000000
1700,0.482143,0.530000,-0.021888,0.057644
1900,0.485000,0.505000,-0.018290,0.003423
2100,0.483889,0.475000,-0.020505,-0.047904
2300,0.493500,0.580000,-0.003580,0.159075
2500,0.497273,0.535000,0.003342,0.068136
2700,0.500417,0.535000,0.010481,0.065327
2900,0.502308,0.525000,0.014586,0.041372
3100,0.501429,0.490000,0.012269,-0.036585
3300,0.500333,0.485000,0.008390,-0.039354
3500,0.497500,0.455000,0.001441,-0.090000
3700,0.497059,0.490000,0.000755,-0.012708
3900,0.500000,0.550000,0.006030,0.098648
4100,0.497895,0.460000,0.001198,-0.080000
4300,0.500750,0.555000,0.006697,0.038462
4500,0.501905,0.525000,0.009075,0.023638
4700,0.502727,0.520000,0.009580,0.029813
4900,0.503913,0.530000,0.011980,0.058494
5100,0.505625,0.545000,0.013765,0.078388
5300,0.504800,0.485000,0.011967,-0.057278
5500,0.506538,0.550000,0.014883,0.055812
5700,0.508148,0.550000,0.017377,0.051533
5900,0.506964,0.475000,0.015491,-0.014689
6100,0.506034,0.480000,0.013601,-0.040000
6300,0.504167,0.450000,0.011455,-0.027557
6500,0.503871,0.495000,0.010976,-0.009394
6700,0.502656,0.465000,0.008345,-0.083215
6900,0.505000,0.580000,0.014735,-0.012170
7100,0.506176,0.545000,0.016842,0.016854
7300,0.508143,0.575000,0.020851,0.001410
7500,0.507083,0.470000,0.017564,0.011194
7700,0.507162,0.510000,0.016952,0.038084
7900,0.506447,0.480000,0.015470,-0.039065
8100,0.506410,0.505000,0.015160,0.010594
8300,0.506750,0.520000,0.015785,0.040672
8500,0.508293,0.570000,0.018752,0.067245
8700,0.508095,0.500000,0.018722,0.040307
8900,0.508605,0.530000,0.019501,-0.018198
9100,0.507045,0.440000,0.017108,0.007708
9300,0.505667,0.445000,0.015101,0.007866
9500,0.505652,0.505000,0.014639,-0.049841
9700,0.505745,0.510000,0.014790,0.019215
9900,0.506146,0.525000,0.015554,0.046185
10100,0.507551,0.575000,0.018451,0.148467
10300,0.507600,0.510000,0.018634,0.007997
10500,0.509118,0.585000,0.021465,0.169502
10700,0.510577,0.585000,0.024518,0.163475
10900,0.511604,0.565000,0.026370,0.130869
11100,0.512130,0.540000,0.027102,0.082477
11300,0.512909,0.555000,0.028515,0.110000
11500,0.513839,0.565000,0.030395,0.125101
11700,0.514298,0.540000,0.031240,0.078064
11900,0.514224,0.510000,0.031244,0.006891
12100,0.513136,0.450000,0.028997,-0.114714
12300,0.512500,0.475000,0.027633,-0.054429
12500,0.513279,0.560000,0.029362,0.132407
12700,0.514839,0.610000,0.032518,0.222720
12900,0.513968,0.460000,0.031028,-0.077737
13100,0.514141,0.525000,0.030926,0.015748
13300,0.514231,0.520000,0.030960,0.038365
13500,0.515227,0.580000,0.032932,0.154589
13700,0.515149,0.510000,0.032723,0.011000
13900,0.514559,0.475000,0.031023,-0.004785
14100,0.514638,0.520000,0.030759,0.003322
14300,0.514714,0.520000,0.030893,0.037690
14500,0.515000,0.535000,0.031407,0.067763
14700,0.515486,0.550000,0.032462,0.109352
14900,0.514726,0.460000,0.030512,-0.035971
15100,0.514865,0.525000,0.030765,0.049810
15300,0.514733,0.505000,0.030439,0.010000
15500,0.515000,0.535000,0.030871,0.063821
15700,0.514156,0.450000,0.029067,-0.108983
15900,0.514551,0.545000,0.029816,0.086712
16100,0.513671,0.445000,0.028362,-0.045592
16300,0.513625,0.510000,0.028276,0.021175
16500,0.514136,0.555000,0.029306,0.106784
16700,0.514512,0.545000,0.029682,0.003940
16900,0.515000,0.555000,0.030659,0.108038
17100,0.515357,0.545000,0.031313,0.071049
17300,0.515412,0.520000,0.031159,-0.011804
17500,0.515407,0.515000,0.031012,0.033094
17700,0.515345,0.510000,0.030743,-0.024247
17900,0.515568,0.535000,0.031167,0.076465
18100,0.515337,0.495000,0.030774,0.026412
18300,0.515611,0.540000,0.031345,0.086849
18500,0.515000,0.460000,0.030278,-0.075804
18700,0.514348,0.455000,0.029012,-0.084577
18900,0.514409,0.520000,0.029140,0.041151
19100,0.514574,0.530000,0.029618,0.074074
19300,0.514053,0.465000,0.028690,-0.066587
19500,0.514010,0.510000,0.028761,0.036192
19700,0.513918,0.505000,0.028676,-0.007121
19900,0.514337,0.555000,0.029661,0.105887
