# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.sea_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.835000,0.835000,0.655100,0.655100
700,0.845000,0.855000,0.676147,0.697412
900,0.848333,0.855000,0.687292,0.706834
1100,0.848750,0.850000,0.686869,0.685271
1300,0.852000,0.865000,0.693982,0.722508
1500,0.860000,0.900000,0.710287,0.792208
1700,0.857857,0.845000,0.706143,0.681529
1900,0.856875,0.850000,0.703267,0.683277
2100,0.856667,0.855000,0.703909,0.706952
2300,0.854500,0.835000,0.699821,0.663128
2500,0.853182,0.840000,0.697988,0.678844
2700,0.852083,0.840000,0.696006,0.674134
2900,0.849231,0.815000,0.690061,0.618557
3100,0.851786,0.885000,0.694194,0.745519
3300,0.854000,0.885000,0.698899,0.764393
3500,0.853437,0.845000,0.697824,0.682051
3700,0.853824,0.860000,0.698992,0.716370
3900,0.851111,0.805000,0.693864,0.606696
4100,0.850263,0.835000,0.691912,0.656965
4300,0.846250,0.770000,0.683763,0.530277
4500,0.843333,0.785000,0.677939,0.562653
4700,0.846364,0.910000,0.684548,0.818859
4900,0.844783,0.810000,0.681020,0.600840
5100,0.841458,0.765000,0.674285,0.521385
5300,0.841800,0.850000,0.674839,0.688247
