# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LastBestClassifier(active_learning=True, estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0... SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.LastBestClassifier.stagger_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.965000,0.965000,0.926702,0.926702
700,0.982500,1.000000,0.964233,1.000000
900,0.988333,1.000000,0.976339,1.000000
1100,0.991250,1.000000,0.982320,1.000000
1300,0.993000,1.000000,0.985889,1.000000
1500,0.994167,1.000000,0.988257,1.000000
1700,0.995000,1.000000,0.989898,1.000000
1900,0.995625,1.000000,0.991161,1.000000
2100,0.996111,1.000000,0.992120,1.000000
2300,0.996500,1.000000,0.992900,1.000000
2500,0.996818,1.000000,0.993560,1.000000
2700,0.997083,1.000000,0.994088,1.000000
2900,0.997308,1.000000,0.994541,1.000000
3100,0.997500,1.000000,0.994932,1.000000
3300,0.997667,1.000000,0.995272,1.000000
3500,0.997812,1.000000,0.995569,1.000000
3700,0.997941,1.000000,0.995827,1.000000
3900,0.998056,1.000000,0.996060,1.000000
4100,0.998158,1.000000,0.996270,1.000000
4300,0.998250,1.000000,0.996457,1.000000
4500,0.998333,1.000000,0.996623,1.000000
4700,0.998409,1.000000,0.996776,1.000000
4900,0.998478,1.000000,0.996913,1.000000
5100,0.998542,1.000000,0.997040,1.000000
5300,0.998600,1.000000,0.997156,1.000000
5500,0.998654,1.000000,0.997271,1.000000
5700,0.998704,1.000000,0.997371,1.000000
5900,0.998750,1.000000,0.997463,1.000000
6100,0.998793,1.000000,0.997553,1.000000
6300,0.998833,1.000000,0.997633,1.000000
6500,0.998871,1.000000,0.997710,1.000000
6700,0.998906,1.000000,0.997780,1.000000
6900,0.998939,1.000000,0.997849,1.000000
7100,0.998971,1.000000,0.997913,1.000000
7300,0.999000,1.000000,0.997972,1.000000
7500,0.999028,1.000000,0.998027,1.000000
7700,0.999054,1.000000,0.998083,1.000000
7900,0.999079,1.000000,0.998134,1.000000
8100,0.999103,1.000000,0.998182,1.000000
8300,0.999125,1.000000,0.998229,1.000000
8500,0.999146,1.000000,0.998271,1.000000
8700,0.999167,1.000000,0.998312,1.000000
8900,0.999186,1.000000,0.998352,1.000000
9100,0.999205,1.000000,0.998389,1.000000
9300,0.999222,1.000000,0.998427,1.000000
9500,0.999239,1.000000,0.998461,1.000000
9700,0.999255,1.000000,0.998493,1.000000
9900,0.999271,1.000000,0.998525,1.000000
10100,0.999286,1.000000,0.998555,1.000000
10300,0.999300,1.000000,0.998584,1.000000
10500,0.999314,1.000000,0.998612,1.000000
10700,0.999327,1.000000,0.998639,1.000000
10900,0.999340,1.000000,0.998665,1.000000
11100,0.999352,1.000000,0.998689,1.000000
11300,0.999364,1.000000,0.998713,1.000000
11500,0.999107,0.985000,0.998194,0.969728
11700,0.998684,0.975000,0.997338,0.948613
11900,0.997414,0.925000,0.994769,0.850000
12100,0.994831,0.845000,0.989542,0.681201
12300,0.991583,0.800000,0.982972,0.595183
12500,0.987459,0.740000,0.974622,0.468085
12700,0.983145,0.720000,0.965885,0.427110
12900,0.979365,0.745000,0.958234,0.495449
13100,0.977578,0.865000,0.954556,0.655172
13300,0.977846,0.995000,0.955051,0.988038
13500,0.978030,0.990000,0.955416,0.979407
13700,0.978358,1.000000,0.956043,1.000000
13900,0.978676,1.000000,0.956656,1.000000
14100,0.978986,1.000000,0.957245,1.000000
14300,0.979286,1.000000,0.957821,1.000000
14500,0.979577,1.000000,0.958367,1.000000
14700,0.979861,1.000000,0.958892,1.000000
14900,0.980137,1.000000,0.959419,1.000000
15100,0.980405,1.000000,0.959946,1.000000
15300,0.980667,1.000000,0.960465,1.000000
15500,0.980921,1.000000,0.960952,1.000000
15700,0.981169,1.000000,0.961437,1.000000
15900,0.981410,1.000000,0.961923,1.000000
16100,0.981646,1.000000,0.962396,1.000000
16300,0.981875,1.000000,0.962849,1.000000
16500,0.982099,1.000000,0.963307,1.000000
16700,0.982317,1.000000,0.963739,1.000000
16900,0.982530,1.000000,0.964148,1.000000
17100,0.982738,1.000000,0.964540,1.000000
17300,0.982941,1.000000,0.964951,1.000000
17500,0.983140,1.000000,0.965329,1.000000
17700,0.983333,1.000000,0.965713,1.000000
17900,0.983523,1.000000,0.966083,1.000000
18100,0.983708,1.000000,0.966435,1.000000
18300,0.983889,1.000000,0.966796,1.000000
18500,0.984066,1.000000,0.967143,1.000000
18700,0.984239,1.000000,0.967480,1.000000
18900,0.984409,1.000000,0.967817,1.000000
19100,0.984574,1.000000,0.968139,1.000000
19300,0.984737,1.000000,0.968453,1.000000
19500,0.984896,1.000000,0.968746,1.000000
19700,0.985052,1.000000,0.969047,1.000000
19900,0.985204,1.000000,0.969354,1.000000
