# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.agrawal_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.770000,0.770000,0.368132,0.368132
700,0.797500,0.825000,0.483056,0.579630
900,0.820000,0.865000,0.552900,0.680851
1100,0.837500,0.890000,0.590474,0.711324
1300,0.842000,0.860000,0.599860,0.653851
1500,0.848333,0.880000,0.630431,0.745331
1700,0.853571,0.885000,0.648804,0.745237
1900,0.865625,0.950000,0.687044,0.898260
2100,0.873333,0.935000,0.705107,0.851970
2300,0.877500,0.915000,0.718576,0.823871
2500,0.882727,0.935000,0.731961,0.858696
2700,0.889167,0.960000,0.750736,0.919322
2900,0.896538,0.985000,0.768703,0.968408
3100,0.903214,0.990000,0.784764,0.978985
3300,0.908667,0.985000,0.798113,0.968944
3500,0.914375,1.000000,0.810470,1.000000
3700,0.919412,1.000000,0.821254,1.000000
3900,0.923889,1.000000,0.830609,1.000000
4100,0.927895,1.000000,0.839392,1.000000
4300,0.931500,1.000000,0.846756,1.000000
4500,0.934762,1.000000,0.853978,1.000000
4700,0.937727,1.000000,0.860222,1.000000
4900,0.940435,1.000000,0.865995,1.000000
5100,0.942917,1.000000,0.871590,1.000000
5300,0.945200,1.000000,0.876994,1.000000
5500,0.947308,1.000000,0.881521,1.000000
5700,0.949259,1.000000,0.886073,1.000000
5900,0.951071,1.000000,0.889967,1.000000
6100,0.952759,1.000000,0.894013,1.000000
6300,0.954333,1.000000,0.897341,1.000000
6500,0.955806,1.000000,0.900440,1.000000
6700,0.957187,1.000000,0.903631,1.000000
6900,0.958485,1.000000,0.906559,1.000000
7100,0.959706,1.000000,0.909174,1.000000
7300,0.960857,1.000000,0.911760,1.000000
7500,0.961944,1.000000,0.914365,1.000000
7700,0.962973,1.000000,0.916550,1.000000
7900,0.963947,1.000000,0.918787,1.000000
8100,0.964872,1.000000,0.920998,1.000000
8300,0.965750,1.000000,0.922861,1.000000
8500,0.966585,1.000000,0.924873,1.000000
8700,0.967381,1.000000,0.926704,1.000000
8900,0.968140,1.000000,0.928323,1.000000
9100,0.968864,1.000000,0.929991,1.000000
9300,0.969556,1.000000,0.931493,1.000000
9500,0.970217,1.000000,0.932964,1.000000
9700,0.970851,1.000000,0.934415,1.000000
9900,0.971458,1.000000,0.935755,1.000000
10100,0.972041,1.000000,0.937089,1.000000
10300,0.972600,1.000000,0.938313,1.000000
10500,0.973137,1.000000,0.939409,1.000000
10700,0.973654,1.000000,0.940580,1.000000
10900,0.974151,1.000000,0.941690,1.000000
11100,0.974630,1.000000,0.942670,1.000000
11300,0.975091,1.000000,0.943704,1.000000
11500,0.975536,1.000000,0.944655,1.000000
11700,0.975965,1.000000,0.945619,1.000000
11900,0.976379,1.000000,0.946635,1.000000
12100,0.976780,1.000000,0.947491,1.000000
12300,0.977167,1.000000,0.948406,1.000000
