# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.covtype.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.440000,0.440000,0.131716,0.131716
700,0.437500,0.435000,0.036475,-0.067548
900,0.441667,0.450000,0.021455,0.049060
1100,0.418750,0.350000,0.010072,0.087751
1300,0.394000,0.295000,0.002797,0.043971
1500,0.420833,0.555000,0.092840,0.381042
1700,0.422857,0.435000,0.132321,0.286526
1900,0.423750,0.430000,0.172365,0.335645
2100,0.396667,0.180000,0.163195,0.106364
2300,0.381500,0.245000,0.173315,0.118866
2500,0.394091,0.520000,0.213422,0.401981
2700,0.394167,0.395000,0.230987,0.229545
2900,0.394615,0.400000,0.245008,0.265246
3100,0.393571,0.380000,0.255391,0.228328
3300,0.401333,0.510000,0.273322,0.344065
3500,0.423750,0.760000,0.305413,0.577428
3700,0.441471,0.725000,0.329110,0.485741
3900,0.461944,0.810000,0.353261,0.505079
4100,0.468947,0.595000,0.361237,0.349763
4300,0.485250,0.795000,0.379583,0.666856
4500,0.496429,0.720000,0.391551,0.569628
4700,0.502500,0.630000,0.397229,0.419289
4900,0.509783,0.670000,0.405708,0.549749
5100,0.511667,0.555000,0.407087,0.383379
5300,0.516400,0.630000,0.411912,0.471107
5500,0.520577,0.625000,0.417418,0.498596
5700,0.523333,0.595000,0.421921,0.486546
5900,0.519643,0.420000,0.418414,0.215951
6100,0.522241,0.595000,0.421881,0.419334
6300,0.514167,0.280000,0.413736,0.190033
6500,0.503226,0.175000,0.402573,0.010732
6700,0.499688,0.390000,0.399825,0.279386
6900,0.491667,0.235000,0.391740,0.128404
7100,0.485588,0.285000,0.386355,0.182507
7300,0.483143,0.400000,0.385540,0.290193
7500,0.478472,0.315000,0.381710,0.200374
7700,0.480135,0.540000,0.385679,0.435894
7900,0.480921,0.510000,0.388132,0.382113
8100,0.481923,0.520000,0.390173,0.424857
8300,0.481500,0.465000,0.390483,0.321066
8500,0.479634,0.405000,0.389070,0.268525
8700,0.474286,0.255000,0.383399,0.125099
8900,0.468256,0.215000,0.377106,-0.092060
9100,0.469432,0.520000,0.379861,0.230553
9300,0.475000,0.720000,0.387465,0.444362
9500,0.478913,0.655000,0.392564,0.392392
9700,0.476596,0.370000,0.390245,0.050669
9900,0.472813,0.295000,0.386180,0.009831
10100,0.470612,0.365000,0.383716,0.066588
10300,0.474200,0.650000,0.387908,0.372788
10500,0.474216,0.475000,0.387646,0.354005
10700,0.471731,0.345000,0.385323,0.168016
10900,0.473774,0.580000,0.387908,0.322034
11100,0.475278,0.555000,0.389689,0.314330
11300,0.471091,0.245000,0.384349,0.139675
11500,0.467143,0.250000,0.379225,-0.030184
11700,0.466053,0.405000,0.377784,0.148754
11900,0.461638,0.210000,0.372811,0.081849
12100,0.457119,0.195000,0.367806,0.033787
12300,0.453500,0.240000,0.363517,0.090746
12500,0.451967,0.360000,0.361693,0.128540
12700,0.454032,0.580000,0.363912,0.357061
12900,0.451667,0.305000,0.361079,0.112926
13100,0.450469,0.375000,0.359590,0.230911
13300,0.450769,0.470000,0.359890,0.358664
13500,0.448258,0.285000,0.357050,0.117638
13700,0.446940,0.360000,0.355678,0.242581
13900,0.443824,0.235000,0.352281,0.102797
14100,0.440797,0.235000,0.348924,0.055118
14300,0.442500,0.560000,0.351071,0.249915
14500,0.443521,0.515000,0.352332,0.262834
14700,0.442361,0.360000,0.350856,0.151728
14900,0.445685,0.685000,0.354572,0.462182
15100,0.449189,0.705000,0.358260,0.243250
15300,0.453933,0.805000,0.363199,-0.048951
15500,0.459342,0.865000,0.368805,0.000000
15700,0.464221,0.835000,0.373806,0.557106
15900,0.467244,0.700000,0.376465,0.118295
16100,0.471582,0.810000,0.380587,0.327255
16300,0.476562,0.870000,0.385468,0.578743
16500,0.480432,0.790000,0.388984,0.335075
16700,0.484512,0.815000,0.392833,0.555636
16900,0.489217,0.875000,0.397307,0.667995
17100,0.492917,0.800000,0.400578,0.482937
17300,0.497294,0.865000,0.404476,0.531128
17500,0.502558,0.950000,0.409546,0.870256
17700,0.507529,0.935000,0.414284,0.837915
17900,0.512159,0.915000,0.418412,0.688016
18100,0.516854,0.930000,0.422626,0.762873
18300,0.521389,0.925000,0.426712,0.785285
18500,0.526044,0.945000,0.431074,0.870869
18700,0.530870,0.970000,0.435566,0.921671
18900,0.535161,0.930000,0.439426,0.821951
19100,0.539521,0.945000,0.443287,0.839521
19300,0.543684,0.935000,0.446894,0.799135
19500,0.547292,0.890000,0.449889,0.691098
19700,0.551031,0.910000,0.453108,0.763624
19900,0.555102,0.950000,0.456690,0.860957
