# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.elec.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.775000,0.775000,0.551971,0.551971
700,0.767500,0.760000,0.528254,0.515347
900,0.746667,0.705000,0.500832,0.410000
1100,0.723750,0.655000,0.447735,0.121914
1300,0.755000,0.880000,0.485933,0.430605
1500,0.766667,0.825000,0.503999,0.613089
1700,0.752143,0.665000,0.487473,0.387569
1900,0.756875,0.790000,0.499224,0.584117
2100,0.754444,0.735000,0.489950,0.464105
2300,0.754000,0.750000,0.489270,0.487022
2500,0.770909,0.940000,0.525479,0.878555
2700,0.768750,0.745000,0.524758,0.500490
2900,0.775000,0.850000,0.536012,0.672095
3100,0.780000,0.845000,0.546383,0.681332
3300,0.788667,0.910000,0.568178,0.810267
3500,0.796250,0.910000,0.577460,0.488636
3700,0.799706,0.855000,0.581378,0.626289
3900,0.801111,0.825000,0.582420,0.603354
4100,0.801842,0.815000,0.578287,0.227880
4300,0.802500,0.815000,0.580088,0.620435
4500,0.804048,0.835000,0.583551,0.652632
4700,0.787273,0.435000,0.552899,0.099027
4900,0.785870,0.755000,0.550373,0.495158
5100,0.787500,0.825000,0.554202,0.641026
5300,0.784800,0.720000,0.546795,0.377432
5500,0.775192,0.535000,0.532333,0.070000
5700,0.760185,0.370000,0.505969,0.000000
5900,0.759464,0.740000,0.504445,0.478592
6100,0.760172,0.780000,0.506165,0.553436
6300,0.762500,0.830000,0.509447,0.606846
6500,0.760645,0.705000,0.504889,0.407035
6700,0.766563,0.950000,0.515138,0.865302
6900,0.768636,0.835000,0.520116,0.671576
7100,0.764853,0.640000,0.510840,0.240106
7300,0.766857,0.835000,0.515656,0.676977
7500,0.770556,0.900000,0.524749,0.800717
7700,0.773243,0.870000,0.531961,0.735369
7900,0.774737,0.830000,0.537268,0.627724
8100,0.778718,0.930000,0.545761,0.859112
8300,0.778000,0.750000,0.545906,0.494745
8500,0.774878,0.650000,0.539269,0.345121
8700,0.777500,0.885000,0.545660,0.763860
8900,0.779070,0.845000,0.548365,0.658665
9100,0.778523,0.755000,0.548431,0.510000
9300,0.777556,0.735000,0.547558,0.477833
9500,0.777391,0.770000,0.548357,0.525186
9700,0.779468,0.875000,0.552575,0.748288
9900,0.776771,0.650000,0.547276,0.368744
10100,0.778980,0.885000,0.552310,0.766734
10300,0.780000,0.830000,0.554529,0.659762
10500,0.780098,0.785000,0.554898,0.573328
10700,0.780577,0.805000,0.555526,0.593919
10900,0.780377,0.770000,0.554744,0.492498
11100,0.777778,0.640000,0.549302,0.250312
11300,0.776091,0.685000,0.545759,0.350515
11500,0.775893,0.765000,0.545638,0.549895
11700,0.774649,0.705000,0.542946,0.384134
11900,0.773966,0.735000,0.542030,0.471374
12100,0.776186,0.905000,0.546137,0.788889
12300,0.775917,0.760000,0.546609,0.438662
12500,0.774098,0.665000,0.543410,0.385997
12700,0.776371,0.915000,0.548452,0.823395
12900,0.778016,0.880000,0.551989,0.761550
13100,0.777578,0.750000,0.551241,0.502240
13300,0.778615,0.845000,0.553536,0.696019
13500,0.781212,0.950000,0.558959,0.899669
13700,0.782836,0.890000,0.562423,0.780286
13900,0.783750,0.845000,0.564524,0.685215
14100,0.783043,0.735000,0.563074,0.468618
14300,0.783786,0.835000,0.564359,0.660494
14500,0.782606,0.700000,0.561713,0.410088
14700,0.782847,0.800000,0.561626,0.449339
14900,0.781164,0.660000,0.558043,0.313963
15100,0.782230,0.860000,0.560206,0.717827
15300,0.781867,0.755000,0.558712,0.129663
15500,0.780789,0.700000,0.556225,0.348180
15700,0.779805,0.705000,0.553949,0.375661
15900,0.778141,0.650000,0.550275,0.212864
16100,0.778354,0.795000,0.550867,0.590818
16300,0.776937,0.665000,0.547679,0.249047
16500,0.774444,0.575000,0.542192,-0.042945
16700,0.773659,0.710000,0.539965,0.224288
16900,0.773675,0.775000,0.539575,0.461078
17100,0.773393,0.750000,0.538838,0.470339
17300,0.771529,0.615000,0.534488,0.102146
17500,0.771686,0.785000,0.534933,0.570000
17700,0.771667,0.770000,0.535059,0.540000
17900,0.770909,0.705000,0.533460,0.400285
18100,0.770899,0.770000,0.532944,0.434055
18300,0.771333,0.810000,0.533225,0.474048
18500,0.772253,0.855000,0.534649,0.643735
18700,0.772880,0.830000,0.535892,0.649918
18900,0.771667,0.660000,0.533332,0.299186
19100,0.769787,0.595000,0.529274,0.229892
19300,0.770368,0.825000,0.530359,0.638728
19500,0.771927,0.920000,0.533681,0.839486
19700,0.770979,0.680000,0.532472,0.320883
19900,0.770816,0.755000,0.532009,0.504950
