# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.hyperplane_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.470000,0.470000,-0.092671,-0.092671
700,0.480000,0.490000,-0.006070,0.034457
900,0.495000,0.525000,0.019121,0.021829
1100,0.535000,0.655000,0.074541,0.317507
1300,0.553000,0.625000,0.110072,0.246837
1500,0.552500,0.550000,0.107998,0.096022
1700,0.552857,0.555000,0.107490,0.084362
1900,0.555000,0.570000,0.112713,0.152876
2100,0.558889,0.590000,0.120892,0.180000
2300,0.557500,0.545000,0.118823,0.081736
2500,0.559091,0.575000,0.120711,0.138455
2700,0.559583,0.565000,0.119503,0.206204
2900,0.556538,0.520000,0.113551,0.040863
3100,0.558929,0.590000,0.117998,0.183673
3300,0.559000,0.560000,0.118223,0.105236
3500,0.557500,0.535000,0.114874,0.012529
3700,0.555588,0.525000,0.111381,0.000000
3900,0.550278,0.460000,0.101376,0.000000
4100,0.551316,0.570000,0.103237,0.035874
4300,0.551000,0.545000,0.102150,0.119071
4500,0.553333,0.600000,0.106510,0.190283
4700,0.554545,0.580000,0.108947,0.160336
4900,0.558261,0.640000,0.116255,0.269481
5100,0.560833,0.620000,0.121493,0.239163
5300,0.560000,0.540000,0.119157,0.000000
5500,0.564808,0.685000,0.128598,0.362993
