# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.pokerhand.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.200000,0.200000,0.000000,0.000000
700,0.492500,0.785000,0.061575,0.255733
900,0.558333,0.690000,0.050735,0.143528
1100,0.585000,0.665000,0.086592,0.225523
1300,0.610000,0.710000,0.243817,0.316682
1500,0.652500,0.865000,0.360771,0.000000
1700,0.607857,0.340000,0.281118,-0.043396
1900,0.602500,0.565000,0.270894,0.137504
2100,0.633889,0.885000,0.315771,0.644705
2300,0.656500,0.860000,0.345035,0.571440
2500,0.672727,0.835000,0.363504,0.545204
2700,0.684583,0.815000,0.389055,0.642892
2900,0.692692,0.790000,0.417132,0.049881
3100,0.673929,0.430000,0.385892,0.055940
3300,0.685333,0.845000,0.402452,0.555364
3500,0.698438,0.895000,0.419446,0.567679
3700,0.711176,0.915000,0.435014,0.578791
3900,0.721944,0.905000,0.448554,0.659742
4100,0.730789,0.890000,0.471063,0.786044
4300,0.736000,0.835000,0.489767,0.093531
4500,0.741429,0.850000,0.497722,0.629972
4700,0.741818,0.750000,0.494116,0.153905
4900,0.751087,0.955000,0.505277,0.552239
5100,0.758333,0.925000,0.513087,0.534739
5300,0.758800,0.770000,0.511417,0.435583
5500,0.758462,0.750000,0.506084,0.220090
5700,0.757778,0.740000,0.499999,0.087639
5900,0.758036,0.765000,0.497139,0.312413
6100,0.755345,0.680000,0.489221,0.223301
6300,0.739833,0.290000,0.461978,-0.117714
6500,0.724839,0.275000,0.432251,0.000000
6700,0.722656,0.655000,0.426450,0.302854
6900,0.727273,0.875000,0.432553,0.631757
7100,0.730882,0.850000,0.435943,0.505522
7300,0.730000,0.700000,0.433941,0.369185
7500,0.733889,0.870000,0.454386,0.277075
7700,0.735811,0.805000,0.459218,0.623207
7900,0.737105,0.785000,0.458705,0.370056
8100,0.741667,0.915000,0.464358,0.697509
8300,0.744125,0.840000,0.466985,0.569892
8500,0.747805,0.895000,0.483873,0.238441
8700,0.751190,0.890000,0.490051,0.759825
8900,0.752907,0.825000,0.489792,0.199451
9100,0.757386,0.950000,0.495308,0.763314
9300,0.757000,0.740000,0.493319,0.383009
9500,0.757391,0.775000,0.491639,0.289436
9700,0.756915,0.735000,0.488676,0.304234
9900,0.751667,0.505000,0.480431,0.060454
10100,0.737959,0.080000,0.455949,-0.078610
10300,0.736600,0.670000,0.452078,0.271242
10500,0.738922,0.855000,0.454533,0.550248
10700,0.740096,0.800000,0.456518,0.563462
10900,0.741981,0.840000,0.468569,0.414563
11100,0.743704,0.835000,0.471328,0.628211
11300,0.746273,0.885000,0.474128,0.601110
11500,0.748036,0.845000,0.477783,0.678890
11700,0.750088,0.865000,0.485714,0.669947
11900,0.751724,0.845000,0.486424,0.371197
12100,0.754746,0.930000,0.489608,0.593378
12300,0.753667,0.690000,0.486789,0.311111
12500,0.752131,0.660000,0.481914,0.000000
12700,0.748790,0.545000,0.476857,0.200000
12900,0.742222,0.335000,0.465492,0.024283
13100,0.743906,0.850000,0.467552,0.596991
13300,0.743846,0.740000,0.469360,0.526800
13500,0.744545,0.790000,0.474592,0.618112
13700,0.746045,0.845000,0.475872,0.528875
13900,0.747500,0.845000,0.482452,0.673151
14100,0.749130,0.860000,0.485000,0.675099
14300,0.750714,0.860000,0.486628,0.568368
14500,0.750141,0.710000,0.485193,0.378016
14700,0.745833,0.440000,0.477448,0.095169
14900,0.744863,0.675000,0.475457,0.341005
15100,0.741014,0.460000,0.469708,-0.068725
15300,0.740000,0.665000,0.467950,0.347900
15500,0.738750,0.645000,0.466248,0.366835
15700,0.739805,0.820000,0.467335,0.539112
15900,0.740000,0.755000,0.468094,0.525447
16100,0.736962,0.500000,0.463414,0.191756
16300,0.736000,0.660000,0.463042,0.418207
16500,0.734198,0.590000,0.459609,0.248051
16700,0.734756,0.780000,0.460351,0.518283
16900,0.731988,0.505000,0.456923,0.162295
17100,0.730357,0.595000,0.454324,0.288881
17300,0.729176,0.630000,0.452536,0.320415
17500,0.724477,0.325000,0.445544,0.015604
17700,0.721322,0.450000,0.445290,0.140121
17900,0.719318,0.545000,0.447308,0.038817
18100,0.719888,0.770000,0.452849,0.233972
18300,0.721167,0.835000,0.459048,0.274566
18500,0.722473,0.840000,0.465026,0.318424
18700,0.723207,0.790000,0.469936,0.302789
18900,0.723280,0.730000,0.473348,0.096386
19100,0.722713,0.670000,0.476312,0.241074
19300,0.723684,0.815000,0.481447,0.481648
19500,0.725365,0.885000,0.487155,0.579063
19700,0.726186,0.805000,0.490911,0.217653
19900,0.727653,0.870000,0.495586,0.440258
