# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.rbf_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.590000,0.590000,0.000000,0.000000
700,0.560000,0.530000,0.081156,0.061033
900,0.540000,0.500000,0.063772,0.019896
1100,0.536250,0.525000,0.066291,0.047333
1300,0.516000,0.435000,0.028085,-0.130000
1500,0.515833,0.515000,0.028758,0.031163
1700,0.515000,0.510000,0.028719,0.014580
1900,0.522500,0.575000,0.043026,0.142800
2100,0.531667,0.605000,0.061073,0.205231
2300,0.533500,0.550000,0.064641,0.098287
2500,0.533182,0.530000,0.064206,0.061502
2700,0.534167,0.545000,0.065998,0.092722
2900,0.534615,0.540000,0.066635,0.076305
3100,0.536786,0.565000,0.070408,0.115134
3300,0.532000,0.465000,0.061614,-0.073220
3500,0.527813,0.465000,0.053415,-0.066162
3700,0.530000,0.565000,0.058405,0.146892
3900,0.529167,0.515000,0.057438,0.026886
4100,0.529474,0.535000,0.057142,0.070000
4300,0.526500,0.470000,0.050554,0.015602
4500,0.524048,0.475000,0.045116,-0.020607
4700,0.524773,0.540000,0.047910,0.018876
4900,0.523043,0.485000,0.044570,-0.021420
5100,0.523750,0.540000,0.046657,0.061608
5300,0.522800,0.500000,0.044964,-0.004520
5500,0.520769,0.470000,0.040957,-0.023166
5700,0.520000,0.500000,0.039602,0.040951
5900,0.520179,0.525000,0.039882,0.059406
6100,0.519483,0.500000,0.038362,0.000000
6300,0.521333,0.575000,0.041193,0.000000
6500,0.520645,0.500000,0.039788,0.002096
6700,0.520938,0.530000,0.040397,0.061127
6900,0.520303,0.500000,0.038057,-0.024905
7100,0.519706,0.500000,0.037049,0.047256
