# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.sea_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.835000,0.835000,0.658526,0.658526
700,0.822500,0.810000,0.631647,0.605113
900,0.825000,0.830000,0.641988,0.659080
1100,0.821250,0.810000,0.633390,0.607276
1300,0.829000,0.860000,0.648631,0.711340
1500,0.841667,0.905000,0.674169,0.802905
1700,0.844286,0.860000,0.679691,0.712762
1900,0.843750,0.840000,0.677362,0.658703
2100,0.845000,0.855000,0.680791,0.706478
2300,0.843500,0.830000,0.677958,0.652494
2500,0.843182,0.840000,0.678112,0.678844
2700,0.843333,0.845000,0.678681,0.684639
2900,0.840769,0.810000,0.673315,0.608731
3100,0.844286,0.890000,0.679453,0.758666
3300,0.847000,0.885000,0.685137,0.764393
3500,0.845938,0.830000,0.682959,0.650924
3700,0.845588,0.840000,0.682534,0.675325
3900,0.843056,0.800000,0.677743,0.596327
4100,0.842105,0.825000,0.675517,0.634656
4300,0.843000,0.860000,0.677611,0.716168
4500,0.843095,0.845000,0.677946,0.684703
4700,0.844773,0.880000,0.681744,0.758478
4900,0.844130,0.830000,0.680246,0.647303
5100,0.842500,0.805000,0.676977,0.602851
5300,0.843000,0.855000,0.677817,0.698231
5500,0.836731,0.680000,0.664581,0.345336
5700,0.832593,0.725000,0.655851,0.441284
5900,0.832143,0.820000,0.654992,0.631902
6100,0.831207,0.805000,0.652459,0.568489
6300,0.830000,0.795000,0.649846,0.572917
6500,0.831129,0.865000,0.651723,0.709802
6700,0.831875,0.855000,0.653070,0.694865
6900,0.832121,0.840000,0.653598,0.670511
7100,0.832353,0.840000,0.654113,0.671019
7300,0.832286,0.830000,0.654176,0.655417
7500,0.832917,0.855000,0.655466,0.700661
7700,0.832432,0.815000,0.655194,0.629259
7900,0.833026,0.855000,0.656357,0.700908
8100,0.832949,0.830000,0.656290,0.654190
8300,0.832750,0.825000,0.655706,0.631579
8500,0.833293,0.855000,0.657009,0.707012
8700,0.833690,0.850000,0.657759,0.688893
8900,0.833605,0.830000,0.657468,0.645870
9100,0.833750,0.840000,0.657903,0.677939
9300,0.834222,0.855000,0.658918,0.703234
9500,0.835217,0.880000,0.660750,0.745439
9700,0.835213,0.835000,0.660868,0.667003
9900,0.835938,0.870000,0.662180,0.724226
10100,0.836224,0.850000,0.662499,0.674620
10300,0.835900,0.820000,0.661825,0.629286
10500,0.835980,0.840000,0.662153,0.676768
10700,0.835577,0.815000,0.661184,0.609210
10900,0.834717,0.790000,0.659449,0.569672
11100,0.834167,0.805000,0.658287,0.596440
11300,0.833909,0.820000,0.657725,0.627984
11500,0.833125,0.790000,0.655922,0.550321
11700,0.833596,0.860000,0.656824,0.708364
11900,0.832586,0.775000,0.654407,0.500666
12100,0.830085,0.685000,0.649576,0.381261
12300,0.827667,0.685000,0.644678,0.387755
12500,0.827869,0.840000,0.644888,0.654875
12700,0.828145,0.845000,0.644996,0.632962
12900,0.828254,0.835000,0.644847,0.622512
13100,0.827266,0.765000,0.642589,0.499361
13300,0.827385,0.835000,0.642208,0.573864
13500,0.827500,0.835000,0.642027,0.612858
13700,0.827313,0.815000,0.641153,0.553032
13900,0.827206,0.820000,0.640526,0.585253
14100,0.825725,0.725000,0.637128,0.381884
14300,0.825000,0.775000,0.635267,0.482640
14500,0.824366,0.780000,0.633277,0.412707
14700,0.823819,0.785000,0.631611,0.468217
14900,0.823699,0.815000,0.630852,0.543773
15100,0.824054,0.850000,0.630946,0.600053
15300,0.824667,0.870000,0.631914,0.701835
15500,0.824474,0.810000,0.631056,0.545183
15700,0.825195,0.880000,0.632176,0.714829
15900,0.825449,0.845000,0.632392,0.643022
16100,0.825506,0.830000,0.632138,0.597586
16300,0.825375,0.815000,0.631582,0.580974
16500,0.825370,0.825000,0.631325,0.606033
16700,0.825793,0.860000,0.631751,0.652433
16900,0.826627,0.895000,0.633032,0.735849
17100,0.827202,0.875000,0.633773,0.685218
17300,0.827824,0.880000,0.634799,0.721965
17500,0.828488,0.885000,0.635939,0.734840
17700,0.828333,0.815000,0.635155,0.535176
17900,0.828239,0.820000,0.634562,0.560976
18100,0.828315,0.835000,0.634301,0.590062
18300,0.829111,0.900000,0.635672,0.762160
18500,0.829615,0.875000,0.636248,0.673970
18700,0.829946,0.860000,0.636503,0.644309
18900,0.829516,0.790000,0.635168,0.476831
19100,0.829840,0.860000,0.635546,0.666706
