# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] MetaClassifier(active_learning=True, base_estimators=[HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=... meta_estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None, early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True, l1_ratio=0.15, learning_rate='optimal', loss='hinge', max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2', power_t=0.5, random_state=None, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False), mfe_groups=['general', 'statistical', 'info-theory'], window_size=300)
# EvaluatePrequential(batch_size=200, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='meta.MetaClassifier.stagger_gen.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.900000,0.900000,0.785316,0.785316
700,0.950000,1.000000,0.896918,1.000000
900,0.966667,1.000000,0.932078,1.000000
1100,0.975000,1.000000,0.949332,1.000000
1300,0.980000,1.000000,0.959596,1.000000
1500,0.983333,1.000000,0.966394,1.000000
1700,0.985714,1.000000,0.971085,1.000000
1900,0.987500,1.000000,0.974705,1.000000
2100,0.988889,1.000000,0.977450,1.000000
2300,0.990000,1.000000,0.979685,1.000000
2500,0.990909,1.000000,0.981578,1.000000
2700,0.991667,1.000000,0.983088,1.000000
2900,0.992308,1.000000,0.984386,1.000000
3100,0.992857,1.000000,0.985504,1.000000
3300,0.993333,1.000000,0.986477,1.000000
3500,0.993750,1.000000,0.987327,1.000000
3700,0.994118,1.000000,0.988066,1.000000
3900,0.994444,1.000000,0.988733,1.000000
4100,0.994737,1.000000,0.989334,1.000000
4300,0.995000,1.000000,0.989871,1.000000
4500,0.995238,1.000000,0.990344,1.000000
4700,0.995455,1.000000,0.990784,1.000000
4900,0.995652,1.000000,0.991173,1.000000
5100,0.995833,1.000000,0.991537,1.000000
5300,0.996000,1.000000,0.991870,1.000000
5500,0.996154,1.000000,0.992199,1.000000
