# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.agrawal_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.865000,0.865000,0.551644,0.551644
599,0.830000,0.795000,0.482339,0.423672
799,0.810000,0.770000,0.494083,0.485689
999,0.841250,0.935000,0.610937,0.864386
1199,0.852000,0.895000,0.646641,0.771739
1399,0.862500,0.915000,0.674312,0.807081
1599,0.868571,0.905000,0.695908,0.801794
1799,0.871875,0.895000,0.707762,0.778947
1999,0.876667,0.915000,0.723511,0.826460
2199,0.881000,0.920000,0.732243,0.813346
2399,0.886818,0.945000,0.748478,0.887640
2599,0.886250,0.880000,0.748109,0.744681
2799,0.882692,0.840000,0.740191,0.646955
2999,0.885357,0.920000,0.745823,0.820949
3199,0.888667,0.935000,0.753002,0.854975
3399,0.891563,0.935000,0.758241,0.841347
3599,0.892941,0.915000,0.761469,0.812610
3799,0.894444,0.920000,0.764246,0.813542
3999,0.898158,0.965000,0.772262,0.920018
4199,0.898250,0.900000,0.772673,0.780244
4399,0.899048,0.915000,0.774600,0.812610
4599,0.900455,0.930000,0.777980,0.847295
4799,0.900435,0.900000,0.778154,0.781850
4999,0.900417,0.900000,0.778181,0.779128
5199,0.900400,0.900000,0.778589,0.788113
5399,0.900577,0.905000,0.779054,0.790564
5599,0.900556,0.900000,0.778526,0.762357
5799,0.900893,0.910000,0.778871,0.788608
5999,0.901552,0.920000,0.780515,0.825328
6199,0.901667,0.905000,0.780698,0.786036
6399,0.901613,0.900000,0.780335,0.768946
6599,0.901094,0.885000,0.779517,0.754536
6799,0.902121,0.935000,0.781596,0.850023
6999,0.901912,0.895000,0.781394,0.774291
7199,0.903571,0.960000,0.784960,0.908873
7399,0.903056,0.885000,0.784227,0.758505
7599,0.903784,0.930000,0.785843,0.844098
7799,0.904605,0.935000,0.787764,0.857612
7999,0.904615,0.905000,0.787994,0.795918
8199,0.905250,0.930000,0.789393,0.844098
8399,0.905610,0.920000,0.790328,0.826690
8599,0.905952,0.920000,0.790795,0.809614
8799,0.905465,0.885000,0.790107,0.760964
8999,0.905909,0.925000,0.791299,0.840290
9199,0.905778,0.900000,0.790859,0.770326
9399,0.906196,0.925000,0.791667,0.829196
9599,0.906170,0.905000,0.791649,0.790979
9799,0.906146,0.905000,0.791226,0.765664
9999,0.906837,0.940000,0.792633,0.862148
10199,0.907000,0.915000,0.793132,0.816929
10399,0.906471,0.880000,0.791626,0.705594
10599,0.906442,0.905000,0.791436,0.780955
10799,0.906792,0.925000,0.792295,0.836245
10999,0.906296,0.880000,0.791395,0.746193
11199,0.906091,0.895000,0.790889,0.763620
11399,0.905982,0.900000,0.790647,0.777407
11599,0.902632,0.715000,0.783681,0.419434
11799,0.899224,0.705000,0.776617,0.401865
11999,0.898644,0.865000,0.776080,0.729892
12199,0.895500,0.710000,0.769802,0.418605
12399,0.892541,0.715000,0.763684,0.420260
12599,0.890403,0.760000,0.759358,0.513924
12799,0.889127,0.810000,0.756920,0.615190
12999,0.886953,0.750000,0.752862,0.501197
13199,0.884077,0.700000,0.747394,0.400540
13399,0.881742,0.730000,0.742486,0.439834
13599,0.880746,0.815000,0.740888,0.630370
13799,0.880662,0.875000,0.741112,0.748288
13999,0.877826,0.685000,0.735688,0.371884
14199,0.875214,0.695000,0.730865,0.403948
14399,0.873028,0.720000,0.726928,0.437299
14599,0.871042,0.730000,0.723215,0.462580
14799,0.869110,0.730000,0.719804,0.460916
14999,0.866554,0.680000,0.714592,0.353209
15199,0.863667,0.650000,0.708803,0.297189
15399,0.861842,0.725000,0.705320,0.450000
15599,0.861429,0.830000,0.704719,0.656392
15799,0.858974,0.670000,0.700268,0.357477
15999,0.856646,0.675000,0.695526,0.340771
16199,0.855563,0.770000,0.693476,0.537363
16399,0.854753,0.790000,0.691906,0.571778
16599,0.852561,0.675000,0.687590,0.347258
16799,0.850602,0.690000,0.683871,0.379938
16999,0.848810,0.700000,0.680230,0.390182
17199,0.848294,0.805000,0.679372,0.609218
17399,0.848140,0.835000,0.679418,0.670790
17599,0.845632,0.630000,0.674866,0.250405
17799,0.842955,0.610000,0.669464,0.213710
17999,0.842416,0.795000,0.668550,0.587525
18199,0.842000,0.805000,0.667957,0.611011
18399,0.840714,0.725000,0.665432,0.442643
18599,0.838696,0.655000,0.661693,0.324589
18799,0.837688,0.745000,0.659934,0.499116
18999,0.837500,0.820000,0.659658,0.632803
19199,0.836789,0.770000,0.658474,0.540000
19399,0.835677,0.730000,0.656347,0.459189
19599,0.834072,0.680000,0.652930,0.360000
19799,0.833776,0.805000,0.652438,0.606061
19999,0.832980,0.755000,0.650764,0.486373
