# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.covtype.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.725000,0.725000,0.567916,0.567916
599,0.727500,0.730000,0.582067,0.596352
799,0.685000,0.600000,0.547076,0.482033
999,0.690000,0.705000,0.588175,0.641990
1199,0.712000,0.800000,0.639156,0.758469
1399,0.674167,0.485000,0.598578,0.380302
1599,0.650000,0.505000,0.570709,0.388738
1799,0.641250,0.580000,0.565873,0.487602
1999,0.629444,0.535000,0.555024,0.369021
2199,0.633000,0.665000,0.562514,0.521240
2399,0.624091,0.535000,0.553880,0.365902
2599,0.629167,0.685000,0.559824,0.521477
2799,0.632692,0.675000,0.562851,0.498959
2999,0.638214,0.710000,0.567413,0.497749
3199,0.641000,0.680000,0.568213,0.448846
3399,0.636563,0.570000,0.561129,0.407815
3599,0.630588,0.535000,0.552361,0.366959
3799,0.627500,0.575000,0.546558,0.387034
3999,0.623158,0.545000,0.539936,0.381877
4199,0.623250,0.625000,0.538552,0.486635
4399,0.622857,0.615000,0.537237,0.479026
4599,0.620909,0.580000,0.534768,0.383373
4799,0.615870,0.505000,0.528949,0.322730
4999,0.613542,0.560000,0.526854,0.336675
5199,0.616200,0.680000,0.530160,0.439162
5399,0.619231,0.695000,0.534111,0.488427
5599,0.610741,0.390000,0.526315,0.245376
5799,0.603750,0.415000,0.519781,0.275923
5999,0.594138,0.325000,0.509971,0.233172
6199,0.596333,0.660000,0.514244,0.577390
6399,0.599032,0.680000,0.519571,0.602435
6599,0.602656,0.715000,0.525140,0.654744
6799,0.607727,0.770000,0.532551,0.706249
6999,0.610588,0.705000,0.537607,0.613761
7199,0.611857,0.655000,0.540230,0.577594
7399,0.612083,0.620000,0.541583,0.533556
7599,0.612703,0.635000,0.543107,0.551294
7799,0.616316,0.750000,0.548096,0.680102
7999,0.619744,0.750000,0.553270,0.641140
8199,0.623750,0.780000,0.559347,0.649695
8399,0.629634,0.865000,0.567355,0.692360
8599,0.633095,0.775000,0.572157,0.577960
8799,0.637093,0.805000,0.577349,0.675000
8999,0.639318,0.735000,0.580446,0.606372
9199,0.643444,0.825000,0.585485,0.738279
9399,0.645978,0.760000,0.588519,0.584218
9599,0.648191,0.750000,0.591021,0.582498
9799,0.645938,0.540000,0.588548,0.394996
9999,0.647143,0.705000,0.589703,0.474575
10199,0.650400,0.810000,0.593100,0.641915
10399,0.650882,0.675000,0.593458,0.559471
10599,0.651635,0.690000,0.594635,0.120131
10799,0.647358,0.425000,0.589930,0.063747
10999,0.644815,0.510000,0.587166,0.380237
11199,0.643909,0.595000,0.586227,0.507524
11399,0.643304,0.610000,0.585478,0.510404
11599,0.643158,0.635000,0.585300,0.407564
11799,0.643879,0.685000,0.586007,0.494929
11999,0.643814,0.640000,0.585752,0.497452
12199,0.643750,0.640000,0.585457,0.508432
12399,0.643279,0.615000,0.584697,0.445125
12599,0.642419,0.590000,0.583719,0.493702
12799,0.640635,0.530000,0.581721,0.434603
12999,0.638828,0.525000,0.579743,0.405209
13199,0.637462,0.550000,0.578317,0.438780
13399,0.636894,0.600000,0.577839,0.497298
13599,0.638209,0.725000,0.579522,0.519357
13799,0.637279,0.575000,0.578599,0.405594
13999,0.636159,0.560000,0.577206,0.442138
14199,0.635214,0.570000,0.576008,0.423438
14399,0.638380,0.860000,0.579553,0.468186
14599,0.641736,0.880000,0.583166,0.495904
14799,0.642260,0.680000,0.583463,0.267273
14999,0.643649,0.745000,0.584651,0.023082
15199,0.644467,0.705000,0.585114,0.022855
15399,0.646513,0.800000,0.586922,0.202870
15599,0.647143,0.695000,0.587097,0.211683
15799,0.647179,0.650000,0.586626,0.290565
15999,0.646456,0.590000,0.585248,0.141496
16199,0.645437,0.565000,0.583443,0.151633
16399,0.646914,0.765000,0.584382,0.050505
16599,0.648659,0.790000,0.585562,0.000000
16799,0.650060,0.765000,0.586320,0.000000
16999,0.651488,0.770000,0.587060,0.000000
17199,0.652235,0.715000,0.587016,0.000000
17399,0.653023,0.720000,0.586982,0.000000
17599,0.654368,0.770000,0.587523,0.000000
17799,0.655568,0.760000,0.587878,0.000000
17999,0.657135,0.795000,0.588602,0.000000
18199,0.659278,0.850000,0.589930,0.000000
18399,0.661758,0.885000,0.591599,0.000000
18599,0.662717,0.750000,0.591589,0.000000
18799,0.663387,0.725000,0.591244,0.000000
18999,0.664734,0.790000,0.591619,0.000000
19199,0.666158,0.800000,0.592061,0.000000
19399,0.667031,0.750000,0.591891,0.000000
19599,0.667938,0.755000,0.591743,0.000000
19799,0.669184,0.790000,0.591951,0.000000
19999,0.671919,0.940000,0.593767,0.000000
