# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.925000,0.925000,0.801325,0.801325
599,0.947500,0.970000,0.860474,0.920043
799,0.913333,0.845000,0.811337,0.691665
999,0.871250,0.745000,0.723564,0.473901
1199,0.853000,0.780000,0.672454,0.417373
1399,0.847500,0.820000,0.672139,0.649976
1599,0.836429,0.770000,0.653530,0.544329
1799,0.842500,0.885000,0.672165,0.770322
1999,0.855556,0.960000,0.694218,0.888765
2199,0.851500,0.815000,0.686548,0.618321
2399,0.850455,0.840000,0.688151,0.683011
2599,0.855833,0.915000,0.698262,0.812981
2799,0.858846,0.895000,0.698937,0.579832
2999,0.864286,0.935000,0.712191,0.869215
3199,0.870000,0.950000,0.722961,0.883137
3399,0.868125,0.840000,0.716933,0.595398
3599,0.870294,0.905000,0.724693,0.809657
3799,0.870278,0.870000,0.723796,0.709302
3999,0.872368,0.910000,0.725813,0.740821
4199,0.870500,0.835000,0.724102,0.674428
4399,0.868810,0.835000,0.720611,0.657321
4599,0.873182,0.965000,0.729992,0.925957
4799,0.873478,0.880000,0.731848,0.761550
4999,0.871250,0.820000,0.726145,0.580175
5199,0.871200,0.870000,0.728397,0.730709
5399,0.869423,0.825000,0.724069,0.608589
5599,0.869630,0.875000,0.722821,0.641011
5799,0.871429,0.920000,0.727162,0.836801
5999,0.870690,0.850000,0.725629,0.685699
6199,0.867167,0.765000,0.718088,0.505679
6399,0.869032,0.925000,0.724262,0.838675
6599,0.870313,0.910000,0.727412,0.817814
6799,0.869848,0.855000,0.728199,0.690502
6999,0.870735,0.900000,0.730989,0.799217
7199,0.870571,0.865000,0.731621,0.727713
7399,0.870278,0.860000,0.732117,0.710744
7599,0.868514,0.805000,0.728733,0.609375
7799,0.869211,0.895000,0.731012,0.784394
7999,0.868205,0.830000,0.729699,0.660000
8199,0.869625,0.925000,0.732813,0.849669
8399,0.865000,0.680000,0.724182,0.381523
8599,0.863333,0.795000,0.721673,0.558475
8799,0.862326,0.820000,0.719815,0.645669
8999,0.863523,0.915000,0.722457,0.830508
9199,0.865444,0.950000,0.727096,0.886157
9399,0.867283,0.950000,0.730956,0.900210
9599,0.867766,0.890000,0.732038,0.779736
9799,0.866563,0.810000,0.729529,0.609335
9999,0.866633,0.870000,0.729552,0.729026
10199,0.867200,0.895000,0.730693,0.786672
10399,0.867451,0.880000,0.730805,0.710843
10599,0.867019,0.845000,0.729879,0.689067
10799,0.865377,0.780000,0.727162,0.521114
10999,0.862870,0.730000,0.722040,0.447796
11199,0.861909,0.810000,0.720285,0.625726
11399,0.861696,0.850000,0.719955,0.701195
11599,0.861754,0.865000,0.720254,0.732408
11799,0.862759,0.920000,0.722374,0.840080
11999,0.863475,0.905000,0.724236,0.792576
12199,0.864250,0.910000,0.725755,0.817315
12399,0.865246,0.925000,0.727959,0.847994
12599,0.864597,0.825000,0.726548,0.635796
12799,0.865952,0.950000,0.729521,0.896748
12999,0.866328,0.890000,0.730355,0.780088
13199,0.865615,0.820000,0.728932,0.638591
13399,0.865682,0.870000,0.728813,0.694118
13599,0.866418,0.915000,0.730424,0.829317
13799,0.867794,0.960000,0.733296,0.919960
13999,0.868406,0.910000,0.734226,0.765625
14199,0.868500,0.875000,0.734530,0.749399
14399,0.866127,0.700000,0.729674,0.397651
14599,0.865903,0.850000,0.729004,0.661247
14799,0.865205,0.815000,0.727510,0.616023
14999,0.865473,0.885000,0.728100,0.771190
15199,0.863600,0.725000,0.724251,0.436013
15399,0.862895,0.810000,0.722721,0.601468
15599,0.861623,0.765000,0.720104,0.527258
15799,0.861923,0.885000,0.720377,0.683370
15999,0.862278,0.890000,0.720899,0.749088
16199,0.861563,0.805000,0.719179,0.521472
16399,0.861111,0.825000,0.718056,0.596774
16599,0.859817,0.755000,0.715577,0.508821
16799,0.860120,0.885000,0.716355,0.769400
16999,0.860476,0.890000,0.716992,0.769029
17199,0.859412,0.770000,0.714587,0.477451
17399,0.860000,0.910000,0.715575,0.791667
17599,0.860920,0.940000,0.717128,0.840341
17799,0.862102,0.965000,0.719393,0.923330
17999,0.862697,0.915000,0.720523,0.821504
18199,0.861000,0.710000,0.717180,0.462166
18399,0.861484,0.905000,0.718102,0.801670
18599,0.860435,0.765000,0.715927,0.533638
18799,0.860000,0.820000,0.714989,0.632503
18999,0.860000,0.860000,0.715083,0.720893
19199,0.859842,0.845000,0.715001,0.684895
19399,0.857031,0.590000,0.709453,0.272340
19599,0.854485,0.610000,0.704028,0.115245
19799,0.853469,0.755000,0.701743,0.416806
19999,0.852980,0.805000,0.700662,0.599672
