# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.hyperplane_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.685000,0.685000,0.371257,0.371257
599,0.640000,0.595000,0.279712,0.188539
799,0.621667,0.585000,0.243283,0.169834
999,0.623750,0.630000,0.247509,0.260518
1199,0.621000,0.610000,0.241958,0.218123
1399,0.627500,0.660000,0.255000,0.317612
1599,0.619286,0.570000,0.238615,0.141374
1799,0.622500,0.645000,0.244968,0.286432
1999,0.621111,0.610000,0.242177,0.223494
2199,0.617000,0.580000,0.233840,0.161258
2399,0.615909,0.605000,0.231761,0.208417
2599,0.609167,0.535000,0.218336,0.060226
2799,0.609615,0.615000,0.219236,0.230154
2999,0.608214,0.590000,0.216421,0.179261
3199,0.613667,0.690000,0.227331,0.375944
3399,0.618125,0.685000,0.236234,0.369243
3599,0.620588,0.660000,0.241178,0.318364
3799,0.624167,0.685000,0.248298,0.364663
3999,0.627105,0.680000,0.254098,0.353209
4199,0.628750,0.660000,0.257349,0.319251
4399,0.632381,0.705000,0.264625,0.410118
4599,0.630227,0.585000,0.260101,0.137393
4799,0.632174,0.675000,0.263920,0.346471
4999,0.633125,0.655000,0.265725,0.314660
5199,0.633800,0.650000,0.267030,0.298597
5399,0.634615,0.655000,0.268831,0.305136
5599,0.636667,0.690000,0.272935,0.380000
5799,0.636964,0.645000,0.273593,0.290000
5999,0.635000,0.580000,0.269734,0.158232
6199,0.634833,0.630000,0.269451,0.260665
6399,0.631452,0.530000,0.262755,0.058776
6599,0.631250,0.625000,0.262391,0.248949
6799,0.632576,0.675000,0.265054,0.350260
6999,0.634412,0.695000,0.268788,0.381590
7199,0.635714,0.680000,0.271409,0.360000
7399,0.636667,0.670000,0.273340,0.341580
7599,0.637297,0.660000,0.274620,0.320611
7799,0.639211,0.710000,0.278452,0.419129
7999,0.640000,0.670000,0.280035,0.340264
8199,0.641750,0.710000,0.283529,0.419071
8399,0.643049,0.695000,0.286115,0.388900
8599,0.643929,0.680000,0.287872,0.360000
8799,0.645814,0.725000,0.291650,0.449670
8999,0.646477,0.675000,0.292983,0.347390
9199,0.645111,0.585000,0.290261,0.161447
9399,0.644674,0.625000,0.289408,0.254028
9599,0.645319,0.675000,0.290699,0.350000
9799,0.645312,0.645000,0.290708,0.294935
9999,0.646020,0.680000,0.292150,0.361596
10199,0.646800,0.685000,0.293712,0.370000
10399,0.646373,0.625000,0.292869,0.246534
10599,0.647019,0.680000,0.294174,0.360000
10799,0.646415,0.615000,0.292951,0.229538
10999,0.645926,0.620000,0.291947,0.243028
11199,0.646909,0.700000,0.293904,0.400180
11399,0.645446,0.565000,0.290954,0.134673
11599,0.644474,0.590000,0.288989,0.184566
11799,0.644914,0.670000,0.289863,0.331646
11999,0.645508,0.680000,0.291039,0.349064
12199,0.645583,0.650000,0.291170,0.286297
12399,0.645000,0.610000,0.289994,0.218828
12599,0.645081,0.650000,0.290164,0.289701
12799,0.644683,0.620000,0.289361,0.242726
12999,0.645859,0.720000,0.291722,0.418906
13199,0.645923,0.650000,0.291848,0.297753
13399,0.646212,0.665000,0.292422,0.313384
13599,0.647090,0.705000,0.294173,0.408581
13799,0.647794,0.695000,0.295582,0.393276
13999,0.648333,0.685000,0.296653,0.364279
14199,0.649143,0.705000,0.298274,0.410354
14399,0.649437,0.670000,0.298864,0.341580
14599,0.649028,0.620000,0.298050,0.238706
14799,0.648904,0.640000,0.297809,0.264931
14999,0.649865,0.720000,0.299730,0.427578
15199,0.649800,0.645000,0.299592,0.271795
15399,0.650000,0.665000,0.299979,0.311408
15599,0.650000,0.650000,0.299975,0.302024
15799,0.650128,0.660000,0.300235,0.323787
15999,0.649430,0.595000,0.298837,0.190000
16199,0.649750,0.675000,0.299452,0.336870
16399,0.650062,0.675000,0.300072,0.350000
16599,0.650244,0.665000,0.300428,0.328119
16799,0.650000,0.630000,0.299927,0.254032
16999,0.650119,0.660000,0.300141,0.306688
17199,0.650588,0.690000,0.301108,0.388741
17399,0.650291,0.625000,0.300527,0.247894
17599,0.651149,0.725000,0.302291,0.432639
17799,0.651705,0.700000,0.303414,0.393020
17999,0.651854,0.665000,0.303704,0.336108
18199,0.652056,0.670000,0.304106,0.341515
18399,0.652418,0.685000,0.304831,0.370000
18599,0.653043,0.710000,0.306080,0.421389
18799,0.653333,0.680000,0.306655,0.366023
18999,0.653457,0.665000,0.306896,0.334657
19199,0.653842,0.690000,0.307670,0.381484
19399,0.653594,0.630000,0.307169,0.260592
19599,0.653918,0.685000,0.307816,0.370629
19799,0.652908,0.555000,0.305809,0.073689
19999,0.651818,0.545000,0.303634,0.081365
