# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.led_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.250000,0.250000,0.164973,0.164973
599,0.330000,0.410000,0.254261,0.338472
799,0.335000,0.345000,0.259878,0.270500
999,0.340000,0.355000,0.264950,0.280234
1199,0.340000,0.340000,0.265909,0.268739
1399,0.338333,0.330000,0.263461,0.249636
1599,0.347857,0.405000,0.274356,0.338889
1799,0.358750,0.435000,0.286552,0.370000
1999,0.364444,0.410000,0.292969,0.342234
2199,0.370500,0.425000,0.299578,0.357847
2399,0.370000,0.365000,0.299074,0.292519
2599,0.372917,0.405000,0.302266,0.335863
2799,0.378077,0.440000,0.308006,0.373917
2999,0.379643,0.400000,0.309636,0.329759
3199,0.380000,0.385000,0.310082,0.317425
3399,0.377812,0.345000,0.307706,0.270662
3599,0.373529,0.305000,0.302983,0.225022
3799,0.371111,0.330000,0.300387,0.252357
3999,0.373684,0.420000,0.303144,0.353544
4199,0.373500,0.370000,0.302946,0.296738
4399,0.374762,0.400000,0.304369,0.332963
4599,0.373864,0.355000,0.303384,0.282616
4799,0.373913,0.375000,0.303416,0.303505
4999,0.374375,0.385000,0.304047,0.317274
5199,0.375000,0.390000,0.304808,0.321864
5399,0.372885,0.320000,0.302517,0.246600
5599,0.375000,0.430000,0.304830,0.362291
5799,0.373929,0.345000,0.303651,0.271635
5999,0.375345,0.415000,0.305255,0.348099
6199,0.375333,0.375000,0.305318,0.304590
6399,0.375323,0.375000,0.305314,0.303349
6599,0.375625,0.385000,0.305685,0.317482
6799,0.376061,0.390000,0.306164,0.319519
6999,0.376471,0.390000,0.306650,0.319823
7199,0.375857,0.355000,0.305978,0.281637
7399,0.374028,0.310000,0.303946,0.231776
7599,0.374054,0.375000,0.303983,0.301637
7799,0.372632,0.320000,0.302474,0.245199
7999,0.372692,0.375000,0.302589,0.304377
8199,0.372125,0.350000,0.301970,0.278679
8399,0.372073,0.370000,0.301907,0.298812
8599,0.371190,0.335000,0.300955,0.260022
8799,0.370233,0.330000,0.299873,0.255721
8999,0.371250,0.415000,0.300993,0.351136
9199,0.371778,0.395000,0.301587,0.327666
9399,0.372609,0.410000,0.302494,0.341536
9599,0.372872,0.385000,0.302803,0.317936
9799,0.371875,0.325000,0.301726,0.250687
9999,0.371939,0.375000,0.301821,0.305941
10199,0.371300,0.340000,0.301134,0.266524
10399,0.371765,0.395000,0.301651,0.325811
10599,0.371635,0.365000,0.301510,0.294895
10799,0.371887,0.385000,0.301797,0.316135
10999,0.370741,0.310000,0.300528,0.232160
11199,0.370727,0.370000,0.300525,0.297678
11399,0.370625,0.365000,0.300420,0.292558
11599,0.370877,0.385000,0.300699,0.312926
11799,0.371638,0.415000,0.301544,0.348752
11999,0.371441,0.360000,0.301345,0.289442
12199,0.372250,0.420000,0.302246,0.355179
12399,0.373033,0.420000,0.303123,0.353238
12599,0.373387,0.395000,0.303534,0.327516
12799,0.373413,0.375000,0.303566,0.305671
12999,0.373672,0.390000,0.303847,0.322072
13199,0.373923,0.390000,0.304127,0.322429
13399,0.373182,0.325000,0.303308,0.247617
13599,0.373731,0.410000,0.303921,0.341720
13799,0.373824,0.380000,0.304037,0.310383
13999,0.374565,0.425000,0.304895,0.362386
14199,0.374714,0.385000,0.305063,0.317141
14399,0.374718,0.375000,0.305085,0.304396
14599,0.375556,0.435000,0.305999,0.367407
14799,0.375890,0.400000,0.306352,0.332016
14999,0.375743,0.365000,0.306200,0.293522
15199,0.375533,0.360000,0.305968,0.286590
15399,0.375132,0.345000,0.305529,0.271757
15599,0.374870,0.355000,0.305212,0.279531
15799,0.374615,0.355000,0.304931,0.281857
15999,0.375253,0.425000,0.305631,0.360560
16199,0.375375,0.385000,0.305776,0.315259
16399,0.375494,0.385000,0.305899,0.315564
16599,0.376707,0.475000,0.307228,0.413637
16799,0.376928,0.395000,0.307473,0.326862
16999,0.376310,0.325000,0.306786,0.249729
17199,0.376706,0.410000,0.307225,0.342600
17399,0.376860,0.390000,0.307412,0.323275
17599,0.376839,0.375000,0.307385,0.304841
17799,0.376705,0.365000,0.307256,0.296262
17999,0.376910,0.395000,0.307501,0.328561
18199,0.377444,0.425000,0.308101,0.360578
18399,0.377363,0.370000,0.308003,0.298246
18599,0.377391,0.380000,0.308027,0.310019
18799,0.377151,0.355000,0.307769,0.282656
18999,0.376702,0.335000,0.307263,0.261480
19199,0.376474,0.355000,0.307021,0.284466
19399,0.376146,0.345000,0.306662,0.272909
19599,0.375825,0.345000,0.306308,0.270276
19799,0.375204,0.315000,0.305620,0.240724
19999,0.375000,0.355000,0.305397,0.283851
