# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.pokerhand.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.655000,0.655000,0.315068,0.315068
599,0.572500,0.490000,0.361178,0.108041
799,0.576667,0.585000,0.278587,-0.010962
999,0.480000,0.190000,0.109484,-0.015992
1199,0.510000,0.630000,0.178508,0.151376
1399,0.550833,0.755000,0.236584,0.288411
1599,0.587143,0.805000,0.277203,0.314346
1799,0.603750,0.720000,0.282474,0.211490
1999,0.625000,0.795000,0.330069,0.091916
2199,0.642500,0.800000,0.363121,0.294533
2399,0.656818,0.800000,0.383690,-0.044659
2599,0.676250,0.890000,0.408452,0.000000
2799,0.686923,0.815000,0.415706,0.000000
2999,0.698929,0.855000,0.424657,0.000000
3199,0.701667,0.740000,0.420981,0.249423
3399,0.709375,0.825000,0.453055,0.204365
3599,0.722647,0.935000,0.480271,0.853842
3799,0.734167,0.930000,0.493707,0.000000
3999,0.744474,0.930000,0.504092,0.000000
4199,0.750500,0.865000,0.506854,0.000000
4399,0.756429,0.875000,0.509398,0.000000
4599,0.749545,0.605000,0.497998,0.284355
4799,0.748478,0.725000,0.489479,0.000000
4999,0.747083,0.715000,0.480336,0.000000
5199,0.746200,0.725000,0.472297,0.000000
5399,0.735962,0.480000,0.448757,0.000000
5599,0.708704,0.000000,0.400961,0.000000
5799,0.706429,0.645000,0.391066,0.000000
5999,0.710862,0.835000,0.391589,0.000000
6199,0.713333,0.785000,0.389268,0.000000
6399,0.713871,0.730000,0.384132,0.000000
6599,0.699063,0.240000,0.357171,0.000000
6799,0.683333,0.180000,0.330508,0.000000
6999,0.688382,0.855000,0.332271,0.000000
7199,0.692714,0.840000,0.333119,0.000000
7399,0.695000,0.775000,0.331227,0.000000
7599,0.684730,0.315000,0.312968,0.000000
7799,0.671842,0.195000,0.291713,0.000000
7999,0.678333,0.925000,0.295574,0.000000
8199,0.683375,0.880000,0.297658,0.000000
8399,0.687561,0.855000,0.298714,0.000000
8599,0.685238,0.590000,0.291959,0.000000
8799,0.685814,0.710000,0.288817,0.000000
8999,0.683864,0.600000,0.282541,0.000000
9199,0.672000,0.150000,0.265072,0.000000
9399,0.665543,0.375000,0.254434,0.000000
9599,0.667766,0.770000,0.253492,0.000000
9799,0.669583,0.755000,0.252119,0.000000
9999,0.662755,0.335000,0.241611,0.000000
10199,0.658400,0.445000,0.241148,0.099611
10399,0.661961,0.840000,0.243558,0.445983
10599,0.664904,0.815000,0.245149,0.287640
10799,0.659717,0.390000,0.243338,0.047731
10999,0.660926,0.725000,0.243110,0.253529
11199,0.665000,0.885000,0.245648,0.359688
11399,0.667054,0.780000,0.249903,0.505173
11599,0.670000,0.835000,0.254204,0.538042
11799,0.669741,0.655000,0.254403,0.268642
11999,0.662712,0.255000,0.250148,-0.103622
12199,0.663167,0.690000,0.251410,0.326416
12399,0.665000,0.775000,0.253214,0.381103
12599,0.657661,0.210000,0.247379,-0.224854
12799,0.658968,0.740000,0.248230,0.321193
12999,0.659687,0.705000,0.248842,0.292566
13199,0.654462,0.320000,0.243419,0.005012
13399,0.657955,0.885000,0.244854,0.151292
13599,0.658881,0.720000,0.248108,0.442009
13799,0.659485,0.700000,0.248499,0.269139
13999,0.654420,0.310000,0.244463,-0.027474
14199,0.656357,0.790000,0.246617,0.425602
14399,0.651690,0.325000,0.243116,-0.032071
14599,0.653889,0.810000,0.244610,0.367089
14799,0.649932,0.365000,0.240172,0.035321
14999,0.652230,0.820000,0.243911,0.583140
15199,0.650000,0.485000,0.243645,0.110574
15399,0.647500,0.460000,0.240114,-0.015897
15599,0.644610,0.425000,0.237690,-0.021314
15799,0.642628,0.490000,0.235647,0.039819
15999,0.641392,0.545000,0.238350,0.099723
16199,0.640375,0.560000,0.243074,-0.054524
16399,0.637160,0.380000,0.239564,-0.080704
16599,0.635488,0.500000,0.242251,0.014681
16799,0.635422,0.630000,0.252789,0.336234
16999,0.636905,0.760000,0.263973,0.000000
17199,0.636353,0.590000,0.273508,0.184485
17399,0.636802,0.675000,0.283237,0.299871
17599,0.638046,0.745000,0.292607,0.201628
17799,0.639659,0.780000,0.302344,0.302915
17999,0.640843,0.745000,0.310452,0.212173
18199,0.641722,0.720000,0.317179,0.015990
18399,0.640824,0.560000,0.322352,0.074950
18599,0.643533,0.890000,0.332033,0.599417
18799,0.646344,0.905000,0.340968,0.485861
18999,0.649628,0.955000,0.350310,0.687500
19199,0.651316,0.810000,0.356416,0.000000
19399,0.652813,0.795000,0.361957,0.000000
19599,0.653918,0.760000,0.366658,0.000000
19799,0.653878,0.650000,0.372320,0.450010
19999,0.656212,0.885000,0.385966,0.477392
