# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.rbf_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.485000,0.485000,-0.016381,-0.016381
599,0.517500,0.550000,0.038078,0.094476
799,0.521667,0.530000,0.047461,0.066256
999,0.526250,0.540000,0.058502,0.090909
1199,0.525000,0.520000,0.056116,0.046579
1399,0.521667,0.505000,0.045391,-0.009380
1599,0.519286,0.505000,0.039461,0.003423
1799,0.530000,0.605000,0.053116,0.156884
1999,0.528889,0.520000,0.044714,-0.027837
2199,0.529500,0.535000,0.045455,0.052374
2399,0.525455,0.485000,0.041812,0.013221
2599,0.525417,0.525000,0.040963,0.031995
2799,0.523846,0.505000,0.039116,0.015709
2999,0.522500,0.505000,0.033733,-0.023573
3199,0.518000,0.455000,0.027134,-0.067372
3399,0.518125,0.520000,0.025621,0.018706
3599,0.510588,0.390000,0.017071,-0.136893
3799,0.512222,0.540000,0.020752,0.080000
3999,0.510789,0.485000,0.018766,-0.026510
4199,0.508750,0.470000,0.016981,-0.043307
4399,0.505952,0.450000,0.012849,-0.100000
4599,0.505000,0.485000,0.011411,-0.051450
4799,0.504565,0.495000,0.010296,-0.010000
4999,0.506667,0.555000,0.015763,0.000000
5199,0.505400,0.475000,0.012218,0.000000
5399,0.505192,0.500000,0.010873,0.017296
5599,0.504630,0.490000,0.009259,-0.018472
5799,0.505714,0.535000,0.011263,0.071671
5999,0.507586,0.560000,0.013373,0.099191
6199,0.507833,0.515000,0.012915,0.014828
6399,0.508548,0.530000,0.013042,0.009170
6599,0.509062,0.525000,0.013762,0.040598
6799,0.509545,0.525000,0.016225,0.053596
6999,0.511324,0.570000,0.019688,0.137931
7199,0.514000,0.605000,0.025368,0.211891
7399,0.512083,0.445000,0.021139,-0.145038
7599,0.512297,0.520000,0.022174,0.057807
7799,0.511316,0.475000,0.020465,-0.046234
7999,0.512692,0.565000,0.023154,0.127907
8199,0.513125,0.530000,0.023272,0.038462
8399,0.513537,0.530000,0.023673,0.040816
8599,0.514405,0.550000,0.025381,0.096476
8799,0.514186,0.505000,0.024403,-0.005484
8999,0.513977,0.505000,0.023556,-0.029106
9199,0.514778,0.550000,0.024734,0.060052
9399,0.514891,0.520000,0.024332,-0.038062
9599,0.515106,0.525000,0.024221,-0.008707
9799,0.515104,0.515000,0.023672,-0.029943
9999,0.514796,0.500000,0.022796,-0.009999
10199,0.513900,0.470000,0.021120,-0.010005
10399,0.513137,0.475000,0.019869,-0.015474
10599,0.512212,0.465000,0.017770,-0.095189
10799,0.513113,0.560000,0.018704,0.000000
10999,0.512315,0.470000,0.017426,-0.012610
11199,0.511818,0.485000,0.015790,-0.097613
11399,0.511429,0.490000,0.015233,0.024390
11599,0.512281,0.560000,0.015717,-0.013825
11799,0.512328,0.515000,0.015473,-0.007478
11999,0.512881,0.545000,0.015928,0.009793
12199,0.513250,0.535000,0.015909,-0.032186
12399,0.513525,0.530000,0.015978,0.000000
12599,0.513710,0.525000,0.015936,0.000000
12799,0.513889,0.525000,0.015890,0.000000
12999,0.513906,0.515000,0.015654,0.000000
13199,0.514385,0.545000,0.016238,0.042307
13399,0.513864,0.480000,0.015266,-0.031439
13599,0.513433,0.485000,0.014687,0.002325
13799,0.513529,0.520000,0.014008,-0.077683
13999,0.514275,0.565000,0.015026,0.068123
14199,0.514571,0.535000,0.016046,0.080482
14399,0.514085,0.480000,0.015478,-0.029193
14599,0.513819,0.495000,0.014669,-0.037387
14799,0.513219,0.470000,0.013851,-0.059470
14999,0.513716,0.550000,0.014996,0.098106
15199,0.513867,0.525000,0.015462,0.047141
15399,0.514342,0.550000,0.016072,0.084901
15599,0.513571,0.455000,0.014135,-0.104580
15799,0.513526,0.510000,0.013880,0.017347
15999,0.513354,0.500000,0.013070,-0.050420
16199,0.513250,0.505000,0.012737,-0.006916
16399,0.513210,0.510000,0.012347,-0.027685
16599,0.512805,0.480000,0.011597,-0.048810
16799,0.512651,0.500000,0.011081,-0.027961
16999,0.513155,0.555000,0.011779,0.061181
17199,0.513706,0.560000,0.013271,0.120440
17399,0.514012,0.540000,0.013315,0.013405
17599,0.514080,0.520000,0.013361,0.018806
17799,0.513977,0.505000,0.013174,0.000000
17999,0.513315,0.455000,0.011920,-0.098569
18199,0.513111,0.495000,0.011370,-0.030612
18399,0.513352,0.535000,0.011784,0.055454
18599,0.513533,0.530000,0.012662,0.091963
18799,0.513280,0.490000,0.012023,-0.049923
18999,0.513191,0.505000,0.011964,0.010000
19199,0.512842,0.480000,0.011596,-0.002700
19399,0.512500,0.480000,0.011058,-0.026856
19599,0.512216,0.485000,0.010682,-0.010597
19799,0.512245,0.515000,0.011031,0.040364
19999,0.512020,0.490000,0.010649,-0.024096
