# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.sea_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.830000,0.830000,0.644054,0.644054
599,0.852500,0.875000,0.698071,0.748085
799,0.853333,0.855000,0.696541,0.693252
999,0.838750,0.795000,0.665339,0.570681
1199,0.841000,0.850000,0.669507,0.686455
1399,0.838333,0.825000,0.664615,0.640952
1599,0.836429,0.825000,0.663334,0.650000
1799,0.836875,0.840000,0.664039,0.669421
1999,0.833333,0.805000,0.657482,0.605023
2199,0.835500,0.855000,0.661679,0.699917
2399,0.840000,0.885000,0.669196,0.743189
2599,0.835417,0.785000,0.660350,0.564248
2799,0.830385,0.770000,0.650449,0.535166
2999,0.828214,0.800000,0.646193,0.591169
3199,0.819333,0.695000,0.628436,0.385205
3399,0.818750,0.810000,0.628008,0.618780
3599,0.818824,0.820000,0.627787,0.623549
3799,0.818333,0.810000,0.627992,0.619886
3999,0.818421,0.820000,0.628064,0.630883
4199,0.814000,0.730000,0.619266,0.453441
4399,0.813095,0.795000,0.617137,0.572917
4599,0.812955,0.810000,0.616503,0.602178
4799,0.810217,0.750000,0.612004,0.498646
4999,0.811667,0.845000,0.615426,0.689565
5199,0.807400,0.705000,0.606693,0.408581
5399,0.803654,0.710000,0.599374,0.420000
5599,0.804815,0.835000,0.601226,0.647285
5799,0.805179,0.815000,0.601619,0.610280
5999,0.805000,0.800000,0.601350,0.594814
6199,0.806000,0.835000,0.603548,0.667003
6399,0.807097,0.840000,0.605418,0.660477
6599,0.806094,0.775000,0.604108,0.549189
6799,0.804091,0.740000,0.600371,0.479375
6999,0.803971,0.800000,0.600293,0.596774
7199,0.804714,0.830000,0.601832,0.654190
7399,0.805139,0.820000,0.602622,0.630693
7599,0.805135,0.805000,0.602689,0.604863
7799,0.803816,0.755000,0.599916,0.496299
7999,0.802564,0.755000,0.597188,0.491279
8199,0.804000,0.860000,0.599922,0.707358
8399,0.804146,0.810000,0.600047,0.605809
8599,0.806071,0.885000,0.603921,0.763618
8799,0.804651,0.745000,0.601103,0.490000
8999,0.804545,0.800000,0.600938,0.595633
9199,0.803778,0.770000,0.599014,0.501355
9399,0.803370,0.785000,0.597819,0.533015
9599,0.802128,0.745000,0.595713,0.496346
9799,0.801146,0.755000,0.593704,0.499796
9999,0.800918,0.790000,0.593033,0.557289
10199,0.800600,0.785000,0.592443,0.564513
10399,0.800490,0.795000,0.592082,0.572560
10599,0.800481,0.800000,0.591890,0.579655
10799,0.800755,0.815000,0.592340,0.615465
10999,0.800185,0.770000,0.590938,0.509386
11199,0.800182,0.800000,0.590894,0.588774
11399,0.799732,0.775000,0.589987,0.540441
11599,0.799211,0.770000,0.588383,0.459777
11799,0.799569,0.820000,0.588769,0.602122
11999,0.799576,0.800000,0.588521,0.570216
12199,0.798917,0.760000,0.586887,0.481193
12399,0.799262,0.820000,0.586891,0.537988
12599,0.799355,0.805000,0.586275,0.473258
12799,0.799444,0.805000,0.585909,0.533493
12999,0.799687,0.815000,0.585751,0.535876
13199,0.798769,0.740000,0.583224,0.355478
13399,0.798485,0.780000,0.582067,0.468920
13599,0.798806,0.820000,0.582121,0.556268
13799,0.798235,0.760000,0.580658,0.476211
13999,0.798188,0.795000,0.580167,0.531536
14199,0.798214,0.800000,0.579668,0.514386
14399,0.798662,0.830000,0.580076,0.591346
14599,0.798542,0.790000,0.579120,0.454475
14799,0.799521,0.870000,0.580640,0.686180
14999,0.799730,0.815000,0.580523,0.547677
15199,0.799400,0.775000,0.579694,0.517064
15399,0.800066,0.850000,0.580723,0.655370
15599,0.800130,0.805000,0.580436,0.542146
15799,0.799679,0.765000,0.579419,0.500106
15999,0.799430,0.780000,0.578251,0.428349
16199,0.800312,0.870000,0.579620,0.684657
16399,0.800123,0.785000,0.578847,0.499767
16599,0.800305,0.815000,0.578836,0.565626
16799,0.800602,0.825000,0.579040,0.585799
16999,0.800655,0.805000,0.578578,0.503185
17199,0.799706,0.720000,0.576496,0.401709
17399,0.800349,0.855000,0.577386,0.646082
17599,0.800575,0.820000,0.577444,0.568552
17799,0.801477,0.880000,0.578891,0.705594
17999,0.801461,0.800000,0.578539,0.536554
18199,0.801667,0.820000,0.578572,0.567723
18399,0.801538,0.790000,0.577847,0.484789
18599,0.801685,0.815000,0.577705,0.544783
18799,0.802151,0.845000,0.578027,0.572178
18999,0.802181,0.805000,0.577652,0.521472
19199,0.802000,0.785000,0.576748,0.452229
19399,0.802031,0.805000,0.576527,0.546828
19599,0.801856,0.785000,0.575865,0.499767
19799,0.801786,0.795000,0.575075,0.434950
19999,0.801970,0.820000,0.574849,0.508264
