# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HAT.stagger_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.960000,0.960000,0.917755,0.917755
599,0.962500,0.965000,0.924653,0.930070
799,0.975000,1.000000,0.949438,1.000000
999,0.970000,0.955000,0.938675,0.902850
1199,0.968000,0.960000,0.934555,0.918033
1399,0.957500,0.905000,0.912556,0.796443
1599,0.951429,0.915000,0.899901,0.823101
1799,0.942500,0.880000,0.881609,0.755601
1999,0.938889,0.910000,0.873579,0.803943
2199,0.933000,0.880000,0.861350,0.751553
2399,0.931364,0.915000,0.858454,0.829352
2599,0.933750,0.960000,0.863386,0.917898
2799,0.937308,0.980000,0.870971,0.959690
2999,0.940357,0.980000,0.877260,0.959096
3199,0.942667,0.975000,0.882393,0.950020
3399,0.944063,0.965000,0.885624,0.930070
3599,0.945882,0.975000,0.889120,0.946842
3799,0.946944,0.965000,0.891577,0.930084
3999,0.948684,0.980000,0.895079,0.958827
4199,0.950500,0.985000,0.898724,0.968944
4399,0.952143,0.985000,0.901923,0.967921
4599,0.952955,0.970000,0.903910,0.939565
4799,0.954783,0.995000,0.907722,0.989944
4999,0.955208,0.965000,0.908624,0.929307
5199,0.956000,0.975000,0.910250,0.949239
5399,0.956923,0.980000,0.912215,0.959916
5599,0.957222,0.965000,0.912785,0.927880
5799,0.958036,0.980000,0.914508,0.959872
5999,0.958966,0.985000,0.916401,0.969450
6199,0.959333,0.970000,0.917220,0.939958
6399,0.959677,0.970000,0.917920,0.939024
6599,0.960000,0.970000,0.918617,0.939759
6799,0.960152,0.965000,0.918998,0.930070
6999,0.960441,0.970000,0.919698,0.939838
7199,0.960571,0.965000,0.920004,0.929944
7399,0.960833,0.970000,0.920545,0.939449
7599,0.961351,0.980000,0.921670,0.959980
7799,0.961842,0.980000,0.922652,0.959217
7999,0.961923,0.965000,0.922849,0.929944
8199,0.962250,0.975000,0.923502,0.949104
8399,0.962805,0.985000,0.924688,0.969970
8599,0.962976,0.970000,0.925075,0.940048
8799,0.963140,0.970000,0.925412,0.939565
8999,0.963409,0.975000,0.925981,0.949930
9199,0.963556,0.970000,0.926297,0.939904
9399,0.964130,0.990000,0.927455,0.979710
9599,0.964362,0.975000,0.927952,0.950020
9799,0.964271,0.960000,0.927788,0.920000
9999,0.964490,0.975000,0.928245,0.949880
10199,0.964700,0.975000,0.928661,0.949104
10399,0.964804,0.970000,0.928869,0.939320
10599,0.964712,0.960000,0.928708,0.920064
10799,0.964528,0.955000,0.928321,0.907673
10999,0.963426,0.905000,0.926115,0.810682
11199,0.961727,0.870000,0.922688,0.739557
11399,0.958304,0.770000,0.915754,0.531139
11599,0.955175,0.780000,0.909409,0.546439
11799,0.952931,0.825000,0.904870,0.646036
11999,0.952966,0.955000,0.904864,0.899396
12199,0.953000,0.955000,0.904855,0.899441
12399,0.953689,0.995000,0.906153,0.988260
12599,0.954355,0.995000,0.907450,0.989245
12799,0.955000,0.995000,0.908688,0.988899
12999,0.955703,1.000000,0.910031,1.000000
13199,0.956385,1.000000,0.911340,1.000000
13399,0.957045,1.000000,0.912595,1.000000
13599,0.957687,1.000000,0.913841,1.000000
13799,0.958309,1.000000,0.914988,1.000000
13999,0.958913,1.000000,0.916118,1.000000
14199,0.959500,1.000000,0.917268,1.000000
14399,0.960070,1.000000,0.918401,1.000000
14599,0.960625,1.000000,0.919465,1.000000
14799,0.961164,1.000000,0.920528,1.000000
14999,0.961689,1.000000,0.921539,1.000000
15199,0.962200,1.000000,0.922587,1.000000
15399,0.961250,0.890000,0.920598,0.762547
15599,0.961623,0.990000,0.921322,0.978301
15799,0.962115,1.000000,0.922314,1.000000
15999,0.962595,1.000000,0.923243,1.000000
16199,0.963063,1.000000,0.924142,1.000000
16399,0.963519,1.000000,0.925030,1.000000
16599,0.963963,1.000000,0.925924,1.000000
16799,0.964398,1.000000,0.926751,1.000000
16999,0.964821,1.000000,0.927584,1.000000
17199,0.965235,1.000000,0.928379,1.000000
17399,0.965640,1.000000,0.929183,1.000000
17599,0.966034,1.000000,0.929975,1.000000
17799,0.966420,1.000000,0.930703,1.000000
17999,0.966798,1.000000,0.931441,1.000000
18199,0.967167,1.000000,0.932202,1.000000
18399,0.967527,1.000000,0.932868,1.000000
18599,0.967880,1.000000,0.933549,1.000000
18799,0.968226,1.000000,0.934191,1.000000
18999,0.968564,1.000000,0.934858,1.000000
19199,0.968895,1.000000,0.935527,1.000000
19399,0.969219,1.000000,0.936151,1.000000
19599,0.969536,1.000000,0.936786,1.000000
19799,0.969847,1.000000,0.937406,1.000000
19999,0.970152,1.000000,0.938003,1.000000
