# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.agrawal_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.865000,0.865000,0.551644,0.551644
599,0.832500,0.800000,0.491654,0.440638
799,0.826667,0.815000,0.525894,0.566542
999,0.817500,0.790000,0.525762,0.516630
1199,0.840000,0.930000,0.600800,0.848354
1399,0.865000,0.990000,0.668041,0.977211
1599,0.881429,0.980000,0.716583,0.957766
1799,0.895000,0.990000,0.753109,0.978552
1999,0.905556,0.990000,0.782299,0.979332
2199,0.915000,1.000000,0.804358,1.000000
2399,0.922727,1.000000,0.824977,1.000000
2599,0.929167,1.000000,0.839951,1.000000
2799,0.934615,1.000000,0.852041,1.000000
2999,0.939286,1.000000,0.862281,1.000000
3199,0.943333,1.000000,0.871266,1.000000
3399,0.946875,1.000000,0.878788,1.000000
3599,0.950000,1.000000,0.886075,1.000000
3799,0.952778,1.000000,0.892005,1.000000
3999,0.955263,1.000000,0.897524,1.000000
4199,0.957250,0.995000,0.902235,0.988899
4399,0.959286,1.000000,0.907008,1.000000
4599,0.961136,1.000000,0.911337,1.000000
4799,0.962826,1.000000,0.915280,1.000000
4999,0.964375,1.000000,0.918807,1.000000
5199,0.965800,1.000000,0.922102,1.000000
5399,0.967115,1.000000,0.925162,1.000000
5599,0.968333,1.000000,0.927736,1.000000
5799,0.969464,1.000000,0.930358,1.000000
5999,0.970517,1.000000,0.932852,1.000000
6199,0.971500,1.000000,0.935088,1.000000
6399,0.972419,1.000000,0.937066,1.000000
6599,0.973281,1.000000,0.939110,1.000000
6799,0.974091,1.000000,0.940940,1.000000
6999,0.974853,1.000000,0.942757,1.000000
7199,0.975571,1.000000,0.944415,1.000000
7399,0.976250,1.000000,0.946039,1.000000
7599,0.976892,1.000000,0.947503,1.000000
7799,0.977500,1.000000,0.948933,1.000000
7999,0.978077,1.000000,0.950286,1.000000
8199,0.978625,1.000000,0.951532,1.000000
8399,0.979146,1.000000,0.952735,1.000000
8599,0.979643,1.000000,0.953794,1.000000
8799,0.980116,1.000000,0.954929,1.000000
8999,0.980568,1.000000,0.955971,1.000000
9199,0.981000,1.000000,0.956922,1.000000
9399,0.981413,1.000000,0.957803,1.000000
9599,0.981809,1.000000,0.958697,1.000000
9799,0.982187,1.000000,0.959501,1.000000
9999,0.982551,1.000000,0.960325,1.000000
10199,0.982900,1.000000,0.961123,1.000000
10399,0.983235,1.000000,0.961842,1.000000
10599,0.983558,1.000000,0.962552,1.000000
10799,0.983868,1.000000,0.963258,1.000000
10999,0.984167,1.000000,0.963943,1.000000
11199,0.984455,1.000000,0.964618,1.000000
11399,0.984732,1.000000,0.965249,1.000000
11599,0.980526,0.745000,0.955748,0.465297
11799,0.972759,0.530000,0.938151,0.020833
11999,0.968051,0.695000,0.927597,0.387427
12199,0.965833,0.835000,0.922727,0.663334
12399,0.963852,0.845000,0.918394,0.681594
12599,0.961855,0.840000,0.914069,0.675292
12799,0.961746,0.955000,0.914082,0.909457
12999,0.961875,0.970000,0.914727,0.939952
13199,0.961538,0.940000,0.914231,0.879868
13399,0.961667,0.970000,0.914676,0.938675
13599,0.962164,0.995000,0.916069,0.990000
13799,0.962206,0.965000,0.916406,0.929972
13999,0.962754,1.000000,0.917844,1.000000
14199,0.963071,0.985000,0.918723,0.969837
14399,0.963451,0.990000,0.919819,0.979952
14599,0.963611,0.975000,0.920343,0.949880
14799,0.964041,0.995000,0.921483,0.990000
14999,0.964324,0.985000,0.922269,0.969970
15199,0.964400,0.970000,0.922609,0.940048
15399,0.964868,1.000000,0.923734,1.000000
15599,0.965260,0.995000,0.924711,0.989958
15799,0.965641,0.995000,0.925653,0.989944
15999,0.966013,0.995000,0.926572,0.989958
16199,0.966375,0.995000,0.927486,0.989994
16399,0.966605,0.985000,0.928086,0.969880
16599,0.966951,0.995000,0.928937,0.989970
16799,0.967229,0.990000,0.929660,0.980002
16999,0.967619,1.000000,0.930586,1.000000
17199,0.968000,1.000000,0.931513,1.000000
17399,0.968314,0.995000,0.932309,0.989988
17599,0.968678,1.000000,0.933208,1.000000
17799,0.968977,0.995000,0.933915,0.989944
17999,0.969157,0.985000,0.934384,0.969988
18199,0.969389,0.990000,0.934979,0.979984
18399,0.969670,0.995000,0.935626,0.989889
18599,0.969946,0.995000,0.936265,0.989927
18799,0.970161,0.990000,0.936759,0.979658
18999,0.970372,0.990000,0.937239,0.979600
19199,0.970579,0.990000,0.937754,0.980000
19399,0.970781,0.990000,0.938255,0.980002
19599,0.970825,0.975000,0.938426,0.950000
19799,0.970867,0.975000,0.938577,0.950000
19999,0.970909,0.975000,0.938671,0.947841
