# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.covtype.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.735000,0.735000,0.580663,0.580663
599,0.730000,0.725000,0.584655,0.589261
799,0.683333,0.590000,0.544239,0.471002
999,0.691250,0.715000,0.589960,0.654137
1199,0.708000,0.775000,0.634569,0.729022
1399,0.672500,0.495000,0.597013,0.393302
1599,0.649286,0.510000,0.570284,0.394894
1799,0.641875,0.590000,0.567083,0.499832
1999,0.630000,0.535000,0.556079,0.369021
2199,0.629500,0.625000,0.558581,0.470358
2399,0.622727,0.555000,0.552350,0.390307
2599,0.627917,0.685000,0.558442,0.521477
2799,0.632692,0.690000,0.562913,0.517303
2999,0.638571,0.715000,0.567855,0.505273
3199,0.641000,0.675000,0.568221,0.440282
3399,0.636563,0.570000,0.561158,0.408284
3599,0.630882,0.540000,0.552730,0.372292
3799,0.626667,0.555000,0.545574,0.358836
3999,0.621842,0.535000,0.538371,0.368185
4199,0.621750,0.620000,0.536782,0.480431
4399,0.621429,0.615000,0.535561,0.478602
4599,0.619773,0.585000,0.533371,0.389099
4799,0.615870,0.530000,0.528890,0.357880
4999,0.614375,0.580000,0.527827,0.353672
5199,0.616800,0.675000,0.530811,0.434660
5399,0.619808,0.695000,0.534705,0.488427
5599,0.610370,0.365000,0.525741,0.218606
5799,0.603750,0.425000,0.519664,0.286136
5999,0.594310,0.330000,0.510083,0.238853
6199,0.587000,0.375000,0.502882,0.267592
6399,0.573226,0.160000,0.488560,0.054187
6599,0.569375,0.450000,0.485320,0.349266
6799,0.562576,0.345000,0.479154,0.242227
6999,0.561765,0.535000,0.480242,0.399438
7199,0.557571,0.415000,0.476893,0.302991
7399,0.552639,0.380000,0.472433,0.243233
7599,0.547432,0.360000,0.467392,0.216526
7799,0.544474,0.435000,0.464881,0.311982
7999,0.540513,0.390000,0.461587,0.183455
8199,0.537125,0.405000,0.459427,0.185963
8399,0.538537,0.595000,0.462892,0.322799
8599,0.539405,0.575000,0.465151,0.315730
8799,0.545814,0.815000,0.473250,0.693594
8999,0.546250,0.565000,0.474509,0.397319
9199,0.545222,0.500000,0.473977,0.341412
9399,0.543804,0.480000,0.472782,0.234196
9599,0.546170,0.655000,0.475500,0.426291
9799,0.543646,0.425000,0.472351,0.217926
9999,0.540204,0.375000,0.468237,0.116202
10199,0.536400,0.350000,0.463739,0.134314
10399,0.533235,0.375000,0.459990,0.205845
10599,0.536442,0.700000,0.462948,0.009002
10799,0.534717,0.445000,0.460777,0.094727
10999,0.530278,0.295000,0.455801,0.138352
11199,0.524545,0.215000,0.449331,0.104622
11399,0.521786,0.370000,0.446097,0.260694
11599,0.518684,0.345000,0.442566,0.162163
11799,0.516983,0.420000,0.440527,0.220927
11999,0.516949,0.515000,0.440341,0.356294
12199,0.517083,0.525000,0.440274,0.349315
12399,0.517049,0.515000,0.439922,0.283948
12599,0.517419,0.540000,0.440340,0.440933
12799,0.514365,0.325000,0.437014,0.197456
12999,0.510469,0.265000,0.432748,0.144379
13199,0.506923,0.280000,0.428977,0.152966
13399,0.504621,0.355000,0.426608,0.196212
13599,0.504552,0.500000,0.426815,0.245909
13799,0.503235,0.415000,0.425544,0.188036
13999,0.502536,0.455000,0.424441,0.330426
14199,0.501786,0.450000,0.423268,0.259857
14399,0.506408,0.830000,0.427393,0.000000
14599,0.512014,0.910000,0.432386,0.000000
14799,0.516233,0.820000,0.435900,0.000000
14999,0.520946,0.865000,0.439809,0.000000
15199,0.525067,0.830000,0.442984,0.011628
15399,0.529539,0.865000,0.446498,0.000000
15599,0.533117,0.805000,0.449064,0.000000
15799,0.535769,0.740000,0.450661,0.000000
15999,0.537785,0.695000,0.451586,0.000000
16199,0.541125,0.805000,0.453762,0.000000
16399,0.545494,0.895000,0.457330,0.692172
16599,0.549817,0.900000,0.460894,0.734078
16799,0.553795,0.880000,0.464137,0.729973
16999,0.557679,0.880000,0.467166,0.643653
17199,0.561882,0.915000,0.470736,0.778068
17399,0.566105,0.925000,0.474331,0.803395
17599,0.570632,0.960000,0.478193,0.887672
17799,0.575000,0.955000,0.481923,0.880700
17999,0.579101,0.940000,0.485265,0.832846
18199,0.582889,0.920000,0.488044,0.706960
18399,0.586429,0.905000,0.490365,0.465917
18599,0.589022,0.825000,0.491908,0.442231
18799,0.591935,0.860000,0.493998,0.620210
18999,0.595106,0.890000,0.496194,0.619838
19199,0.598053,0.875000,0.498145,0.598071
19399,0.600521,0.835000,0.499679,0.544828
19599,0.602887,0.830000,0.501066,0.513660
19799,0.604898,0.800000,0.501893,0.341780
19999,0.608081,0.920000,0.503767,0.389313
