# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.875000,0.875000,0.744794,0.744794
599,0.805000,0.735000,0.604943,0.466801
799,0.816667,0.840000,0.633333,0.670511
999,0.837500,0.900000,0.675051,0.799096
1199,0.832000,0.810000,0.656301,0.150838
1399,0.838333,0.870000,0.659206,0.588933
1599,0.840714,0.855000,0.655197,0.568709
1799,0.836250,0.805000,0.654079,0.611631
1999,0.821667,0.705000,0.626336,0.445801
2199,0.817000,0.775000,0.613428,0.472079
2399,0.807273,0.710000,0.595841,0.452262
2599,0.804167,0.770000,0.591154,0.540872
2799,0.806538,0.835000,0.598888,0.670132
2999,0.811071,0.870000,0.605522,0.684159
3199,0.810333,0.800000,0.606091,0.608649
3399,0.815625,0.895000,0.619630,0.790000
3599,0.822059,0.925000,0.631881,0.834983
3799,0.823611,0.850000,0.630172,0.325691
3999,0.827632,0.900000,0.638387,0.789584
4199,0.827250,0.820000,0.635106,0.526004
4399,0.825952,0.800000,0.629333,0.422383
4599,0.827045,0.850000,0.634393,0.699549
4799,0.830435,0.905000,0.641395,0.797052
4999,0.828542,0.785000,0.634273,0.300358
5199,0.828200,0.820000,0.635952,0.646782
5399,0.820385,0.625000,0.618449,0.196141
5599,0.821481,0.850000,0.619649,0.648876
5799,0.819107,0.755000,0.616913,0.530741
5999,0.817931,0.785000,0.613491,0.505747
6199,0.819333,0.860000,0.618385,0.722084
6399,0.816935,0.745000,0.613287,0.460203
6599,0.817656,0.840000,0.612667,0.519231
6799,0.818485,0.845000,0.614213,0.669157
6999,0.818971,0.835000,0.615264,0.652851
7199,0.817571,0.770000,0.612103,0.511885
7399,0.813333,0.665000,0.604379,0.394542
7599,0.814865,0.870000,0.607782,0.730290
7799,0.816711,0.885000,0.613921,0.759162
7999,0.817821,0.860000,0.617935,0.717372
8199,0.819625,0.890000,0.622928,0.778939
8399,0.820854,0.870000,0.627045,0.731405
8599,0.822143,0.875000,0.630477,0.750100
8799,0.823837,0.895000,0.634937,0.789453
8999,0.825341,0.890000,0.638870,0.780000
9199,0.827111,0.905000,0.642796,0.809275
9399,0.825543,0.755000,0.640376,0.520078
9599,0.825532,0.825000,0.641442,0.630880
9799,0.825000,0.800000,0.640611,0.605055
9999,0.826735,0.910000,0.644556,0.820628
