# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.hyperplane_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.690000,0.690000,0.380990,0.380990
599,0.657500,0.625000,0.314692,0.247743
799,0.633333,0.585000,0.266593,0.170000
999,0.626250,0.605000,0.252453,0.210316
1199,0.620000,0.595000,0.239988,0.187726
1399,0.627500,0.665000,0.254950,0.326633
1599,0.621429,0.585000,0.242803,0.170995
1799,0.625000,0.650000,0.249989,0.294355
1999,0.624444,0.620000,0.248933,0.244758
2199,0.622000,0.600000,0.243892,0.201358
2399,0.620455,0.605000,0.240868,0.209209
2599,0.610833,0.505000,0.221669,0.002820
2799,0.601923,0.495000,0.203856,-0.009394
2999,0.597857,0.545000,0.195708,0.091635
3199,0.596000,0.570000,0.191994,0.134373
3399,0.595313,0.585000,0.190611,0.169502
3599,0.590000,0.505000,0.179958,0.016687
3799,0.594722,0.675000,0.189322,0.343567
3999,0.600263,0.700000,0.200284,0.392774
4199,0.604750,0.690000,0.209278,0.380062
4399,0.609524,0.705000,0.218895,0.409409
4599,0.612273,0.670000,0.224214,0.322938
4799,0.616739,0.715000,0.233122,0.429658
4999,0.617708,0.640000,0.234916,0.273828
5199,0.622000,0.725000,0.243477,0.449229
5399,0.624038,0.675000,0.247726,0.344097
5599,0.625926,0.675000,0.251475,0.348697
5799,0.627321,0.665000,0.254330,0.330000
5999,0.626897,0.615000,0.253589,0.226286
6199,0.628000,0.660000,0.255751,0.319115
6399,0.627903,0.625000,0.255585,0.249850
6599,0.627344,0.610000,0.254531,0.218123
6799,0.628333,0.660000,0.256513,0.321628
6999,0.630441,0.700000,0.260811,0.390244
7199,0.630857,0.645000,0.261663,0.290000
7399,0.632500,0.690000,0.264971,0.381238
7599,0.633919,0.685000,0.267823,0.370378
7799,0.634868,0.670000,0.269744,0.337815
7999,0.635000,0.640000,0.270026,0.281437
8199,0.636250,0.685000,0.272522,0.369243
8399,0.637073,0.670000,0.274174,0.340593
8599,0.638571,0.700000,0.277163,0.400719
8799,0.640116,0.705000,0.280260,0.409646
8999,0.641477,0.700000,0.282984,0.398496
9199,0.641778,0.655000,0.283577,0.310414
9399,0.641630,0.635000,0.283282,0.269562
9599,0.643085,0.710000,0.286180,0.420000
9799,0.643542,0.665000,0.287101,0.332004
9999,0.643980,0.665000,0.287975,0.329866
10199,0.645500,0.720000,0.291008,0.440000
10399,0.646275,0.685000,0.292565,0.368864
10599,0.647404,0.705000,0.294828,0.410000
10799,0.647830,0.670000,0.295672,0.341383
10999,0.647685,0.640000,0.295373,0.281724
11199,0.648455,0.690000,0.296913,0.379814
11399,0.648750,0.665000,0.297504,0.329598
11599,0.648333,0.625000,0.296673,0.248949
11799,0.648793,0.675000,0.297589,0.347390
11999,0.649746,0.705000,0.299497,0.400650
12199,0.649583,0.640000,0.299168,0.276527
12399,0.649508,0.645000,0.299015,0.290709
12599,0.650000,0.680000,0.300001,0.362232
12799,0.649603,0.625000,0.299203,0.244104
12999,0.650469,0.705000,0.300941,0.400772
13199,0.650538,0.655000,0.301082,0.310689
13399,0.650379,0.640000,0.300764,0.271181
13599,0.650448,0.655000,0.300902,0.309586
13799,0.650735,0.670000,0.301478,0.336016
13999,0.651087,0.675000,0.302182,0.348044
14199,0.651357,0.670000,0.302721,0.339802
14399,0.650845,0.615000,0.301696,0.227683
14599,0.651181,0.675000,0.302367,0.349740
14799,0.651027,0.640000,0.302058,0.279640
14999,0.650946,0.645000,0.301892,0.293954
15199,0.649933,0.575000,0.299864,0.152542
15399,0.649539,0.620000,0.299073,0.237942
15599,0.649221,0.625000,0.298437,0.249850
15799,0.648846,0.620000,0.297688,0.240608
15999,0.648354,0.610000,0.296706,0.220000
16199,0.648000,0.620000,0.295998,0.250715
16399,0.647593,0.615000,0.295185,0.230000
16599,0.646829,0.585000,0.293660,0.170332
16799,0.645361,0.525000,0.290726,0.051896
16999,0.645893,0.690000,0.291789,0.380000
17199,0.646000,0.655000,0.292003,0.308479
17399,0.645581,0.610000,0.291162,0.224344
17599,0.645690,0.655000,0.291379,0.302889
17799,0.646307,0.700000,0.292613,0.397288
17999,0.646742,0.685000,0.293483,0.370252
18199,0.646778,0.650000,0.293556,0.301467
18399,0.647143,0.680000,0.294287,0.360000
18599,0.647609,0.690000,0.295218,0.378758
18799,0.647903,0.675000,0.295809,0.352590
18999,0.647819,0.640000,0.295643,0.282511
19199,0.647579,0.625000,0.295162,0.248497
19399,0.647656,0.655000,0.295319,0.312475
19599,0.648351,0.715000,0.296710,0.431478
19799,0.647959,0.610000,0.295925,0.208604
19999,0.647626,0.615000,0.295257,0.230462
