# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.led_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.250000,0.250000,0.165717,0.165717
599,0.342500,0.435000,0.267924,0.366361
799,0.340000,0.335000,0.265292,0.259507
999,0.342500,0.350000,0.267339,0.274432
1199,0.350000,0.380000,0.276815,0.312639
1399,0.350000,0.350000,0.276348,0.272503
1599,0.360714,0.425000,0.288519,0.360863
1799,0.365000,0.395000,0.293352,0.325717
1999,0.370556,0.415000,0.299584,0.347517
2199,0.376000,0.425000,0.305540,0.357398
2399,0.373182,0.345000,0.302461,0.270053
2599,0.375417,0.400000,0.304906,0.330039
2799,0.379231,0.425000,0.309186,0.357434
2999,0.380714,0.400000,0.310735,0.330058
3199,0.381000,0.385000,0.311095,0.317292
3399,0.378125,0.335000,0.307960,0.260413
3599,0.373529,0.300000,0.302890,0.220034
3799,0.371111,0.330000,0.300279,0.252149
3999,0.372895,0.405000,0.302161,0.336807
4199,0.374000,0.395000,0.303398,0.324192
4399,0.374524,0.385000,0.303995,0.316097
4599,0.374318,0.370000,0.303761,0.298167
4799,0.373913,0.365000,0.303291,0.292381
4999,0.374583,0.390000,0.304174,0.322693
5199,0.374600,0.375000,0.304274,0.304764
5399,0.373269,0.340000,0.302848,0.268799
5599,0.375741,0.440000,0.305560,0.373251
5799,0.374464,0.340000,0.304158,0.265953
5999,0.375690,0.410000,0.305553,0.342399
6199,0.376167,0.390000,0.306167,0.321845
6399,0.376129,0.375000,0.306136,0.303796
6599,0.376250,0.380000,0.306314,0.312372
6799,0.376515,0.385000,0.306608,0.314572
6999,0.376912,0.390000,0.307093,0.320505
7199,0.376429,0.360000,0.306569,0.286471
7399,0.374722,0.315000,0.304676,0.237427
7599,0.374324,0.360000,0.304244,0.285455
7799,0.373158,0.330000,0.303020,0.255514
7999,0.373462,0.385000,0.303409,0.314649
8199,0.373125,0.360000,0.303039,0.288770
8399,0.372927,0.365000,0.302824,0.294425
8599,0.371786,0.325000,0.301586,0.250333
8799,0.371047,0.340000,0.300748,0.266769
8999,0.372045,0.415000,0.301852,0.350649
9199,0.372778,0.405000,0.302672,0.339054
9399,0.373587,0.410000,0.303548,0.341610
9599,0.373723,0.380000,0.303721,0.312410
9799,0.373021,0.340000,0.302971,0.268576
9999,0.372959,0.370000,0.302933,0.300194
10199,0.372700,0.360000,0.302670,0.289540
10399,0.373431,0.410000,0.303487,0.342325
10599,0.373173,0.360000,0.303203,0.289303
10799,0.372925,0.360000,0.302935,0.288592
10999,0.371852,0.315000,0.301745,0.237746
11199,0.372182,0.390000,0.302126,0.321053
11399,0.372321,0.380000,0.302291,0.309365
11599,0.372281,0.370000,0.302240,0.296404
11799,0.373103,0.420000,0.303158,0.354174
11999,0.372712,0.350000,0.302743,0.278139
12199,0.373500,0.420000,0.303624,0.355108
12399,0.374016,0.405000,0.304202,0.336437
12599,0.374516,0.405000,0.304774,0.338411
12799,0.374524,0.375000,0.304783,0.305247
12999,0.374531,0.375000,0.304780,0.304396
13199,0.374846,0.395000,0.305132,0.327722
13399,0.374242,0.335000,0.304471,0.258764
13599,0.374701,0.405000,0.304986,0.335956
13799,0.375074,0.400000,0.305417,0.332647
13999,0.376014,0.440000,0.306496,0.378227
14199,0.375857,0.365000,0.306321,0.294621
14399,0.375775,0.370000,0.306251,0.298948
14599,0.376528,0.430000,0.307071,0.362345
14799,0.377055,0.415000,0.307635,0.348480
14999,0.376959,0.370000,0.307540,0.298558
15199,0.376600,0.350000,0.307142,0.276028
15399,0.375921,0.325000,0.306395,0.248873
15599,0.375779,0.365000,0.306211,0.290661
15799,0.375513,0.355000,0.305919,0.281597
15999,0.376203,0.430000,0.306675,0.366191
16199,0.376312,0.385000,0.306806,0.314954
16399,0.376605,0.400000,0.307122,0.332647
16599,0.377988,0.490000,0.308637,0.429674
16799,0.378072,0.385000,0.308729,0.315773
16999,0.377321,0.315000,0.307892,0.238445
17199,0.377529,0.395000,0.308121,0.325924
17399,0.377326,0.360000,0.307910,0.289165
17599,0.377184,0.365000,0.307749,0.292893
17799,0.377102,0.370000,0.307681,0.302210
17999,0.377416,0.405000,0.308047,0.339568
18199,0.377833,0.415000,0.308517,0.349729
18399,0.377582,0.355000,0.308230,0.281437
18599,0.377391,0.360000,0.308010,0.287939
18799,0.377258,0.365000,0.307870,0.292775
18999,0.376702,0.325000,0.307240,0.249583
19199,0.376421,0.350000,0.306941,0.278699
19399,0.376406,0.375000,0.306928,0.306480
19599,0.375876,0.325000,0.306342,0.249354
19799,0.375357,0.325000,0.305765,0.251539
19999,0.375202,0.360000,0.305596,0.289225
