# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.pokerhand.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.645000,0.645000,0.287756,0.287756
599,0.552500,0.460000,0.342619,0.090603
799,0.556667,0.565000,0.264367,-0.000690
999,0.462500,0.180000,0.095156,-0.025898
1199,0.487000,0.585000,0.149766,0.153752
1399,0.528333,0.735000,0.208029,0.274221
1599,0.568571,0.810000,0.251967,0.266975
1799,0.580625,0.665000,0.245260,0.000000
1999,0.578333,0.560000,0.270709,0.293258
2199,0.610000,0.895000,0.329337,0.744867
2399,0.632727,0.860000,0.357021,0.000000
2599,0.654167,0.890000,0.379505,0.000000
2799,0.666538,0.815000,0.386230,0.000000
2999,0.680000,0.855000,0.394539,0.000000
3199,0.684000,0.740000,0.388220,0.000000
3399,0.693438,0.835000,0.427969,0.251106
3599,0.707647,0.935000,0.458301,0.853842
3799,0.720000,0.930000,0.470541,0.000000
3999,0.731053,0.930000,0.480076,0.000000
4199,0.737750,0.865000,0.482519,0.000000
4399,0.744286,0.875000,0.484784,0.000000
4599,0.738636,0.620000,0.468227,0.000000
4799,0.738043,0.725000,0.459885,0.000000
4999,0.737083,0.715000,0.451000,0.000000
5199,0.736600,0.725000,0.443151,0.000000
5399,0.726731,0.480000,0.420962,0.000000
5599,0.699815,0.000000,0.376414,0.000000
5799,0.697857,0.645000,0.367018,0.000000
5999,0.702586,0.835000,0.367158,0.000000
6199,0.705333,0.785000,0.364713,0.000000
6399,0.706129,0.730000,0.359709,0.000000
6599,0.691562,0.240000,0.334704,0.000000
6799,0.676061,0.180000,0.310093,0.000000
6999,0.681324,0.855000,0.311397,0.000000
7199,0.685857,0.840000,0.311891,0.000000
7399,0.688333,0.775000,0.309914,0.000000
7599,0.678243,0.315000,0.293038,0.000000
7799,0.665526,0.195000,0.273590,0.000000
7999,0.672179,0.925000,0.276824,0.000000
8199,0.677375,0.880000,0.278473,0.000000
8399,0.681707,0.855000,0.279208,0.000000
8599,0.679524,0.590000,0.272854,0.000000
8799,0.680233,0.710000,0.269792,0.000000
8999,0.678409,0.600000,0.263915,0.000000
9199,0.666667,0.150000,0.247889,0.000000
9399,0.660326,0.375000,0.238088,0.000000
9599,0.662660,0.770000,0.237054,0.000000
9799,0.664583,0.755000,0.235642,0.000000
9999,0.657857,0.335000,0.225964,0.000000
10199,0.650400,0.285000,0.217722,-0.036607
10399,0.653824,0.825000,0.219467,0.414128
10599,0.656731,0.805000,0.220569,0.233189
10799,0.652264,0.420000,0.221300,0.109234
10999,0.653333,0.710000,0.220520,0.207759
11199,0.657545,0.885000,0.222862,0.359688
11399,0.659821,0.785000,0.226974,0.477458
11599,0.662807,0.830000,0.231095,0.513521
11799,0.662328,0.635000,0.230769,0.217032
11999,0.655508,0.260000,0.227978,-0.063600
12199,0.656167,0.695000,0.229639,0.331214
12399,0.658115,0.775000,0.231482,0.366821
12599,0.650968,0.215000,0.226863,-0.183789
12799,0.652381,0.740000,0.227860,0.321193
12999,0.653359,0.715000,0.228761,0.291045
13199,0.648231,0.320000,0.224287,0.005012
13399,0.651667,0.875000,0.225052,0.018838
13599,0.652612,0.715000,0.228061,0.411825
13799,0.653456,0.710000,0.228922,0.287688
13999,0.648188,0.290000,0.225076,-0.058043
14199,0.650071,0.780000,0.226978,0.391425
14399,0.645563,0.330000,0.224453,-0.016731
14599,0.647986,0.820000,0.225986,0.341142
14799,0.644110,0.365000,0.222169,0.040351
14999,0.646486,0.820000,0.225962,0.578898
15199,0.644800,0.520000,0.227171,0.177765
15399,0.642829,0.495000,0.224825,0.045278
15599,0.640714,0.480000,0.224130,0.098787
15799,0.639359,0.535000,0.223207,0.126268
15999,0.638165,0.545000,0.226287,0.104859
16199,0.636375,0.495000,0.229617,-0.144087
16399,0.632901,0.355000,0.225248,-0.146769
16599,0.631280,0.500000,0.228451,0.014681
16799,0.631205,0.625000,0.239594,0.329039
16999,0.632738,0.760000,0.251608,0.000000
17199,0.632235,0.590000,0.261957,0.184485
17399,0.633488,0.740000,0.273430,0.306112
17599,0.635230,0.785000,0.285051,0.439520
17799,0.636932,0.785000,0.295390,0.303813
17999,0.638146,0.745000,0.303986,0.213933
18199,0.639056,0.720000,0.311144,0.015990
18399,0.639615,0.690000,0.318504,0.257129
18599,0.641576,0.820000,0.326456,0.000000
18799,0.642581,0.735000,0.333671,0.277043
18999,0.645851,0.950000,0.343315,0.653979
19199,0.647579,0.810000,0.349789,0.000000
19399,0.649115,0.795000,0.355672,0.000000
19599,0.650258,0.760000,0.360683,0.000000
19799,0.647347,0.365000,0.359688,0.041835
19999,0.650202,0.930000,0.374758,0.611758
