# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.rbf_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.535000,0.535000,0.069814,0.069814
599,0.535000,0.535000,0.070116,0.069442
799,0.526667,0.510000,0.053670,0.021077
999,0.530000,0.540000,0.060564,0.081470
1199,0.517000,0.465000,0.034734,-0.068504
1399,0.515833,0.510000,0.031930,0.016755
1599,0.515714,0.515000,0.031541,0.029223
1799,0.520000,0.550000,0.039311,0.105368
1999,0.518889,0.510000,0.036399,0.010101
2199,0.519500,0.525000,0.037581,0.048287
2399,0.516364,0.485000,0.031831,-0.028149
2599,0.513750,0.485000,0.026395,-0.034968
2799,0.510385,0.470000,0.019945,-0.060743
2999,0.508929,0.490000,0.016722,-0.026570
3199,0.507333,0.485000,0.013760,-0.027124
3399,0.506875,0.500000,0.012329,-0.023646
3599,0.510000,0.560000,0.019454,0.130349
3799,0.507500,0.465000,0.014478,-0.070000
3999,0.512895,0.610000,0.025376,0.221557
4199,0.514250,0.540000,0.028426,0.080000
4399,0.515238,0.535000,0.030613,0.071671
4599,0.517273,0.560000,0.034784,0.123942
4799,0.518478,0.545000,0.037193,0.090000
4999,0.517917,0.505000,0.036442,0.027123
5199,0.517800,0.515000,0.036045,0.020202
5399,0.515962,0.470000,0.032092,-0.072006
5599,0.514074,0.465000,0.028148,-0.065737
5799,0.512143,0.460000,0.024226,-0.082164
5999,0.512931,0.535000,0.025212,0.058132
6199,0.511833,0.480000,0.022614,-0.066886
6399,0.513387,0.560000,0.025201,0.094184
6599,0.513750,0.525000,0.025828,0.048668
6799,0.514545,0.540000,0.027936,0.105493
6999,0.513824,0.490000,0.026418,-0.024096
7199,0.512714,0.475000,0.024289,-0.045608
7399,0.512222,0.495000,0.023134,-0.024133
7599,0.512297,0.515000,0.023525,0.043770
7799,0.513289,0.550000,0.025616,0.102423
7999,0.512436,0.480000,0.023845,-0.044701
8199,0.514375,0.590000,0.027393,0.174718
8399,0.514268,0.510000,0.026998,0.014085
8599,0.514524,0.525000,0.027454,0.045418
8799,0.516047,0.580000,0.030234,0.148073
8999,0.515568,0.495000,0.029235,-0.013649
9199,0.516444,0.555000,0.031027,0.115308
9399,0.516848,0.535000,0.031834,0.081028
9599,0.516596,0.505000,0.031288,0.008215
9799,0.515208,0.450000,0.028446,-0.105305
9999,0.515510,0.530000,0.029053,0.058776
10199,0.516400,0.560000,0.031052,0.114243
10399,0.516275,0.510000,0.030957,0.018528
10599,0.517212,0.565000,0.032877,0.136048
10799,0.517547,0.535000,0.033482,0.079937
10999,0.517593,0.520000,0.033709,0.040000
11199,0.517818,0.530000,0.034059,0.054801
11399,0.518036,0.530000,0.034622,0.058588
11599,0.518684,0.555000,0.035704,0.093686
11799,0.518103,0.485000,0.034531,-0.032064
11999,0.518729,0.555000,0.035733,0.110889
12199,0.519333,0.555000,0.036866,0.106067
12399,0.520000,0.560000,0.038135,0.112545
12599,0.520726,0.565000,0.039588,0.129129
12799,0.520238,0.490000,0.038614,-0.020510
12999,0.520234,0.520000,0.038648,0.040863
13199,0.520154,0.515000,0.038455,0.025909
13399,0.521667,0.620000,0.041606,0.239011
13599,0.522687,0.590000,0.043736,0.180000
13799,0.522206,0.490000,0.042685,-0.025744
13999,0.522536,0.545000,0.043342,0.092179
14199,0.522143,0.495000,0.042668,-0.013039
14399,0.522535,0.550000,0.043557,0.097563
14599,0.523125,0.565000,0.044757,0.136219
14799,0.523562,0.555000,0.045672,0.110178
14999,0.523514,0.520000,0.045620,0.042012
15199,0.524267,0.580000,0.047175,0.161007
15399,0.524671,0.555000,0.047975,0.115835
15599,0.524740,0.530000,0.048162,0.084178
15799,0.524231,0.485000,0.047150,-0.024468
15999,0.524810,0.570000,0.048273,0.137931
16199,0.525563,0.585000,0.049770,0.168836
16399,0.525679,0.535000,0.049993,0.069255
16599,0.525305,0.495000,0.049240,-0.011416
16799,0.524699,0.475000,0.048016,-0.050841
16999,0.523988,0.465000,0.046591,-0.069145
17199,0.525118,0.620000,0.048918,0.239468
17399,0.525814,0.585000,0.050284,0.172483
17599,0.526379,0.575000,0.051410,0.148467
17799,0.527045,0.585000,0.052722,0.166667
17999,0.527809,0.595000,0.054239,0.188051
18199,0.527889,0.535000,0.054284,0.047912
18399,0.527802,0.520000,0.054139,0.044681
18599,0.527880,0.535000,0.054373,0.067763
18799,0.527903,0.530000,0.054394,0.055751
18999,0.527447,0.485000,0.053507,-0.030000
19199,0.527526,0.535000,0.053723,0.069442
19399,0.527969,0.570000,0.054578,0.143426
19599,0.528196,0.550000,0.055051,0.101886
19799,0.528112,0.520000,0.054869,0.044871
19999,0.527778,0.495000,0.054201,-0.011213
