# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.sea_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.845000,0.845000,0.677822,0.677822
599,0.857500,0.870000,0.709109,0.738114
799,0.858333,0.860000,0.707803,0.704485
999,0.845000,0.805000,0.679141,0.591623
1199,0.845000,0.845000,0.678823,0.677822
1399,0.844167,0.840000,0.677731,0.672634
1599,0.842143,0.830000,0.675896,0.660000
1799,0.841250,0.835000,0.673836,0.659653
1999,0.836667,0.800000,0.665059,0.595183
2199,0.839000,0.860000,0.669504,0.709784
2399,0.843636,0.890000,0.677384,0.755147
2599,0.846667,0.880000,0.683975,0.755302
2799,0.843846,0.810000,0.678619,0.616317
2999,0.841429,0.810000,0.673872,0.612561
3199,0.838667,0.800000,0.668256,0.589870
3399,0.839688,0.855000,0.670740,0.706478
3599,0.836176,0.780000,0.662989,0.532462
3799,0.836111,0.835000,0.663745,0.670264
3999,0.837632,0.865000,0.666580,0.718222
4199,0.835500,0.795000,0.662547,0.586276
4399,0.835952,0.845000,0.663339,0.679222
4599,0.836136,0.840000,0.663518,0.666944
4799,0.834783,0.805000,0.661452,0.610934
4999,0.835625,0.855000,0.663389,0.706715
5199,0.834400,0.805000,0.660318,0.576455
5399,0.833077,0.800000,0.657551,0.588138
5599,0.834815,0.880000,0.660576,0.739583
5799,0.835357,0.850000,0.661227,0.675360
5999,0.834655,0.815000,0.659682,0.615864
6199,0.835000,0.845000,0.660617,0.686869
6399,0.835161,0.840000,0.660575,0.656836
6599,0.835000,0.830000,0.660905,0.660000
6799,0.834545,0.820000,0.660268,0.637827
6999,0.834118,0.820000,0.659726,0.639423
7199,0.834857,0.860000,0.661364,0.716828
7399,0.834583,0.825000,0.660756,0.640288
7599,0.834324,0.825000,0.660352,0.645390
7799,0.834474,0.840000,0.660468,0.663406
7999,0.833718,0.805000,0.658734,0.591195
8199,0.834500,0.865000,0.660329,0.723531
8399,0.834512,0.835000,0.660467,0.665586
8599,0.836190,0.905000,0.663916,0.805328
8799,0.836744,0.860000,0.665041,0.714606
8999,0.836705,0.835000,0.664974,0.663334
9199,0.837111,0.855000,0.665504,0.684783
9399,0.836957,0.830000,0.664947,0.635506
9599,0.837447,0.860000,0.666147,0.718225
9799,0.836771,0.805000,0.664685,0.594847
9999,0.836633,0.830000,0.664234,0.640174
10199,0.836200,0.815000,0.663431,0.624746
10399,0.836275,0.840000,0.663526,0.668153
10599,0.835865,0.815000,0.662603,0.615624
10799,0.836887,0.890000,0.664618,0.770857
10999,0.836759,0.830000,0.664149,0.635350
11199,0.836909,0.845000,0.664577,0.686742
11399,0.836875,0.835000,0.664542,0.662990
11599,0.836228,0.800000,0.662890,0.554417
11799,0.835690,0.805000,0.661595,0.583155
11999,0.834746,0.780000,0.659465,0.533849
12199,0.833000,0.730000,0.655722,0.437031
12399,0.832213,0.785000,0.653629,0.493044
12599,0.831935,0.815000,0.652517,0.543661
12799,0.831111,0.780000,0.650584,0.529915
12999,0.830859,0.815000,0.649736,0.584643
13199,0.829077,0.715000,0.645697,0.357095
13399,0.828409,0.785000,0.644018,0.519553
13599,0.827836,0.790000,0.642466,0.517519
13799,0.826838,0.760000,0.640055,0.453552
13999,0.826087,0.775000,0.638297,0.510870
14199,0.825143,0.760000,0.636019,0.460250
14399,0.824930,0.810000,0.635307,0.581313
14599,0.824306,0.780000,0.633830,0.528757
14799,0.824384,0.830000,0.633761,0.624517
14999,0.823919,0.790000,0.632460,0.517519
15199,0.823600,0.800000,0.631634,0.566396
15399,0.823684,0.830000,0.631507,0.612712
15599,0.823506,0.810000,0.630733,0.547673
15799,0.823397,0.815000,0.630431,0.606467
15999,0.823608,0.840000,0.630332,0.589270
16199,0.824125,0.865000,0.631081,0.685900
16399,0.824383,0.845000,0.631333,0.645795
16599,0.824695,0.850000,0.631592,0.639553
16799,0.824759,0.830000,0.631459,0.613241
16999,0.824643,0.815000,0.630775,0.543661
17199,0.824588,0.820000,0.630422,0.593128
17399,0.825116,0.870000,0.631095,0.677619
17599,0.825632,0.870000,0.631813,0.688399
17799,0.826250,0.880000,0.632730,0.708596
17999,0.826798,0.875000,0.633519,0.698723
18199,0.827278,0.870000,0.634279,0.701424
18399,0.827418,0.840000,0.634223,0.615754
18599,0.827663,0.850000,0.634457,0.649410
18799,0.828280,0.885000,0.635152,0.672831
18999,0.828404,0.840000,0.635002,0.601941
19199,0.828474,0.835000,0.634606,0.551020
19399,0.828542,0.835000,0.634456,0.610390
19599,0.828557,0.830000,0.634186,0.596008
19799,0.828469,0.820000,0.633439,0.500486
19999,0.828434,0.825000,0.632838,0.524973
