# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.HoeffdingTree.stagger_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.960000,0.960000,0.917755,0.917755
599,0.967500,0.975000,0.934726,0.950000
799,0.975000,0.990000,0.949438,0.979332
999,0.961250,0.920000,0.920619,0.824234
1199,0.960000,0.955000,0.918033,0.907673
1399,0.950833,0.905000,0.898659,0.796443
1599,0.945714,0.915000,0.887954,0.823101
1799,0.937500,0.880000,0.871153,0.755601
1999,0.934444,0.910000,0.864221,0.803943
2199,0.927500,0.865000,0.849750,0.719626
2399,0.922273,0.870000,0.839350,0.738536
2599,0.919167,0.885000,0.832561,0.754693
2799,0.913077,0.840000,0.819740,0.664113
2999,0.913214,0.915000,0.819756,0.819571
3199,0.912667,0.905000,0.819034,0.808236
3399,0.911250,0.890000,0.816514,0.778939
3599,0.915588,0.985000,0.825062,0.967921
3799,0.919722,0.990000,0.834189,0.979994
3999,0.923947,1.000000,0.842830,1.000000
4199,0.927750,1.000000,0.850589,1.000000
4399,0.931190,1.000000,0.857429,1.000000
4599,0.934318,1.000000,0.864486,1.000000
4799,0.937174,1.000000,0.870559,1.000000
4999,0.939792,1.000000,0.875994,1.000000
5199,0.942200,1.000000,0.880974,1.000000
5399,0.944423,1.000000,0.885698,1.000000
5599,0.946481,1.000000,0.889855,1.000000
5799,0.948393,1.000000,0.893898,1.000000
5999,0.950172,1.000000,0.897567,1.000000
6199,0.951833,1.000000,0.901083,1.000000
6399,0.953387,1.000000,0.904269,1.000000
6599,0.954844,1.000000,0.907316,1.000000
6799,0.956212,1.000000,0.910221,1.000000
6999,0.957500,1.000000,0.913013,1.000000
7199,0.958714,1.000000,0.915549,1.000000
7399,0.959861,1.000000,0.917905,1.000000
7599,0.960946,1.000000,0.920227,1.000000
7799,0.961974,1.000000,0.922313,1.000000
7999,0.962949,1.000000,0.924341,1.000000
8199,0.963875,1.000000,0.926221,1.000000
8399,0.964756,1.000000,0.928104,1.000000
8599,0.965595,1.000000,0.929863,1.000000
8799,0.966395,1.000000,0.931500,1.000000
8999,0.967159,1.000000,0.933085,1.000000
9199,0.967889,1.000000,0.934593,1.000000
9399,0.968587,1.000000,0.936015,1.000000
9599,0.969255,1.000000,0.937411,1.000000
9799,0.969896,1.000000,0.938732,1.000000
9999,0.970510,1.000000,0.939999,1.000000
10199,0.971100,1.000000,0.941188,1.000000
10399,0.971667,1.000000,0.942338,1.000000
10599,0.972019,0.990000,0.943082,0.979968
10799,0.972170,0.980000,0.943369,0.958519
10999,0.971759,0.950000,0.942551,0.899729
11199,0.970455,0.900000,0.939897,0.797591
11399,0.967500,0.805000,0.933864,0.599178
11599,0.964123,0.775000,0.926975,0.539406
11799,0.958966,0.665000,0.916488,0.326768
11999,0.952458,0.575000,0.903208,0.128384
12199,0.946917,0.620000,0.891906,0.235412
12399,0.941230,0.600000,0.880270,0.181334
12599,0.933145,0.440000,0.863763,-0.156069
12799,0.928254,0.625000,0.853778,0.250000
12999,0.924375,0.680000,0.845903,0.402985
13199,0.920538,0.675000,0.838169,0.411978
13399,0.917121,0.695000,0.831258,0.439029
13599,0.913358,0.665000,0.823732,0.396940
13799,0.909853,0.675000,0.816608,0.399038
13999,0.906232,0.660000,0.809306,0.386005
14199,0.902714,0.660000,0.802337,0.388489
14399,0.899859,0.700000,0.796718,0.447717
14599,0.896597,0.665000,0.790235,0.397482
14799,0.894521,0.745000,0.786148,0.521037
14999,0.891892,0.700000,0.780939,0.448732
15199,0.889600,0.720000,0.776537,0.472445
15399,0.886908,0.685000,0.771320,0.421062
15599,0.884481,0.700000,0.766575,0.449491
15799,0.881731,0.670000,0.761270,0.396985
15999,0.879684,0.720000,0.757256,0.479506
16199,0.880938,0.980000,0.759625,0.955132
16399,0.882407,1.000000,0.762435,1.000000
16599,0.883841,1.000000,0.765237,1.000000
16799,0.885241,1.000000,0.767873,1.000000
16999,0.886607,1.000000,0.770500,1.000000
17199,0.887941,1.000000,0.773026,1.000000
17399,0.889244,1.000000,0.775554,1.000000
17599,0.890517,1.000000,0.778038,1.000000
17799,0.891761,1.000000,0.780362,1.000000
17999,0.892978,1.000000,0.782694,1.000000
18199,0.894167,1.000000,0.785065,1.000000
18399,0.895330,1.000000,0.787199,1.000000
18599,0.896467,1.000000,0.789357,1.000000
18799,0.897581,1.000000,0.791411,1.000000
18999,0.898670,1.000000,0.793512,1.000000
19199,0.899737,1.000000,0.795609,1.000000
19399,0.900781,1.000000,0.797587,1.000000
19599,0.901804,1.000000,0.799581,1.000000
19799,0.902806,1.000000,0.801530,1.000000
19999,0.903788,1.000000,0.803416,1.000000
