# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.agrawal_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.685000,0.685000,-0.011886,-0.011886
599,0.657500,0.630000,-0.005874,-0.003662
799,0.645000,0.620000,0.040425,0.102079
999,0.626250,0.570000,0.034082,0.004975
1199,0.611000,0.550000,0.008796,-0.088008
1399,0.610000,0.605000,0.009415,0.014963
1599,0.602143,0.555000,0.004570,-0.027002
1799,0.591875,0.520000,-0.003604,-0.069638
1999,0.591667,0.590000,0.014023,0.115331
2199,0.587000,0.545000,0.000789,-0.119311
2399,0.588182,0.600000,0.017849,0.147485
2599,0.587917,0.585000,0.020221,0.047072
2799,0.589231,0.605000,0.023516,0.073205
2999,0.588214,0.575000,0.019474,-0.025332
3199,0.589000,0.600000,0.017090,-0.023411
3399,0.590625,0.615000,0.015038,-0.025846
3599,0.593529,0.640000,0.018702,0.079755
3799,0.594444,0.610000,0.015371,-0.057340
3999,0.596316,0.630000,0.014649,-0.012450
4199,0.596000,0.590000,0.010993,-0.059842
4399,0.595476,0.585000,0.008256,-0.047980
4599,0.595682,0.600000,0.009038,0.025341
4799,0.597609,0.640000,0.012997,0.101796
4999,0.599792,0.650000,0.015974,0.085565
5199,0.599800,0.600000,0.015292,-0.001628
5399,0.598462,0.565000,0.012525,-0.055825
5599,0.598519,0.600000,0.010776,-0.025641
5799,0.599464,0.625000,0.013541,0.087369
5999,0.597241,0.535000,0.009058,-0.113772
6199,0.596000,0.560000,0.004157,-0.149575
6399,0.596129,0.600000,0.002047,-0.069519
6599,0.597969,0.655000,0.005834,0.129887
6799,0.598636,0.620000,0.005845,0.003148
6999,0.597500,0.560000,0.004276,-0.046996
7199,0.597857,0.610000,0.004817,0.023413
7399,0.597778,0.595000,0.007530,0.084953
7599,0.598514,0.625000,0.008765,0.053747
7799,0.597368,0.555000,0.008665,-0.001125
7999,0.598205,0.630000,0.011758,0.123223
8199,0.598125,0.595000,0.011548,0.003690
8399,0.598780,0.625000,0.014066,0.110531
8599,0.599048,0.610000,0.014233,0.033218
8799,0.599186,0.605000,0.014840,0.044971
8999,0.599205,0.600000,0.014361,-0.006036
9199,0.599556,0.615000,0.013355,-0.043643
9399,0.601087,0.670000,0.015338,0.107626
9599,0.601064,0.600000,0.015027,0.000625
9799,0.601667,0.630000,0.014094,-0.052183
9999,0.602551,0.645000,0.016010,0.109159
10199,0.603000,0.625000,0.016593,0.045559
10399,0.604020,0.655000,0.017508,0.061735
10599,0.604904,0.650000,0.018397,0.062291
10799,0.605000,0.610000,0.018684,0.034056
10999,0.604352,0.570000,0.017176,-0.062253
11199,0.604273,0.600000,0.016790,-0.001879
11399,0.604643,0.625000,0.017096,0.033505
11599,0.603421,0.535000,0.017298,0.004496
11799,0.602586,0.555000,0.019737,0.082852
11999,0.600085,0.455000,0.017965,-0.095257
12199,0.597917,0.470000,0.016924,-0.084732
12399,0.596639,0.520000,0.018901,0.025974
12599,0.595484,0.525000,0.021134,0.040404
12799,0.593095,0.445000,0.020506,-0.117825
12999,0.590234,0.410000,0.019984,-0.178115
13199,0.588462,0.475000,0.021179,-0.050630
13399,0.586591,0.465000,0.020407,-0.089613
13599,0.585149,0.490000,0.022284,-0.019694
13799,0.583603,0.480000,0.023185,-0.041667
13999,0.582391,0.500000,0.025361,0.002693
14199,0.580643,0.460000,0.024396,-0.096781
14399,0.579859,0.525000,0.026849,0.054162
14599,0.578958,0.515000,0.028261,0.027666
14799,0.578219,0.525000,0.030542,0.050000
14999,0.576892,0.480000,0.030895,-0.041562
15199,0.576067,0.515000,0.032255,0.028056
15399,0.574605,0.465000,0.031603,-0.074729
15599,0.574416,0.560000,0.033679,0.111918
15799,0.573462,0.500000,0.034041,-0.006441
15999,0.572215,0.475000,0.033367,-0.063399
16199,0.571250,0.495000,0.033435,-0.016097
16399,0.570309,0.495000,0.033550,-0.017325
16599,0.569634,0.515000,0.034372,0.025909
16799,0.568976,0.515000,0.035146,0.028446
16999,0.568333,0.515000,0.035854,0.025909
17199,0.567235,0.475000,0.035800,-0.050630
17399,0.566860,0.535000,0.037542,0.071115
17599,0.566494,0.535000,0.039287,0.071115
17799,0.565852,0.510000,0.039863,0.021565
17999,0.565000,0.490000,0.039943,-0.021635
18199,0.564000,0.475000,0.039895,-0.048951
18399,0.563462,0.515000,0.040263,0.027861
18599,0.562609,0.485000,0.039680,-0.043144
18799,0.562043,0.510000,0.039316,-0.008230
18999,0.560532,0.420000,0.037206,-0.169827
19199,0.559842,0.495000,0.036817,-0.010000
19399,0.559427,0.520000,0.037625,0.039520
19599,0.559381,0.555000,0.039133,0.110000
19799,0.558776,0.500000,0.039302,-0.001502
19999,0.558788,0.560000,0.039783,0.088555
