# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.covtype.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.800000,0.800000,0.677003,0.677003
599,0.805000,0.810000,0.693034,0.705358
799,0.823333,0.860000,0.743769,0.804312
999,0.808750,0.765000,0.744509,0.714399
1199,0.819000,0.860000,0.771428,0.829471
1399,0.822500,0.840000,0.778125,0.778086
1599,0.821429,0.815000,0.776024,0.744740
1799,0.811875,0.745000,0.766789,0.676745
1999,0.806111,0.760000,0.762068,0.691913
2199,0.802000,0.765000,0.760325,0.662453
2399,0.810455,0.895000,0.771284,0.827096
2599,0.815417,0.870000,0.776902,0.774011
2799,0.814231,0.800000,0.774525,0.629955
2999,0.817857,0.865000,0.777419,0.720236
3199,0.817000,0.805000,0.774193,0.551337
3399,0.816562,0.810000,0.771994,0.700386
3599,0.819412,0.865000,0.773981,0.792396
3799,0.819722,0.825000,0.773065,0.724084
3999,0.821053,0.845000,0.774180,0.780919
4199,0.818000,0.760000,0.769703,0.660477
4399,0.817619,0.810000,0.768961,0.741620
4599,0.816818,0.800000,0.768054,0.718973
4799,0.814348,0.760000,0.765506,0.682854
4999,0.811458,0.745000,0.762869,0.633726
5199,0.808800,0.745000,0.759779,0.614133
5399,0.805769,0.730000,0.756243,0.608185
5599,0.801296,0.685000,0.752675,0.602097
5799,0.799643,0.755000,0.752185,0.684979
5999,0.795000,0.665000,0.747974,0.592618
6199,0.794167,0.770000,0.748033,0.710855
6399,0.794194,0.795000,0.749359,0.736300
6599,0.792500,0.740000,0.748194,0.679793
6799,0.794242,0.850000,0.751190,0.806495
6999,0.794559,0.805000,0.752568,0.737621
7199,0.792286,0.715000,0.750632,0.643627
7399,0.790417,0.725000,0.749064,0.657235
7599,0.787027,0.665000,0.745473,0.571844
7799,0.786316,0.760000,0.745140,0.692189
7999,0.783077,0.660000,0.742135,0.534119
8199,0.782625,0.765000,0.742484,0.620692
8399,0.784878,0.875000,0.745763,0.703914
8599,0.785357,0.805000,0.746802,0.628784
8799,0.784186,0.735000,0.745821,0.548725
8999,0.782614,0.715000,0.744274,0.570120
9199,0.782667,0.785000,0.744503,0.682469
9399,0.783043,0.800000,0.745102,0.673176
9599,0.782234,0.745000,0.744229,0.587945
9799,0.777708,0.565000,0.739186,0.440208
9999,0.775816,0.685000,0.737126,0.445837
10199,0.775100,0.740000,0.736289,0.490396
10399,0.775294,0.785000,0.736572,0.694992
10599,0.772308,0.620000,0.733525,0.264065
10799,0.769340,0.615000,0.730321,0.421987
10999,0.768148,0.705000,0.729018,0.625836
11199,0.767182,0.715000,0.727861,0.642600
11399,0.765179,0.655000,0.725456,0.550152
11599,0.765877,0.805000,0.726124,0.598992
11799,0.765862,0.765000,0.725902,0.557418
11999,0.765424,0.740000,0.725214,0.616999
12199,0.763417,0.645000,0.722712,0.516645
12399,0.761475,0.645000,0.720349,0.530563
12599,0.758468,0.575000,0.716882,0.483612
12799,0.755635,0.580000,0.713643,0.488086
12999,0.754531,0.685000,0.712411,0.590896
13199,0.752154,0.600000,0.709702,0.495745
13399,0.749394,0.570000,0.706593,0.445983
13599,0.749328,0.745000,0.706578,0.499313
13799,0.748309,0.680000,0.705446,0.514139
13999,0.744928,0.515000,0.701577,0.399827
14199,0.744357,0.705000,0.700998,0.597297
14399,0.747324,0.955000,0.704778,0.855723
14599,0.750417,0.970000,0.708618,0.816850
14799,0.752740,0.920000,0.711450,0.754488
14999,0.755000,0.920000,0.714133,0.670205
15199,0.757400,0.935000,0.716905,0.744597
15399,0.759934,0.950000,0.719760,0.770590
15599,0.762338,0.945000,0.722419,0.821342
15799,0.764167,0.905000,0.724378,0.748027
15999,0.766139,0.920000,0.726494,0.822656
16199,0.767875,0.905000,0.728265,0.723556
16399,0.769691,0.915000,0.730096,0.752313
16599,0.771951,0.955000,0.732415,0.864997
16799,0.774337,0.970000,0.734881,0.922154
16999,0.776667,0.970000,0.737253,0.917836
17199,0.778412,0.925000,0.738946,0.818906
17399,0.780581,0.965000,0.741138,0.918538
17599,0.782816,0.975000,0.743362,0.932451
17799,0.785114,0.985000,0.745657,0.961260
17999,0.787191,0.970000,0.747661,0.914353
18199,0.789500,0.995000,0.749878,0.981123
18399,0.791044,0.930000,0.751130,0.615912
18599,0.792935,0.965000,0.752904,0.905952
18799,0.794462,0.935000,0.754257,0.832258
18999,0.796383,0.975000,0.756026,0.923989
19199,0.798158,0.965000,0.757628,0.897361
19399,0.799792,0.955000,0.759088,0.880795
19599,0.801495,0.965000,0.760627,0.906040
19799,0.802857,0.935000,0.761734,0.815393
19999,0.804141,0.930000,0.762611,0.553571
