# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.830000,0.830000,0.486327,0.486327
599,0.877500,0.925000,0.632518,0.776919
799,0.825000,0.720000,0.601679,0.442897
999,0.780000,0.645000,0.511941,0.267588
1199,0.772000,0.740000,0.484417,0.360236
1399,0.769167,0.755000,0.496788,0.533067
1599,0.769286,0.770000,0.499329,0.513176
1799,0.771875,0.790000,0.512327,0.579369
1999,0.775000,0.800000,0.516112,0.568594
2199,0.772500,0.750000,0.516572,0.507535
2399,0.779545,0.850000,0.538143,0.701700
2599,0.789167,0.895000,0.557062,0.772481
2799,0.793077,0.840000,0.555880,0.260458
2999,0.797500,0.855000,0.565916,0.695378
3199,0.802667,0.875000,0.573458,0.678663
3399,0.799687,0.755000,0.561608,0.261826
3599,0.801471,0.830000,0.571875,0.659148
3799,0.806389,0.890000,0.583006,0.767736
3999,0.808158,0.840000,0.582735,0.519736
4199,0.807500,0.795000,0.585673,0.598039
4399,0.800952,0.670000,0.571087,0.300847
4599,0.801364,0.810000,0.570739,0.560592
4799,0.798043,0.725000,0.567543,0.475891
4999,0.797500,0.785000,0.566210,0.535135
5199,0.797200,0.790000,0.569005,0.575543
5399,0.797115,0.795000,0.569272,0.576359
5599,0.797778,0.815000,0.568121,0.475326
5799,0.798393,0.815000,0.569426,0.608631
5999,0.798276,0.795000,0.569260,0.568693
6199,0.795667,0.720000,0.563212,0.399657
6399,0.792258,0.690000,0.558553,0.401775
6599,0.791094,0.755000,0.557280,0.508526
6799,0.792121,0.825000,0.562471,0.630724
6999,0.792941,0.820000,0.566226,0.637280
7199,0.793857,0.825000,0.569938,0.646750
7399,0.797500,0.925000,0.579322,0.846154
7599,0.798108,0.820000,0.581596,0.640324
7799,0.799868,0.865000,0.586503,0.726444
7999,0.800513,0.825000,0.589000,0.650000
8199,0.802500,0.880000,0.593536,0.759615
8399,0.800244,0.710000,0.589863,0.431595
8599,0.799762,0.780000,0.589797,0.552482
8799,0.799767,0.800000,0.589897,0.594814
8999,0.798977,0.765000,0.588569,0.534192
9199,0.800889,0.885000,0.593883,0.733302
9399,0.801522,0.830000,0.595723,0.658463
9599,0.800745,0.765000,0.594453,0.531966
9799,0.800729,0.800000,0.594536,0.605795
9999,0.800510,0.790000,0.593545,0.515962
10199,0.799300,0.740000,0.590861,0.455212
10399,0.797353,0.700000,0.586465,0.331849
10599,0.796635,0.760000,0.585007,0.518604
10799,0.797830,0.860000,0.588124,0.711934
10999,0.793704,0.575000,0.579670,0.129277
11199,0.792818,0.745000,0.577952,0.485368
11399,0.791696,0.730000,0.575776,0.456740
11599,0.790088,0.700000,0.572983,0.410609
11799,0.790517,0.815000,0.574080,0.630148
11999,0.791017,0.820000,0.575615,0.633065
12199,0.790500,0.760000,0.574756,0.521674
12399,0.791475,0.850000,0.577216,0.692213
12599,0.791855,0.815000,0.577984,0.625506
12799,0.793571,0.900000,0.581860,0.796022
12999,0.794453,0.850000,0.583810,0.700120
13199,0.792385,0.660000,0.579744,0.327864
13399,0.791212,0.715000,0.577117,0.379761
13599,0.790896,0.770000,0.576600,0.545095
13799,0.790882,0.790000,0.576637,0.580629
13999,0.790435,0.760000,0.575190,0.368421
14199,0.790071,0.765000,0.574490,0.540657
14399,0.789930,0.780000,0.574034,0.551249
14599,0.790139,0.805000,0.574107,0.558524
14799,0.788425,0.665000,0.570369,0.283422
14999,0.787365,0.710000,0.567969,0.380540
15199,0.786333,0.710000,0.565675,0.383700
15399,0.785395,0.715000,0.563712,0.414183
15599,0.783831,0.665000,0.560632,0.328523
15799,0.783910,0.790000,0.560307,0.473948
15999,0.783987,0.790000,0.560133,0.530411
16199,0.784125,0.795000,0.559892,0.473008
16399,0.784136,0.785000,0.559471,0.475610
16599,0.783537,0.735000,0.558609,0.465295
16799,0.783916,0.815000,0.559665,0.629333
16999,0.784226,0.810000,0.560271,0.611888
17199,0.784118,0.775000,0.559939,0.528500
17399,0.784826,0.845000,0.561094,0.650822
17599,0.785805,0.870000,0.562678,0.684925
17799,0.786875,0.880000,0.564622,0.734601
17999,0.787697,0.860000,0.566316,0.715649
18199,0.785889,0.625000,0.562820,0.316940
18399,0.786264,0.820000,0.563555,0.631148
18599,0.786522,0.810000,0.564295,0.620000
18799,0.786667,0.800000,0.564798,0.602386
18999,0.787074,0.825000,0.565872,0.649299
19199,0.786842,0.765000,0.565786,0.524869
19399,0.785885,0.695000,0.563706,0.355180
19599,0.784072,0.610000,0.560049,0.214976
19799,0.783622,0.740000,0.558840,0.398148
19999,0.783434,0.765000,0.558491,0.525157
