# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.hyperplane_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.595000,0.595000,0.188377,0.188377
599,0.570000,0.545000,0.140258,0.090546
799,0.545000,0.495000,0.090061,-0.010000
999,0.547500,0.555000,0.095113,0.110356
1199,0.548000,0.550000,0.095884,0.097835
1399,0.547500,0.545000,0.094955,0.079879
1599,0.547857,0.550000,0.095585,0.098558
1799,0.556250,0.615000,0.112604,0.241379
1999,0.561111,0.600000,0.122638,0.205008
2199,0.564500,0.595000,0.129268,0.190324
2399,0.570455,0.630000,0.141016,0.261108
2599,0.567083,0.530000,0.134132,0.056982
2799,0.560769,0.485000,0.121484,-0.029382
2999,0.563214,0.595000,0.126491,0.191455
3199,0.564333,0.580000,0.128589,0.163263
3399,0.566250,0.595000,0.132370,0.187563
3599,0.569118,0.615000,0.138173,0.228457
3799,0.573333,0.645000,0.146482,0.279919
3999,0.575526,0.615000,0.150776,0.226752
4199,0.577250,0.610000,0.154207,0.219454
4399,0.579524,0.625000,0.158795,0.250000
4599,0.577500,0.535000,0.154597,0.066078
4799,0.578261,0.595000,0.155992,0.182644
4999,0.576042,0.525000,0.151391,0.050000
5199,0.577800,0.620000,0.154813,0.237560
5399,0.578269,0.590000,0.155933,0.180000
5599,0.581852,0.675000,0.163133,0.351297
5799,0.583214,0.620000,0.165854,0.240000
5999,0.583793,0.600000,0.167106,0.198798
6199,0.586000,0.650000,0.171560,0.300210
6399,0.585161,0.560000,0.169948,0.119384
6599,0.587656,0.665000,0.174997,0.329329
6799,0.587121,0.570000,0.173949,0.142059
6999,0.587794,0.610000,0.175440,0.200820
7199,0.587857,0.590000,0.175600,0.180000
7399,0.588472,0.610000,0.176830,0.220000
7599,0.589324,0.620000,0.178541,0.240076
7799,0.591184,0.660000,0.182280,0.319387
7999,0.591538,0.605000,0.182970,0.208575
8199,0.593250,0.660000,0.186367,0.317269
8399,0.593902,0.620000,0.187672,0.240228
8599,0.592619,0.540000,0.185112,0.084395
8799,0.593488,0.630000,0.186882,0.259037
8999,0.593068,0.575000,0.186072,0.145729
9199,0.593333,0.605000,0.186613,0.211419
9399,0.592935,0.575000,0.185817,0.151019
9599,0.593511,0.620000,0.186969,0.240000
9799,0.593750,0.605000,0.187449,0.212363
9999,0.594286,0.620000,0.188523,0.240076
10199,0.594500,0.605000,0.188945,0.210000
10399,0.594608,0.600000,0.189163,0.200320
10599,0.596731,0.705000,0.193410,0.410000
10799,0.597642,0.645000,0.195242,0.289147
10999,0.597315,0.580000,0.194586,0.161342
11199,0.597727,0.620000,0.195414,0.239924
11399,0.598214,0.625000,0.196400,0.248648
11599,0.597105,0.535000,0.194182,0.070929
11799,0.598276,0.665000,0.196519,0.330669
11999,0.597458,0.550000,0.194900,0.093473
12199,0.598083,0.635000,0.196165,0.254798
12399,0.597459,0.560000,0.194920,0.121318
12599,0.598065,0.635000,0.196128,0.272183
12799,0.598571,0.630000,0.197143,0.251012
12999,0.599375,0.650000,0.198750,0.302302
13199,0.598462,0.540000,0.196926,0.083665
13399,0.598409,0.595000,0.196827,0.195311
13599,0.598731,0.620000,0.197471,0.239315
13799,0.598824,0.605000,0.197647,0.218904
13999,0.600072,0.685000,0.200139,0.363508
14199,0.600500,0.630000,0.200996,0.258888
14399,0.600704,0.615000,0.201405,0.232303
14599,0.601597,0.665000,0.203192,0.329866
14799,0.601644,0.605000,0.203287,0.206827
14999,0.602297,0.650000,0.204595,0.292572
15199,0.602333,0.605000,0.204665,0.204431
15399,0.602303,0.600000,0.204601,0.197834
15599,0.602597,0.625000,0.205188,0.250899
15799,0.602436,0.590000,0.204867,0.180000
15999,0.602025,0.570000,0.204043,0.140000
16199,0.601500,0.560000,0.202984,0.115133
16399,0.601296,0.585000,0.202575,0.170000
16599,0.600976,0.575000,0.201935,0.150340
16799,0.600482,0.560000,0.200945,0.120000
16999,0.600595,0.610000,0.201162,0.212439
17199,0.600706,0.610000,0.201394,0.217417
17399,0.600349,0.570000,0.200680,0.145469
17599,0.600862,0.645000,0.201721,0.299526
17799,0.601023,0.615000,0.202047,0.227683
17999,0.601180,0.615000,0.202358,0.234592
18199,0.601667,0.645000,0.203331,0.290568
18399,0.602143,0.645000,0.204284,0.290000
18599,0.602826,0.665000,0.205649,0.329866
18799,0.603011,0.620000,0.206016,0.241895
18999,0.603032,0.605000,0.206054,0.205551
19199,0.603000,0.600000,0.205992,0.200639
19399,0.602292,0.535000,0.204574,0.069628
19599,0.602423,0.615000,0.204836,0.231076
19799,0.602347,0.595000,0.204689,0.186747
19999,0.602172,0.585000,0.204338,0.172152
