# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.led_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.190000,0.190000,0.103040,0.103040
599,0.240000,0.290000,0.156276,0.206371
799,0.216667,0.170000,0.129678,0.076033
999,0.215000,0.210000,0.127747,0.122198
1199,0.220000,0.240000,0.133624,0.156914
1399,0.218333,0.210000,0.130834,0.113977
1599,0.224286,0.260000,0.137537,0.176909
1799,0.233750,0.300000,0.148040,0.219947
1999,0.238333,0.275000,0.153023,0.190893
2199,0.238500,0.240000,0.153114,0.152826
2399,0.239091,0.245000,0.153688,0.157953
2599,0.243333,0.290000,0.157888,0.202919
2799,0.243462,0.245000,0.157830,0.158188
2999,0.243571,0.245000,0.157869,0.158376
3199,0.242667,0.230000,0.157178,0.149665
3399,0.240000,0.200000,0.154460,0.116778
3599,0.238235,0.210000,0.152692,0.123050
3799,0.235000,0.180000,0.149189,0.086453
3999,0.234474,0.225000,0.148466,0.135238
4199,0.233250,0.210000,0.146911,0.119605
4399,0.233571,0.240000,0.147209,0.152944
4599,0.232273,0.205000,0.145742,0.115241
4799,0.232391,0.235000,0.145681,0.145084
4999,0.230625,0.190000,0.143815,0.098347
5199,0.230800,0.235000,0.144020,0.147704
5399,0.229423,0.195000,0.142652,0.106151
5599,0.229630,0.235000,0.142896,0.148960
5799,0.228750,0.205000,0.141933,0.115930
5999,0.228621,0.225000,0.141872,0.135575
6199,0.227667,0.200000,0.141001,0.115044
6399,0.226774,0.200000,0.139991,0.104695
6599,0.226250,0.210000,0.139444,0.122856
6799,0.226818,0.245000,0.139973,0.157789
6999,0.226912,0.230000,0.140162,0.142420
7199,0.226714,0.220000,0.140007,0.134343
7399,0.224722,0.155000,0.137956,0.066814
7599,0.224054,0.200000,0.137223,0.107691
7799,0.224605,0.245000,0.137939,0.164176
7999,0.224231,0.210000,0.137608,0.123440
8199,0.225875,0.290000,0.139483,0.210826
8399,0.225000,0.190000,0.138543,0.098949
8599,0.224881,0.220000,0.138441,0.135255
8799,0.224884,0.225000,0.138366,0.134924
8999,0.224545,0.210000,0.138079,0.127048
9199,0.225333,0.260000,0.138913,0.175579
9399,0.225000,0.210000,0.138586,0.122977
9599,0.224574,0.205000,0.138229,0.120867
9799,0.224479,0.220000,0.138176,0.134967
9999,0.224490,0.225000,0.138167,0.139104
10199,0.223800,0.190000,0.137383,0.097392
10399,0.223824,0.225000,0.137404,0.136394
10599,0.224423,0.255000,0.138065,0.170656
10799,0.224811,0.245000,0.138515,0.162925
10999,0.224630,0.215000,0.138284,0.125348
11199,0.225455,0.270000,0.139202,0.186380
11399,0.225268,0.215000,0.138970,0.124934
11599,0.225088,0.215000,0.138823,0.129036
11799,0.225086,0.225000,0.138886,0.141869
11999,0.224407,0.185000,0.138173,0.097103
12199,0.223750,0.185000,0.137563,0.097803
12399,0.223361,0.200000,0.137112,0.108759
12599,0.223468,0.230000,0.137262,0.146838
12799,0.223651,0.235000,0.137478,0.147181
12999,0.224297,0.265000,0.138189,0.183787
13199,0.224308,0.225000,0.138172,0.136947
13399,0.223258,0.155000,0.136991,0.057104
13599,0.222985,0.205000,0.136684,0.112921
13799,0.222721,0.205000,0.136414,0.117745
13999,0.222899,0.235000,0.136676,0.153855
14199,0.222429,0.190000,0.136182,0.101921
14399,0.221901,0.185000,0.135613,0.096477
14599,0.222153,0.240000,0.135819,0.147193
14799,0.221986,0.210000,0.135594,0.119336
14999,0.222027,0.225000,0.135619,0.137379
15199,0.221933,0.215000,0.135544,0.129060
15399,0.221382,0.180000,0.134979,0.092745
15599,0.221104,0.200000,0.134627,0.104770
15799,0.221346,0.240000,0.134848,0.151028
15999,0.221392,0.225000,0.134870,0.136755
16199,0.221312,0.215000,0.134788,0.127875
16399,0.221914,0.270000,0.135421,0.185131
16599,0.221768,0.210000,0.135226,0.114375
16799,0.222169,0.255000,0.135700,0.174835
16999,0.222143,0.220000,0.135654,0.131113
17199,0.222059,0.215000,0.135539,0.124836
17399,0.221802,0.200000,0.135298,0.113475
17599,0.221494,0.195000,0.134976,0.105605
17799,0.221193,0.195000,0.134679,0.107934
17999,0.221124,0.215000,0.134651,0.131517
18199,0.220889,0.200000,0.134435,0.114456
18399,0.220604,0.195000,0.134105,0.103613
18599,0.220489,0.210000,0.133960,0.122027
18799,0.220215,0.195000,0.133702,0.107934
18999,0.219840,0.185000,0.133302,0.093790
19199,0.219211,0.160000,0.132627,0.066563
19399,0.219844,0.280000,0.133367,0.202415
19599,0.219897,0.225000,0.133406,0.138386
19799,0.219643,0.195000,0.133121,0.105580
19999,0.219545,0.210000,0.133007,0.122831
