# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.pokerhand.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.770000,0.770000,0.546194,0.546194
599,0.802500,0.835000,0.622844,0.207398
799,0.786667,0.755000,0.566136,0.426364
999,0.760000,0.680000,0.548415,0.340920
1199,0.782000,0.870000,0.595689,0.452862
1399,0.797500,0.875000,0.615941,0.556973
1599,0.802143,0.830000,0.612922,0.408078
1799,0.801875,0.800000,0.604360,0.498307
1999,0.804444,0.825000,0.625464,0.490872
2199,0.801500,0.775000,0.628422,0.258893
2399,0.790000,0.675000,0.603748,0.213456
2599,0.795000,0.850000,0.606926,0.267220
2799,0.800385,0.865000,0.609891,0.410738
2999,0.804643,0.860000,0.609953,0.267591
3199,0.808000,0.855000,0.610922,0.566388
3399,0.807813,0.805000,0.623120,0.199014
3599,0.804118,0.745000,0.620714,0.235038
3799,0.793056,0.605000,0.596385,0.083633
3999,0.801579,0.955000,0.606606,0.508197
4199,0.807250,0.915000,0.612024,0.543256
4399,0.812381,0.915000,0.616288,0.500000
4599,0.807955,0.715000,0.606701,0.392648
4799,0.808696,0.825000,0.605421,0.514058
4999,0.807500,0.780000,0.599810,0.358320
5199,0.809200,0.850000,0.600548,0.569027
5399,0.802885,0.645000,0.588242,0.320379
5599,0.802778,0.800000,0.601135,0.299720
5799,0.798929,0.695000,0.594002,0.420620
5999,0.799138,0.805000,0.590773,0.327064
6199,0.800000,0.825000,0.588650,0.350950
6399,0.800000,0.800000,0.585200,0.353849
6599,0.796094,0.675000,0.581809,0.408499
6799,0.794848,0.755000,0.586293,0.345663
6999,0.789265,0.605000,0.573254,0.149623
7199,0.791429,0.865000,0.573611,0.316109
7399,0.793611,0.870000,0.575239,0.588282
7599,0.793378,0.785000,0.578194,0.581671
7799,0.797237,0.940000,0.590630,0.802502
7999,0.798333,0.840000,0.589522,0.226119
8199,0.802250,0.955000,0.594102,0.756230
8399,0.805610,0.940000,0.597890,0.726714
8599,0.801905,0.650000,0.589984,0.261603
8799,0.801047,0.765000,0.586557,0.352126
8999,0.800114,0.760000,0.583803,0.462125
9199,0.798667,0.735000,0.585611,0.396973
9399,0.798804,0.805000,0.589187,0.637277
9599,0.798617,0.790000,0.587280,0.447187
9799,0.800208,0.875000,0.588763,0.635701
9999,0.801122,0.845000,0.593702,0.702281
10199,0.802100,0.850000,0.599442,0.646747
10399,0.803333,0.865000,0.600073,0.567169
10599,0.805288,0.905000,0.602288,0.702288
10799,0.807358,0.915000,0.609684,0.776712
10999,0.807593,0.820000,0.609542,0.612695
11199,0.810000,0.940000,0.612257,0.716981
11399,0.809286,0.770000,0.609989,0.438956
11599,0.809211,0.805000,0.608659,0.426344
11799,0.807586,0.715000,0.605243,0.418456
11999,0.806525,0.745000,0.607161,0.287660
12199,0.807083,0.840000,0.608794,0.697700
12399,0.807705,0.845000,0.609074,0.603631
12599,0.808952,0.885000,0.615921,0.734073
12799,0.808254,0.765000,0.614281,0.527496
12999,0.808984,0.855000,0.615192,0.672464
13199,0.810154,0.885000,0.620036,0.703818
13399,0.810833,0.855000,0.619548,0.212385
13599,0.810000,0.755000,0.617748,0.496196
13799,0.808897,0.735000,0.614893,0.367881
13999,0.806957,0.675000,0.613629,0.327609
14199,0.807429,0.840000,0.613936,0.626081
14399,0.807958,0.845000,0.617552,0.651764
14599,0.808125,0.820000,0.616906,0.511997
14799,0.809041,0.875000,0.620412,0.731702
14999,0.808649,0.780000,0.618904,0.444023
15199,0.807333,0.710000,0.617381,0.493096
15399,0.807039,0.785000,0.617239,0.602661
15599,0.806234,0.745000,0.617081,0.522271
15799,0.806026,0.790000,0.617155,0.606889
15999,0.805063,0.730000,0.616109,0.517297
16199,0.803375,0.670000,0.614252,0.418502
16399,0.803580,0.820000,0.614873,0.663142
16599,0.801220,0.610000,0.611579,0.376200
16799,0.799217,0.635000,0.610979,0.403132
16999,0.799524,0.825000,0.614541,0.450980
17199,0.800176,0.855000,0.618611,0.559939
17399,0.801744,0.935000,0.623942,0.767192
17599,0.802184,0.840000,0.627029,0.478615
17799,0.802670,0.845000,0.629905,0.444046
17999,0.802753,0.810000,0.632243,0.472369
18199,0.802889,0.815000,0.634428,0.458153
18399,0.802088,0.730000,0.635008,0.320370
18599,0.802826,0.870000,0.637787,0.532037
18799,0.803817,0.895000,0.640639,0.497367
18999,0.805319,0.945000,0.644094,0.618056
19199,0.805789,0.850000,0.645836,0.339789
19399,0.806250,0.850000,0.647566,0.406176
19599,0.806443,0.825000,0.649006,0.450980
19799,0.806327,0.795000,0.652153,0.682232
19999,0.807374,0.910000,0.659259,0.375000
