# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.rbf_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.540000,0.540000,0.080735,0.080735
599,0.517500,0.495000,0.035193,-0.010404
799,0.523333,0.535000,0.046878,0.070186
999,0.516250,0.495000,0.032766,-0.009798
1199,0.517000,0.520000,0.033961,0.038750
1399,0.510833,0.480000,0.021531,-0.032873
1599,0.512143,0.520000,0.024222,0.040672
1799,0.514375,0.530000,0.029378,0.072978
1999,0.518333,0.550000,0.037615,0.096386
2199,0.517000,0.505000,0.034807,0.008811
2399,0.519545,0.545000,0.039307,0.101323
2599,0.515417,0.470000,0.031063,-0.059682
2799,0.516538,0.530000,0.033334,0.059342
2999,0.516071,0.510000,0.032515,0.023126
3199,0.519000,0.560000,0.038404,0.115044
3399,0.519375,0.525000,0.039349,0.057914
3599,0.520882,0.545000,0.041991,0.086895
3799,0.522222,0.545000,0.044664,0.090000
3999,0.518684,0.455000,0.037574,-0.093280
4199,0.514750,0.440000,0.029537,-0.120000
4399,0.517381,0.570000,0.034686,0.134809
4599,0.514318,0.450000,0.028516,-0.099670
4799,0.517609,0.590000,0.035082,0.180000
4999,0.516250,0.485000,0.032179,-0.030000
5199,0.516400,0.520000,0.032585,0.040480
5399,0.516731,0.525000,0.033376,0.059778
5599,0.517037,0.525000,0.034074,0.047141
5799,0.517679,0.535000,0.035387,0.071300
5999,0.517759,0.520000,0.035828,0.033914
6199,0.517833,0.520000,0.036071,0.018003
6399,0.520000,0.585000,0.040514,0.153925
6599,0.518125,0.460000,0.036706,-0.091460
6799,0.517273,0.490000,0.034803,0.000882
6999,0.517794,0.535000,0.035856,0.070372
7199,0.517857,0.520000,0.035962,0.039135
7399,0.516944,0.485000,0.034159,-0.029382
7599,0.516081,0.485000,0.032409,-0.041245
7799,0.517105,0.555000,0.034484,0.104087
7999,0.516026,0.475000,0.032343,-0.048742
8199,0.515375,0.490000,0.031133,-0.020000
8399,0.515366,0.515000,0.031171,0.032901
8599,0.515595,0.525000,0.031643,0.051139
8799,0.515930,0.530000,0.032359,0.054706
8999,0.516932,0.560000,0.034352,0.119295
9199,0.516889,0.515000,0.034253,0.028056
9399,0.517174,0.530000,0.034776,0.049353
9599,0.518404,0.575000,0.037227,0.148467
9799,0.518750,0.535000,0.037919,0.069442
9999,0.519796,0.570000,0.039937,0.138881
10199,0.520800,0.570000,0.041878,0.143853
10399,0.521275,0.545000,0.042812,0.089089
10599,0.522115,0.565000,0.044487,0.129129
10799,0.523113,0.575000,0.046512,0.153049
10999,0.522407,0.485000,0.045073,-0.029382
11199,0.523091,0.560000,0.046474,0.124814
11399,0.523125,0.525000,0.046506,0.051896
11599,0.522719,0.500000,0.045743,0.007937
11799,0.523190,0.550000,0.046723,0.103586
11999,0.523390,0.535000,0.047138,0.070929
12199,0.523417,0.525000,0.047116,0.028630
12399,0.522787,0.485000,0.045773,-0.041877
12599,0.523387,0.560000,0.046889,0.111560
12799,0.523730,0.545000,0.047522,0.084507
12999,0.523672,0.520000,0.047383,0.038558
13199,0.523231,0.495000,0.046514,-0.008185
13399,0.522500,0.475000,0.045025,-0.049370
13599,0.522761,0.540000,0.045538,0.080735
13799,0.522647,0.515000,0.045290,0.023162
13999,0.522319,0.500000,0.044659,0.004777
14199,0.522214,0.515000,0.044441,0.030582
14399,0.522254,0.525000,0.044549,0.047715
14599,0.522500,0.540000,0.045043,0.080000
14799,0.522466,0.520000,0.044977,0.039904
14999,0.522432,0.520000,0.044928,0.041438
15199,0.522133,0.500000,0.044307,-0.001201
15399,0.522303,0.535000,0.044602,0.057560
15599,0.521494,0.460000,0.042960,-0.087832
15799,0.522564,0.605000,0.045109,0.211419
15999,0.522848,0.545000,0.045601,0.068768
16199,0.522750,0.515000,0.045413,0.031356
16399,0.523148,0.555000,0.046197,0.107859
16599,0.522561,0.475000,0.044934,-0.054852
16799,0.523012,0.560000,0.045764,0.107143
16999,0.522917,0.515000,0.045553,0.026104
17199,0.522765,0.510000,0.045214,0.021077
17399,0.522267,0.480000,0.044215,-0.038442
17599,0.523448,0.625000,0.046511,0.242271
17799,0.523466,0.525000,0.046534,0.048096
17999,0.523146,0.495000,0.045884,-0.011213
18199,0.522778,0.490000,0.045076,-0.034903
18399,0.522363,0.485000,0.044168,-0.044625
18599,0.522174,0.505000,0.043768,0.020190
18799,0.522473,0.550000,0.044418,0.105812
18999,0.522340,0.510000,0.044200,0.020000
19199,0.522526,0.540000,0.044569,0.083300
19399,0.522240,0.495000,0.044039,-0.011821
19599,0.522010,0.500000,0.043623,-0.002707
19799,0.521990,0.520000,0.043603,0.039135
19999,0.521869,0.510000,0.043370,0.020783
