# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.sea_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.825000,0.825000,0.636250,0.636250
599,0.832500,0.840000,0.656815,0.676637
799,0.838333,0.850000,0.666254,0.687533
999,0.830000,0.805000,0.648349,0.594679
1199,0.837000,0.865000,0.662875,0.721477
1399,0.840833,0.860000,0.671787,0.715129
1599,0.837143,0.815000,0.666276,0.630000
1799,0.837500,0.840000,0.666453,0.667221
1999,0.831111,0.780000,0.653854,0.554069
2199,0.831000,0.830000,0.653257,0.647595
2399,0.833636,0.860000,0.656930,0.688370
2599,0.834167,0.840000,0.658373,0.673736
2799,0.832692,0.815000,0.655910,0.626866
2999,0.831429,0.815000,0.653567,0.623218
3199,0.829333,0.800000,0.649435,0.592045
3399,0.828750,0.820000,0.648758,0.637097
3599,0.830294,0.855000,0.651706,0.699731
3799,0.831111,0.845000,0.654062,0.690433
3999,0.832895,0.865000,0.657595,0.722622
4199,0.830000,0.775000,0.651885,0.544073
4399,0.827619,0.780000,0.646997,0.549918
4599,0.828182,0.840000,0.647910,0.666944
4799,0.827174,0.805000,0.646482,0.611167
4999,0.828125,0.850000,0.648594,0.696387
5199,0.826600,0.790000,0.644943,0.547414
5399,0.826154,0.815000,0.644001,0.620435
5599,0.826852,0.845000,0.644889,0.664647
5799,0.827500,0.845000,0.645917,0.673478
5999,0.826724,0.805000,0.644197,0.595100
6199,0.826167,0.810000,0.643132,0.614800
6399,0.827097,0.855000,0.644601,0.686486
6599,0.827031,0.825000,0.645073,0.650210
6799,0.826061,0.795000,0.643325,0.586777
6999,0.826324,0.835000,0.644183,0.669206
7199,0.826571,0.835000,0.644714,0.662921
7399,0.826250,0.815000,0.644054,0.622526
7599,0.826622,0.840000,0.644923,0.675456
7799,0.826974,0.840000,0.645512,0.666979
7999,0.826667,0.815000,0.644665,0.610280
8199,0.827625,0.865000,0.646518,0.719393
8399,0.827561,0.825000,0.646450,0.643585
8599,0.828690,0.875000,0.648766,0.743852
8799,0.829070,0.845000,0.649384,0.674984
8999,0.829091,0.830000,0.649364,0.648615
9199,0.829889,0.865000,0.650641,0.703297
9399,0.829674,0.820000,0.649905,0.610052
9599,0.829574,0.825000,0.649873,0.646821
9799,0.829375,0.820000,0.649336,0.622681
9999,0.829286,0.825000,0.649011,0.631811
10199,0.828700,0.800000,0.647970,0.596327
10399,0.829314,0.860000,0.649191,0.710654
10599,0.828558,0.790000,0.647503,0.558638
10799,0.828962,0.850000,0.648208,0.684775
10999,0.828704,0.815000,0.647488,0.606467
11199,0.829455,0.870000,0.649151,0.736922
11399,0.829018,0.805000,0.648273,0.600410
11599,0.828246,0.785000,0.646317,0.515657
11799,0.828621,0.850000,0.646829,0.672489
11999,0.828644,0.830000,0.646570,0.624019
12199,0.828333,0.810000,0.645588,0.573609
12399,0.828361,0.830000,0.644989,0.558442
12599,0.828629,0.845000,0.644808,0.576271
12799,0.828571,0.825000,0.644162,0.573171
12999,0.829063,0.860000,0.644614,0.650481
13199,0.828692,0.805000,0.643181,0.487247
13399,0.828561,0.820000,0.642418,0.565480
13599,0.828955,0.855000,0.642663,0.634208
13799,0.828456,0.795000,0.641083,0.491441
13999,0.828623,0.840000,0.640972,0.616123
14199,0.829000,0.855000,0.641146,0.623572
14399,0.829577,0.870000,0.641819,0.674349
14599,0.829514,0.825000,0.641295,0.589105
14799,0.830205,0.880000,0.642327,0.712747
14999,0.830000,0.815000,0.641426,0.547677
15199,0.830067,0.835000,0.641219,0.615115
15399,0.830263,0.845000,0.641212,0.626416
15599,0.830260,0.830000,0.640733,0.579676
15799,0.830577,0.855000,0.641190,0.675397
15999,0.831076,0.870000,0.641583,0.640238
16199,0.831812,0.890000,0.642695,0.728026
16399,0.832284,0.870000,0.643272,0.681646
16599,0.832500,0.850000,0.643354,0.639553
16799,0.832651,0.845000,0.643376,0.638442
16999,0.832560,0.825000,0.642633,0.538988
17199,0.832471,0.825000,0.642131,0.588041
17399,0.833198,0.895000,0.643188,0.729521
17599,0.833563,0.865000,0.643640,0.677804
17799,0.833920,0.865000,0.643943,0.656401
17999,0.834494,0.885000,0.644852,0.725275
18199,0.834556,0.840000,0.644752,0.632522
18399,0.834725,0.850000,0.644736,0.631992
18599,0.834783,0.840000,0.644517,0.611886
18799,0.835215,0.875000,0.644768,0.627200
18999,0.834840,0.800000,0.643516,0.488295
19199,0.834842,0.835000,0.642897,0.525180
19399,0.834583,0.810000,0.642009,0.538387
19599,0.834433,0.820000,0.641354,0.560976
19799,0.834439,0.835000,0.640780,0.532578
19999,0.834141,0.805000,0.639656,0.483854
