# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.KNN.stagger_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,1.000000,1.000000,1.000000,1.000000
599,1.000000,1.000000,1.000000,1.000000
799,1.000000,1.000000,1.000000,1.000000
999,1.000000,1.000000,1.000000,1.000000
1199,1.000000,1.000000,1.000000,1.000000
1399,1.000000,1.000000,1.000000,1.000000
1599,1.000000,1.000000,1.000000,1.000000
1799,1.000000,1.000000,1.000000,1.000000
1999,1.000000,1.000000,1.000000,1.000000
2199,1.000000,1.000000,1.000000,1.000000
2399,1.000000,1.000000,1.000000,1.000000
2599,1.000000,1.000000,1.000000,1.000000
2799,1.000000,1.000000,1.000000,1.000000
2999,1.000000,1.000000,1.000000,1.000000
3199,1.000000,1.000000,1.000000,1.000000
3399,1.000000,1.000000,1.000000,1.000000
3599,1.000000,1.000000,1.000000,1.000000
3799,1.000000,1.000000,1.000000,1.000000
3999,1.000000,1.000000,1.000000,1.000000
4199,1.000000,1.000000,1.000000,1.000000
4399,1.000000,1.000000,1.000000,1.000000
4599,1.000000,1.000000,1.000000,1.000000
4799,1.000000,1.000000,1.000000,1.000000
4999,1.000000,1.000000,1.000000,1.000000
5199,1.000000,1.000000,1.000000,1.000000
5399,1.000000,1.000000,1.000000,1.000000
5599,1.000000,1.000000,1.000000,1.000000
5799,1.000000,1.000000,1.000000,1.000000
5999,1.000000,1.000000,1.000000,1.000000
6199,1.000000,1.000000,1.000000,1.000000
6399,1.000000,1.000000,1.000000,1.000000
6599,1.000000,1.000000,1.000000,1.000000
6799,1.000000,1.000000,1.000000,1.000000
6999,1.000000,1.000000,1.000000,1.000000
7199,1.000000,1.000000,1.000000,1.000000
7399,1.000000,1.000000,1.000000,1.000000
7599,1.000000,1.000000,1.000000,1.000000
7799,1.000000,1.000000,1.000000,1.000000
7999,1.000000,1.000000,1.000000,1.000000
8199,1.000000,1.000000,1.000000,1.000000
8399,1.000000,1.000000,1.000000,1.000000
8599,1.000000,1.000000,1.000000,1.000000
8799,1.000000,1.000000,1.000000,1.000000
8999,1.000000,1.000000,1.000000,1.000000
9199,1.000000,1.000000,1.000000,1.000000
9399,1.000000,1.000000,1.000000,1.000000
9599,1.000000,1.000000,1.000000,1.000000
9799,1.000000,1.000000,1.000000,1.000000
9999,1.000000,1.000000,1.000000,1.000000
10199,1.000000,1.000000,1.000000,1.000000
10399,1.000000,1.000000,1.000000,1.000000
10599,0.999808,0.990000,0.999611,0.979968
10799,0.999434,0.980000,0.998855,0.958519
10999,0.998704,0.960000,0.997378,0.919638
11199,0.996909,0.900000,0.993747,0.797591
11399,0.993482,0.805000,0.986810,0.599178
11599,0.989737,0.780000,0.979226,0.548579
11799,0.984914,0.710000,0.969465,0.416264
11999,0.980339,0.715000,0.960187,0.400253
12199,0.977083,0.785000,0.953562,0.529025
12399,0.975984,0.910000,0.951284,0.789621
12599,0.975645,0.955000,0.950563,0.901553
12799,0.975952,0.995000,0.951149,0.988899
12999,0.976328,1.000000,0.951866,1.000000
13199,0.976692,1.000000,0.952566,1.000000
13399,0.977045,1.000000,0.953237,1.000000
13599,0.977388,1.000000,0.953903,1.000000
13799,0.977721,1.000000,0.954516,1.000000
13999,0.978043,1.000000,0.955120,1.000000
14199,0.978357,1.000000,0.955735,1.000000
14399,0.978662,1.000000,0.956342,1.000000
14599,0.978958,1.000000,0.956911,1.000000
14799,0.979247,1.000000,0.957480,1.000000
14999,0.979527,1.000000,0.958021,1.000000
15199,0.979800,1.000000,0.958582,1.000000
15399,0.980066,1.000000,0.959117,1.000000
15599,0.980325,1.000000,0.959626,1.000000
15799,0.980577,1.000000,0.960135,1.000000
15999,0.980823,1.000000,0.960611,1.000000
16199,0.981062,1.000000,0.961073,1.000000
16399,0.981296,1.000000,0.961529,1.000000
16599,0.981524,1.000000,0.961988,1.000000
16799,0.981747,1.000000,0.962412,1.000000
16999,0.981964,1.000000,0.962839,1.000000
17199,0.982176,1.000000,0.963248,1.000000
17399,0.982384,1.000000,0.963660,1.000000
17599,0.982586,1.000000,0.964067,1.000000
17799,0.982784,1.000000,0.964440,1.000000
17999,0.982978,1.000000,0.964819,1.000000
18199,0.983167,1.000000,0.965210,1.000000
18399,0.983352,1.000000,0.965551,1.000000
18599,0.983533,1.000000,0.965901,1.000000
18799,0.983710,1.000000,0.966230,1.000000
18999,0.983883,1.000000,0.966572,1.000000
19199,0.984053,1.000000,0.966916,1.000000
19399,0.984219,1.000000,0.967236,1.000000
19599,0.984381,1.000000,0.967562,1.000000
19799,0.984541,1.000000,0.967880,1.000000
19999,0.984697,1.000000,0.968187,1.000000
