# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.agrawal_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.590000,0.590000,-0.064244,-0.064244
599,0.587500,0.585000,-0.042984,-0.018405
799,0.578333,0.560000,0.004251,0.056604
999,0.557500,0.495000,-0.012260,-0.074240
1199,0.561000,0.575000,0.003514,0.063051
1399,0.563333,0.575000,0.001052,-0.014320
1599,0.557857,0.525000,-0.001104,-0.020408
1799,0.553125,0.520000,-0.004887,-0.035040
1999,0.554444,0.565000,0.008506,0.092994
2199,0.550500,0.515000,-0.001535,-0.092588
2399,0.550455,0.550000,0.003875,0.055019
2599,0.550000,0.545000,0.007994,0.053070
2799,0.550769,0.560000,0.003813,-0.063830
2999,0.552500,0.575000,0.006423,0.044729
3199,0.553333,0.565000,0.005464,-0.012334
3399,0.555625,0.590000,0.008195,0.053883
3599,0.553529,0.520000,0.002381,-0.092896
3799,0.557222,0.620000,0.006346,0.067599
3999,0.559474,0.600000,0.007539,0.020448
4199,0.559500,0.560000,0.007806,0.012900
4399,0.559286,0.555000,0.005608,-0.039720
4599,0.556364,0.495000,0.000418,-0.105517
4799,0.556304,0.555000,0.000302,-0.002252
4999,0.556042,0.550000,-0.000462,-0.017524
5199,0.557400,0.590000,0.003046,0.086555
5399,0.557115,0.550000,0.002828,-0.002674
5599,0.556296,0.535000,0.000336,-0.055379
5799,0.557321,0.585000,0.000540,0.005988
5999,0.554310,0.470000,-0.005773,-0.180401
6199,0.554667,0.565000,-0.005423,0.004577
6399,0.554677,0.555000,-0.007326,-0.075139
6599,0.556406,0.610000,-0.003148,0.125561
6799,0.555455,0.525000,-0.005432,-0.078075
6999,0.555294,0.550000,-0.005539,-0.008177
7199,0.556143,0.585000,-0.003087,0.078801
7399,0.555694,0.540000,-0.002843,0.001736
7599,0.557703,0.630000,0.001436,0.156791
7799,0.555263,0.465000,-0.001463,-0.106515
7999,0.554487,0.525000,-0.002452,-0.040526
8199,0.553500,0.515000,-0.004522,-0.084283
8399,0.554390,0.590000,-0.002458,0.079892
8599,0.554524,0.560000,-0.002834,-0.016636
8799,0.554419,0.550000,-0.002984,-0.005924
8999,0.554545,0.560000,-0.003470,-0.024209
9199,0.554000,0.530000,-0.004965,-0.070128
9399,0.555435,0.620000,-0.002645,0.104618
9599,0.555957,0.580000,-0.001526,0.050311
9799,0.556875,0.600000,-0.001255,-0.002632
9999,0.557755,0.600000,0.000713,0.095534
10199,0.557900,0.565000,0.001701,0.049180
10399,0.558529,0.590000,0.002192,0.024274
10599,0.559038,0.585000,0.002522,0.016588
10799,0.559151,0.565000,0.001704,-0.045673
10999,0.560370,0.625000,0.003857,0.121574
11199,0.560273,0.555000,0.004161,0.018743
11399,0.561607,0.635000,0.006732,0.151163
11599,0.560965,0.525000,0.007669,0.024039
11799,0.560172,0.515000,0.009442,0.026104
11999,0.559746,0.535000,0.011874,0.068883
12199,0.559667,0.555000,0.015250,0.109466
12399,0.558689,0.500000,0.015919,-0.006441
12599,0.556935,0.450000,0.014524,-0.108312
12799,0.555635,0.475000,0.014193,-0.056338
12999,0.554844,0.505000,0.016652,0.004825
13199,0.553923,0.495000,0.018095,-0.009193
13399,0.553409,0.520000,0.018855,0.028340
13599,0.551716,0.440000,0.018004,-0.119888
13799,0.551250,0.520000,0.019072,0.036145
13999,0.550507,0.500000,0.020239,0.002096
14199,0.549429,0.475000,0.019480,-0.061464
14399,0.548380,0.475000,0.019579,-0.047904
14599,0.548264,0.540000,0.021460,0.082935
14799,0.547466,0.490000,0.021630,-0.020715
14999,0.546622,0.485000,0.021356,-0.035176
15199,0.546400,0.530000,0.022334,0.055466
15399,0.545461,0.475000,0.021882,-0.050000
15599,0.545065,0.515000,0.022268,0.021783
15799,0.544295,0.485000,0.022013,-0.034137
15999,0.543101,0.450000,0.020770,-0.105417
16199,0.542750,0.515000,0.021590,0.029418
16399,0.542778,0.545000,0.022707,0.081921
16599,0.542012,0.480000,0.022190,-0.046278
16799,0.542108,0.550000,0.023545,0.098828
16999,0.541964,0.530000,0.024638,0.061970
17199,0.540647,0.430000,0.023544,-0.138975
17399,0.540233,0.505000,0.024169,0.010000
17599,0.539885,0.510000,0.024580,0.024682
17799,0.539602,0.515000,0.024778,0.021388
17999,0.538820,0.470000,0.023928,-0.065969
18199,0.538333,0.495000,0.023975,-0.008185
18399,0.537967,0.505000,0.023920,0.001211
18599,0.537337,0.480000,0.023165,-0.054232
18799,0.537366,0.540000,0.023730,0.064280
18999,0.537287,0.530000,0.024007,0.041208
19199,0.537053,0.515000,0.024557,0.030000
19399,0.536615,0.495000,0.025015,-0.008588
19599,0.535928,0.470000,0.024384,-0.060000
19799,0.535459,0.490000,0.024139,-0.023583
19999,0.535404,0.530000,0.024017,0.012294
