# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.covtype.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.870000,0.870000,0.791030,0.791030
599,0.850000,0.830000,0.765753,0.739384
799,0.868333,0.905000,0.810322,0.865191
999,0.863750,0.850000,0.819420,0.817701
1199,0.866000,0.875000,0.831722,0.847700
1399,0.871667,0.900000,0.840009,0.861101
1599,0.872857,0.880000,0.840684,0.830962
1799,0.875000,0.890000,0.845117,0.861500
1999,0.871667,0.845000,0.842690,0.799457
2199,0.872000,0.875000,0.845303,0.815525
2399,0.878182,0.940000,0.853277,0.902459
2599,0.881667,0.920000,0.857235,0.857480
2799,0.882692,0.895000,0.857895,0.812274
2999,0.885714,0.925000,0.860680,0.850665
3199,0.885000,0.875000,0.858530,0.723038
3399,0.885000,0.885000,0.857542,0.821588
3599,0.883824,0.865000,0.855156,0.796334
3799,0.882778,0.865000,0.853102,0.792419
3999,0.882368,0.875000,0.852301,0.825760
4199,0.880750,0.850000,0.849959,0.791659
4399,0.880000,0.865000,0.848849,0.816564
4599,0.879091,0.860000,0.847730,0.800832
4799,0.877826,0.850000,0.846445,0.800605
4999,0.876875,0.855000,0.845736,0.794056
5199,0.875400,0.840000,0.843934,0.756088
5399,0.874231,0.845000,0.842629,0.767877
5599,0.872407,0.825000,0.841638,0.778516
5799,0.872679,0.880000,0.842949,0.842829
5999,0.870000,0.795000,0.840592,0.747296
6199,0.869000,0.840000,0.840036,0.799656
6399,0.867419,0.820000,0.838890,0.768355
6599,0.867344,0.865000,0.839326,0.833040
6799,0.868485,0.905000,0.841232,0.875561
6999,0.867941,0.850000,0.841196,0.798624
7199,0.866429,0.815000,0.839876,0.769607
7399,0.864167,0.785000,0.837588,0.732903
7599,0.861486,0.765000,0.834683,0.700904
7799,0.861184,0.850000,0.834641,0.805125
7999,0.859487,0.795000,0.833179,0.702338
8199,0.859625,0.865000,0.833905,0.778834
8399,0.860366,0.890000,0.835170,0.738872
8599,0.861190,0.895000,0.836437,0.796314
8799,0.860233,0.820000,0.835563,0.699675
8999,0.858977,0.805000,0.834266,0.703321
9199,0.859000,0.860000,0.834398,0.794118
9399,0.859457,0.880000,0.835025,0.800050
9599,0.859043,0.840000,0.834583,0.739180
9799,0.857083,0.765000,0.832439,0.683278
9999,0.856020,0.805000,0.831268,0.637513
10199,0.854200,0.765000,0.829113,0.534054
10399,0.854216,0.855000,0.829158,0.791367
10599,0.852115,0.745000,0.826984,0.464004
10799,0.848962,0.685000,0.823466,0.517925
10999,0.847315,0.760000,0.821583,0.692761
11199,0.846818,0.820000,0.820973,0.769622
11399,0.844911,0.740000,0.818708,0.666442
11599,0.844825,0.840000,0.818527,0.681068
11799,0.843793,0.785000,0.817205,0.611983
11999,0.843136,0.805000,0.816334,0.719364
12199,0.842333,0.795000,0.815305,0.720718
12399,0.840492,0.730000,0.813083,0.633090
12599,0.838629,0.725000,0.810929,0.662566
12799,0.836825,0.725000,0.808865,0.663650
12999,0.835703,0.765000,0.807577,0.692891
13199,0.833615,0.700000,0.805170,0.621988
13399,0.831970,0.725000,0.803321,0.638942
13599,0.831940,0.830000,0.803331,0.662431
13799,0.830735,0.750000,0.801970,0.622456
13999,0.827899,0.635000,0.798692,0.536125
14199,0.826643,0.740000,0.797273,0.645608
14399,0.828592,0.965000,0.799747,0.885359
14599,0.830694,0.980000,0.802340,0.877900
14799,0.832534,0.965000,0.804554,0.891347
14999,0.833851,0.930000,0.806108,0.720419
15199,0.835200,0.935000,0.807649,0.736308
15399,0.836908,0.965000,0.809563,0.852926
15599,0.838377,0.950000,0.811173,0.849556
15799,0.839808,0.950000,0.812727,0.879851
15999,0.841076,0.940000,0.814078,0.868852
16199,0.842500,0.955000,0.815560,0.866260
16399,0.844136,0.975000,0.817272,0.928336
16599,0.845732,0.975000,0.818922,0.929433
16799,0.847229,0.970000,0.820449,0.922088
16999,0.848690,0.970000,0.821918,0.918892
17199,0.850235,0.980000,0.823500,0.953626
17399,0.851744,0.980000,0.825028,0.952900
17599,0.853276,0.985000,0.826551,0.958842
17799,0.854716,0.980000,0.827963,0.946978
17999,0.856180,0.985000,0.829377,0.954233
18199,0.857611,0.985000,0.830713,0.939970
18399,0.858901,0.975000,0.831855,0.875792
18599,0.860217,0.980000,0.833103,0.947181
18799,0.861505,0.980000,0.834328,0.949843
18999,0.862766,0.980000,0.835480,0.939723
19199,0.863947,0.975000,0.836531,0.922601
19399,0.864948,0.960000,0.837391,0.893333
19599,0.865928,0.960000,0.838228,0.894040
19799,0.866786,0.950000,0.838893,0.851544
19999,0.868081,0.995000,0.839981,0.953875
