# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.880000,0.880000,0.680043,0.680043
599,0.910000,0.940000,0.751647,0.828179
799,0.893333,0.860000,0.758159,0.720336
999,0.863750,0.775000,0.689781,0.481208
1199,0.841000,0.750000,0.635023,0.405894
1399,0.836667,0.815000,0.647389,0.619889
1599,0.810000,0.650000,0.595280,0.298667
1799,0.806875,0.785000,0.594917,0.570086
1999,0.812778,0.860000,0.602604,0.655512
2199,0.805500,0.740000,0.589872,0.475542
2399,0.808182,0.835000,0.601307,0.664907
2599,0.811667,0.850000,0.607300,0.673736
2799,0.811923,0.815000,0.600470,0.259704
2999,0.818571,0.905000,0.615662,0.804728
3199,0.816667,0.790000,0.609579,0.504892
3399,0.814688,0.785000,0.602575,0.459119
3599,0.812059,0.770000,0.602409,0.538384
3799,0.811389,0.800000,0.600687,0.571734
3999,0.812105,0.825000,0.598934,0.512535
4199,0.811000,0.790000,0.598697,0.579327
4399,0.810238,0.795000,0.597524,0.577755
4599,0.807727,0.755000,0.593263,0.511271
4799,0.808478,0.825000,0.596651,0.653603
4999,0.808542,0.810000,0.595996,0.578947
5199,0.805200,0.725000,0.592013,0.432990
5399,0.803846,0.770000,0.589415,0.525822
5599,0.805370,0.845000,0.590569,0.586225
5799,0.805000,0.795000,0.590311,0.581205
5999,0.804483,0.790000,0.589341,0.564722
6199,0.799167,0.645000,0.578710,0.276986
6399,0.798226,0.770000,0.579554,0.506650
6599,0.796250,0.735000,0.575521,0.455293
6799,0.795303,0.765000,0.575701,0.507853
6999,0.796176,0.825000,0.578332,0.650629
7199,0.797286,0.835000,0.581590,0.669604
7399,0.800000,0.895000,0.588454,0.786368
7599,0.800811,0.830000,0.590604,0.659762
7799,0.802105,0.850000,0.594400,0.692402
7999,0.802436,0.815000,0.595730,0.630000
8199,0.802750,0.815000,0.596757,0.629778
8399,0.803049,0.815000,0.597726,0.630222
8599,0.800714,0.705000,0.593185,0.431490
8799,0.801860,0.850000,0.595504,0.693126
8999,0.801591,0.790000,0.595384,0.580210
9199,0.803667,0.895000,0.600762,0.763514
9399,0.805000,0.865000,0.603749,0.730324
9599,0.804255,0.770000,0.602605,0.544374
9799,0.804792,0.830000,0.603450,0.639563
9999,0.803878,0.760000,0.601124,0.456952
10199,0.804300,0.825000,0.601849,0.637756
10399,0.803137,0.745000,0.599049,0.425546
10599,0.802692,0.780000,0.598283,0.559427
10799,0.802264,0.780000,0.598056,0.544702
10999,0.799815,0.670000,0.592671,0.277346
11199,0.798091,0.705000,0.589290,0.407868
11399,0.797143,0.745000,0.587263,0.475848
11599,0.797807,0.835000,0.589041,0.675261
11799,0.798793,0.855000,0.591282,0.710000
11999,0.799492,0.840000,0.593237,0.668153
12199,0.799417,0.795000,0.593204,0.589425
12399,0.799836,0.825000,0.594417,0.645318
12599,0.800887,0.865000,0.596441,0.720786
12799,0.801667,0.850000,0.598394,0.694034
12999,0.802891,0.880000,0.600999,0.759904
13199,0.802308,0.765000,0.599784,0.521287
13399,0.801515,0.750000,0.597852,0.431818
13599,0.801791,0.820000,0.598712,0.635922
13799,0.802059,0.820000,0.599374,0.640180
13999,0.801304,0.750000,0.597351,0.348958
14199,0.801571,0.820000,0.598123,0.638844
14399,0.801690,0.810000,0.598062,0.571541
14599,0.800625,0.725000,0.595670,0.401263
14799,0.799452,0.715000,0.593131,0.402014
14999,0.798243,0.710000,0.590763,0.422253
15199,0.797867,0.770000,0.589693,0.476738
15399,0.796382,0.685000,0.586621,0.352518
15599,0.795000,0.690000,0.583791,0.376508
15799,0.794679,0.770000,0.582552,0.336028
15999,0.794367,0.770000,0.581544,0.459078
16199,0.794687,0.820000,0.581818,0.571887
16399,0.795494,0.860000,0.583094,0.669811
16599,0.795610,0.805000,0.583696,0.604623
16799,0.796265,0.850000,0.585253,0.699760
16999,0.796607,0.825000,0.585903,0.640436
17199,0.796882,0.820000,0.586350,0.622047
17399,0.796744,0.785000,0.585776,0.508122
17599,0.797529,0.865000,0.586960,0.663426
17799,0.798807,0.910000,0.589340,0.800951
17999,0.799326,0.845000,0.590405,0.684639
18199,0.800111,0.870000,0.592517,0.722933
18399,0.800385,0.825000,0.592990,0.634656
18599,0.800978,0.855000,0.594401,0.709826
18799,0.801290,0.830000,0.595163,0.660000
18999,0.802128,0.880000,0.597042,0.760192
19199,0.802105,0.800000,0.597425,0.575957
19399,0.801250,0.720000,0.595654,0.435427
19599,0.801134,0.790000,0.595395,0.570376
19799,0.801020,0.790000,0.594974,0.539272
19999,0.800707,0.770000,0.594342,0.534413
