# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.hyperplane_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.575000,0.575000,0.146929,0.146929
599,0.552500,0.530000,0.104866,0.053183
799,0.535000,0.500000,0.069979,-0.000100
999,0.527500,0.505000,0.054953,0.009802
1199,0.528000,0.530000,0.056076,0.062251
1399,0.525000,0.510000,0.049897,0.018528
1599,0.525000,0.525000,0.049891,0.051896
1799,0.532500,0.585000,0.065110,0.183874
1999,0.540556,0.605000,0.081261,0.199919
2199,0.545000,0.585000,0.089990,0.170995
2399,0.548636,0.585000,0.097295,0.167503
2599,0.549167,0.555000,0.098323,0.107859
2799,0.547692,0.530000,0.095376,0.060751
2999,0.549643,0.575000,0.099277,0.143836
3199,0.552333,0.590000,0.104638,0.165904
3399,0.553438,0.570000,0.106768,0.135070
3599,0.553529,0.555000,0.107026,0.105348
3799,0.557778,0.630000,0.115510,0.261551
3999,0.555000,0.505000,0.109896,0.004425
4199,0.556000,0.575000,0.111863,0.149319
4399,0.558810,0.615000,0.117510,0.229846
4599,0.557500,0.530000,0.114770,0.046653
4799,0.558261,0.575000,0.116186,0.143318
4999,0.555625,0.495000,0.110668,-0.038240
5199,0.556600,0.580000,0.112561,0.158317
5399,0.557885,0.590000,0.115370,0.168357
5599,0.560000,0.615000,0.119622,0.230923
5799,0.558214,0.510000,0.116124,0.020000
5999,0.557931,0.550000,0.115589,0.100270
6199,0.558333,0.570000,0.116401,0.139914
6399,0.557097,0.520000,0.113897,0.041055
6599,0.557187,0.560000,0.114142,0.118590
6799,0.556061,0.520000,0.111963,0.035370
6999,0.556618,0.575000,0.113127,0.146586
7199,0.556571,0.555000,0.113038,0.110000
7399,0.557083,0.575000,0.114033,0.148126
7599,0.558243,0.600000,0.116386,0.200879
7799,0.558421,0.565000,0.116763,0.128955
7999,0.558718,0.570000,0.117339,0.138622
8199,0.559250,0.580000,0.118398,0.160000
8399,0.560488,0.610000,0.120860,0.218828
8599,0.560595,0.565000,0.121133,0.119968
8799,0.562442,0.640000,0.124850,0.279207
8999,0.562727,0.575000,0.125439,0.146586
9199,0.562111,0.535000,0.124211,0.069442
9399,0.560652,0.495000,0.121293,-0.010000
9599,0.561596,0.605000,0.123169,0.210000
9799,0.561042,0.535000,0.122075,0.075547
9999,0.560306,0.525000,0.120601,0.049810
10199,0.560600,0.575000,0.121193,0.150000
10399,0.561078,0.585000,0.122155,0.169502
10599,0.561827,0.600000,0.123645,0.200000
10799,0.562075,0.575000,0.124143,0.150000
10999,0.561852,0.550000,0.123698,0.099640
11199,0.561364,0.535000,0.122719,0.070372
11399,0.560714,0.525000,0.121428,0.044842
11599,0.559912,0.515000,0.119819,0.031743
11799,0.560000,0.565000,0.119989,0.127382
11999,0.560254,0.575000,0.120500,0.157081
12199,0.560583,0.580000,0.121167,0.130795
12399,0.559426,0.490000,0.118851,-0.028744
12599,0.559919,0.590000,0.119840,0.182860
12799,0.560079,0.570000,0.120156,0.138967
12999,0.560625,0.595000,0.121254,0.184618
13199,0.561154,0.595000,0.122311,0.188864
13399,0.560682,0.530000,0.121373,0.065142
13599,0.560224,0.530000,0.120453,0.056888
13799,0.560147,0.555000,0.120296,0.112662
13999,0.560145,0.560000,0.120292,0.118943
14199,0.561500,0.655000,0.123005,0.307924
14399,0.561901,0.590000,0.123809,0.175050
14599,0.562639,0.615000,0.125285,0.229538
14799,0.563288,0.610000,0.126579,0.221168
14999,0.563649,0.590000,0.127298,0.182860
15199,0.563733,0.570000,0.127462,0.131313
15399,0.563618,0.555000,0.127225,0.101917
15599,0.563182,0.530000,0.126348,0.061783
15799,0.563462,0.585000,0.126911,0.170995
15999,0.563165,0.540000,0.126318,0.080000
16199,0.562375,0.500000,0.124728,-0.003311
16399,0.562716,0.590000,0.125412,0.180000
16599,0.561707,0.480000,0.123393,-0.040312
16799,0.561446,0.540000,0.122866,0.078526
16999,0.561310,0.550000,0.122581,0.090174
17199,0.561882,0.610000,0.123741,0.213947
17399,0.561744,0.550000,0.123470,0.098558
17599,0.562989,0.670000,0.125974,0.336617
17799,0.563068,0.570000,0.126138,0.133501
17999,0.563483,0.600000,0.126965,0.200639
18199,0.562833,0.505000,0.125664,0.008016
18399,0.563516,0.625000,0.127031,0.250000
18599,0.563641,0.575000,0.127279,0.151866
18799,0.564140,0.610000,0.128273,0.221168
18999,0.563404,0.495000,0.126797,-0.017120
19199,0.563526,0.575000,0.127043,0.151019
19399,0.563229,0.535000,0.126446,0.069628
19599,0.562990,0.540000,0.125966,0.080000
19799,0.562296,0.495000,0.124584,-0.010809
19999,0.562172,0.550000,0.124337,0.100360
