# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.led_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.150000,0.150000,0.054374,0.054374
599,0.160000,0.170000,0.064158,0.072263
799,0.171667,0.195000,0.076048,0.098166
999,0.175000,0.185000,0.080537,0.093336
1199,0.176000,0.180000,0.083346,0.086733
1399,0.171667,0.150000,0.078511,0.052106
1599,0.175714,0.200000,0.083156,0.107218
1799,0.179375,0.205000,0.087298,0.113465
1999,0.180556,0.190000,0.088599,0.093681
2199,0.180000,0.175000,0.087819,0.079318
2399,0.182273,0.205000,0.090531,0.115709
2599,0.181667,0.175000,0.089854,0.081062
2799,0.180000,0.160000,0.088151,0.065395
2999,0.181071,0.195000,0.089187,0.099099
3199,0.180667,0.175000,0.088841,0.083002
3399,0.182188,0.205000,0.090538,0.112277
3599,0.180000,0.145000,0.088135,0.046902
3799,0.178333,0.150000,0.086385,0.050279
3999,0.181842,0.245000,0.090253,0.159126
4199,0.182250,0.190000,0.090670,0.094770
4399,0.183571,0.210000,0.092194,0.120806
4599,0.184318,0.200000,0.093040,0.109726
4799,0.183261,0.160000,0.091839,0.064588
4999,0.182500,0.165000,0.091055,0.069197
5199,0.182800,0.190000,0.091495,0.098397
5399,0.181538,0.150000,0.090181,0.053268
5599,0.181852,0.190000,0.090506,0.097292
5799,0.181429,0.170000,0.090029,0.076084
5999,0.180690,0.160000,0.089236,0.066096
6199,0.179500,0.145000,0.087956,0.046876
6399,0.179516,0.180000,0.088010,0.085918
6599,0.180000,0.195000,0.088537,0.105481
6799,0.180000,0.180000,0.088508,0.086504
6999,0.179118,0.150000,0.087546,0.048924
7199,0.179429,0.190000,0.087939,0.099024
7399,0.179444,0.180000,0.087990,0.088332
7599,0.178108,0.130000,0.086520,0.028882
7799,0.178684,0.200000,0.087187,0.109404
7999,0.179103,0.195000,0.087681,0.105257
8199,0.179125,0.180000,0.087731,0.087292
8399,0.179146,0.180000,0.087764,0.085638
8599,0.178095,0.135000,0.086598,0.037740
8799,0.178372,0.190000,0.086893,0.097996
8999,0.178523,0.185000,0.087047,0.091618
9199,0.178444,0.175000,0.086975,0.079678
9399,0.178152,0.165000,0.086644,0.066570
9599,0.178404,0.190000,0.086941,0.096486
9799,0.178437,0.180000,0.086987,0.085408
9999,0.178061,0.160000,0.086577,0.065317
10199,0.178000,0.175000,0.086502,0.079678
10399,0.177941,0.175000,0.086397,0.075682
10599,0.178269,0.195000,0.086775,0.104710
10799,0.177453,0.135000,0.085866,0.037659
10999,0.178426,0.230000,0.086949,0.142443
11199,0.178273,0.170000,0.086771,0.076110
11399,0.177500,0.135000,0.085913,0.033195
11599,0.177281,0.165000,0.085684,0.067924
11799,0.178793,0.265000,0.087364,0.181514
11999,0.179576,0.225000,0.088242,0.137067
12199,0.179833,0.195000,0.088528,0.101913
12399,0.179590,0.165000,0.088265,0.071707
12599,0.179516,0.175000,0.088193,0.083053
12799,0.179286,0.165000,0.087935,0.066726
12999,0.179375,0.185000,0.088051,0.092023
13199,0.178846,0.145000,0.087455,0.048176
13399,0.178333,0.145000,0.086908,0.047539
13599,0.178731,0.205000,0.087355,0.113836
13799,0.178235,0.145000,0.086802,0.046530
13999,0.178913,0.225000,0.087571,0.133788
14199,0.178643,0.160000,0.087274,0.066511
14399,0.178662,0.180000,0.087297,0.088838
14599,0.179097,0.210000,0.087776,0.117220
14799,0.178973,0.170000,0.087632,0.073842
14999,0.179054,0.185000,0.087734,0.089029
15199,0.178933,0.170000,0.087602,0.074281
15399,0.178355,0.135000,0.086962,0.037847
15599,0.178312,0.175000,0.086891,0.074282
15799,0.178462,0.190000,0.087058,0.097795
15999,0.178418,0.175000,0.087013,0.084147
16199,0.178000,0.145000,0.086545,0.048123
16399,0.178148,0.190000,0.086706,0.097040
16599,0.178598,0.215000,0.087189,0.122758
16799,0.178313,0.155000,0.086867,0.059334
16999,0.177619,0.120000,0.086120,0.018378
17199,0.177706,0.185000,0.086212,0.093286
17399,0.177849,0.190000,0.086378,0.098748
17599,0.177471,0.145000,0.085951,0.045998
17799,0.177898,0.215000,0.086430,0.121555
17999,0.178315,0.215000,0.086902,0.126978
18199,0.178167,0.165000,0.086740,0.072300
18399,0.178022,0.165000,0.086578,0.069845
18599,0.177446,0.125000,0.085936,0.026073
18799,0.177043,0.140000,0.085502,0.041275
18999,0.176968,0.170000,0.085418,0.075029
19199,0.176421,0.125000,0.084813,0.024390
19399,0.176146,0.150000,0.084505,0.052819
19599,0.175876,0.150000,0.084212,0.054321
19799,0.175714,0.160000,0.084033,0.065758
19999,0.175303,0.135000,0.083576,0.037445
