# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.pokerhand.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.750000,0.750000,0.529744,0.529744
599,0.802500,0.855000,0.627508,0.448879
799,0.830000,0.885000,0.673185,0.769308
999,0.838750,0.865000,0.710291,0.621875
1199,0.849000,0.890000,0.725885,0.610482
1399,0.848333,0.845000,0.716994,0.549811
1599,0.847143,0.840000,0.705864,0.518072
1799,0.840000,0.790000,0.686096,0.498507
1999,0.844444,0.880000,0.707407,0.639640
2199,0.850000,0.900000,0.724253,0.754872
2399,0.852273,0.875000,0.724610,0.410447
2599,0.856250,0.900000,0.726331,0.435746
2799,0.857692,0.875000,0.723773,0.552773
2999,0.860357,0.895000,0.723097,0.557522
3199,0.861000,0.870000,0.720588,0.644420
3399,0.864375,0.915000,0.737337,0.547812
3599,0.867353,0.915000,0.745450,0.799469
3799,0.872222,0.955000,0.751137,0.670932
3999,0.875789,0.940000,0.753480,0.373695
4199,0.876750,0.895000,0.751420,0.495192
4399,0.879286,0.930000,0.752559,0.656442
4599,0.871364,0.705000,0.737697,0.452385
4799,0.868913,0.815000,0.731975,0.575323
4999,0.866250,0.805000,0.725517,0.540311
5199,0.863000,0.785000,0.718032,0.495335
5399,0.856923,0.705000,0.707086,0.447591
5599,0.858333,0.895000,0.719807,0.685864
5799,0.859107,0.880000,0.720426,0.737963
5999,0.860517,0.900000,0.720263,0.608534
6199,0.858167,0.790000,0.713338,0.381716
6399,0.857097,0.825000,0.709120,0.505230
6599,0.855781,0.815000,0.710492,0.613173
6799,0.856970,0.895000,0.717456,0.758092
6999,0.856765,0.850000,0.714290,0.293952
7199,0.857857,0.895000,0.713832,0.546240
7399,0.859028,0.900000,0.714246,0.693956
7599,0.858649,0.845000,0.716031,0.691404
7799,0.860395,0.925000,0.722528,0.755561
7999,0.861538,0.905000,0.722107,0.246032
8199,0.863500,0.940000,0.723671,0.693878
8399,0.864634,0.910000,0.723801,0.614973
8599,0.860833,0.705000,0.716542,0.437023
8799,0.859302,0.795000,0.712741,0.513815
8999,0.857159,0.765000,0.708476,0.527068
9199,0.856000,0.805000,0.709909,0.534134
9399,0.856196,0.865000,0.712363,0.762742
9599,0.855851,0.840000,0.710207,0.508260
9799,0.856146,0.870000,0.709421,0.616915
9999,0.854592,0.780000,0.708200,0.591875
10199,0.854700,0.860000,0.710819,0.697526
10399,0.854804,0.860000,0.709649,0.554778
10599,0.855288,0.880000,0.709322,0.639206
10799,0.855755,0.880000,0.712543,0.693408
10999,0.855833,0.860000,0.711898,0.660215
11199,0.856273,0.880000,0.711159,0.486301
11399,0.854732,0.770000,0.707824,0.500516
11599,0.853333,0.775000,0.704536,0.452188
11799,0.851121,0.725000,0.700302,0.470466
11999,0.850169,0.795000,0.701895,0.449110
12199,0.849417,0.805000,0.700732,0.636905
12399,0.849262,0.840000,0.699561,0.587788
12599,0.849113,0.840000,0.702441,0.654204
12799,0.848254,0.795000,0.700339,0.553863
12999,0.847031,0.770000,0.697447,0.485804
13199,0.846692,0.825000,0.698821,0.585676
13399,0.846742,0.850000,0.697509,0.333555
13599,0.845746,0.780000,0.695829,0.590564
13799,0.844338,0.750000,0.692945,0.484828
13999,0.843551,0.790000,0.693831,0.574447
14199,0.842500,0.770000,0.691178,0.459840
14399,0.841831,0.795000,0.691866,0.566138
14599,0.841319,0.805000,0.690000,0.469676
14799,0.840548,0.785000,0.689949,0.571414
14999,0.839595,0.770000,0.687681,0.489513
15199,0.838333,0.745000,0.686341,0.554799
15399,0.837368,0.765000,0.684920,0.585355
15599,0.835909,0.725000,0.683295,0.503744
15799,0.834808,0.750000,0.681783,0.550299
15999,0.833101,0.700000,0.679435,0.490900
16199,0.831625,0.715000,0.678244,0.482101
16399,0.831111,0.790000,0.677751,0.635638
16599,0.829878,0.730000,0.676863,0.590257
16799,0.828614,0.725000,0.677265,0.541342
16999,0.829226,0.880000,0.680809,0.668417
17199,0.829471,0.850000,0.683481,0.583044
17399,0.830698,0.935000,0.687618,0.795340
17599,0.831149,0.870000,0.690379,0.652081
17799,0.831364,0.850000,0.692367,0.535999
17999,0.831236,0.820000,0.694022,0.565191
18199,0.830722,0.785000,0.694725,0.447904
18399,0.830275,0.790000,0.695599,0.501986
18599,0.830761,0.875000,0.697555,0.581099
18799,0.831559,0.905000,0.699800,0.611293
18999,0.832553,0.925000,0.702136,0.592391
19199,0.833053,0.880000,0.703851,0.593771
19399,0.833333,0.860000,0.705117,0.533644
19599,0.833814,0.880000,0.706879,0.664921
19799,0.833776,0.830000,0.709554,0.740270
19999,0.834949,0.950000,0.715665,0.729291
