# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.rbf_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.525000,0.525000,0.049049,0.049049
599,0.485000,0.445000,-0.030335,-0.109113
799,0.523333,0.600000,0.046285,0.199600
999,0.522500,0.520000,0.044331,0.038076
1199,0.527000,0.545000,0.053394,0.089636
1399,0.516667,0.465000,0.033129,-0.068077
1599,0.525000,0.575000,0.049946,0.149149
1799,0.531875,0.580000,0.064092,0.158317
1999,0.525000,0.470000,0.050401,-0.068548
2199,0.524000,0.515000,0.048293,0.028835
2399,0.527727,0.565000,0.055642,0.129478
2599,0.526250,0.510000,0.052850,0.023807
2799,0.528077,0.550000,0.056526,0.099189
2999,0.523214,0.460000,0.046795,-0.086957
3199,0.518333,0.450000,0.037015,-0.103531
3399,0.517500,0.505000,0.035295,0.003021
3599,0.519412,0.550000,0.038967,0.086016
3799,0.518056,0.495000,0.036215,-0.010000
3999,0.516579,0.490000,0.033252,-0.021225
4199,0.513500,0.455000,0.027015,-0.085657
4399,0.515238,0.550000,0.030439,0.093473
4599,0.514318,0.495000,0.028600,-0.005175
4799,0.516087,0.555000,0.032147,0.110000
4999,0.516875,0.535000,0.033662,0.061743
5199,0.516000,0.495000,0.031942,-0.010000
5399,0.514038,0.465000,0.028054,-0.067438
5599,0.514074,0.515000,0.028148,0.023162
5799,0.512679,0.475000,0.025361,-0.050630
5999,0.511897,0.490000,0.023809,-0.039649
6199,0.512000,0.515000,0.023996,0.020400
6399,0.513548,0.560000,0.027051,0.108138
6599,0.515312,0.570000,0.030559,0.138190
6799,0.516818,0.565000,0.033664,0.099192
6999,0.516765,0.515000,0.033562,0.030388
7199,0.517571,0.545000,0.035164,0.090546
7399,0.516528,0.480000,0.033078,-0.040000
7599,0.514459,0.440000,0.028928,-0.116984
7799,0.514737,0.525000,0.029534,0.044266
7999,0.513333,0.460000,0.026726,-0.080324
8199,0.513750,0.530000,0.027535,0.041599
8399,0.513415,0.500000,0.026869,0.000000
8599,0.514048,0.540000,0.028123,0.079171
8799,0.513953,0.510000,0.027983,0.033531
8999,0.513636,0.500000,0.027331,-0.001603
9199,0.514333,0.545000,0.028725,0.090000
9399,0.513804,0.490000,0.027688,-0.016746
9599,0.515213,0.580000,0.030487,0.157979
9799,0.516771,0.590000,0.033633,0.182941
9999,0.517857,0.570000,0.035696,0.138017
10199,0.519600,0.605000,0.039208,0.207623
10399,0.519216,0.500000,0.038435,0.000500
10599,0.520673,0.595000,0.041397,0.194831
10799,0.520849,0.530000,0.041744,0.057739
10999,0.521296,0.545000,0.042646,0.088359
11199,0.521818,0.550000,0.043697,0.100989
11399,0.521964,0.530000,0.043988,0.059530
11599,0.521228,0.480000,0.042590,-0.007752
11799,0.521207,0.520000,0.042497,0.035370
11999,0.520932,0.505000,0.041946,0.009009
12199,0.521500,0.555000,0.043058,0.104087
12399,0.522213,0.565000,0.044471,0.128431
12599,0.521935,0.505000,0.043862,0.004024
12799,0.521667,0.505000,0.043298,0.007021
12999,0.522266,0.560000,0.044466,0.118148
13199,0.522154,0.515000,0.044290,0.036360
13399,0.521742,0.495000,0.043468,-0.010000
13599,0.520448,0.435000,0.040908,-0.133173
13799,0.520515,0.525000,0.041004,0.037877
13999,0.520435,0.515000,0.040790,0.019806
14199,0.520500,0.525000,0.040940,0.048859
14399,0.521127,0.565000,0.042211,0.128955
14599,0.521736,0.565000,0.043418,0.127907
14799,0.521301,0.490000,0.042516,-0.019083
14999,0.521554,0.540000,0.043034,0.080827
15199,0.521133,0.490000,0.042164,-0.021635
15399,0.520724,0.490000,0.041376,-0.010001
15599,0.520844,0.530000,0.041600,0.055466
15799,0.520897,0.525000,0.041690,0.046568
15999,0.520443,0.485000,0.040671,-0.064489
16199,0.519875,0.475000,0.039510,-0.054429
16399,0.518765,0.430000,0.037306,-0.136364
16599,0.518780,0.520000,0.037332,0.039616
16799,0.518373,0.485000,0.036497,-0.034137
16999,0.517619,0.455000,0.034951,-0.097905
17199,0.518000,0.550000,0.035771,0.098828
17399,0.517733,0.495000,0.035214,-0.016097
17599,0.518103,0.550000,0.035925,0.095659
17799,0.517784,0.490000,0.035292,-0.019490
17999,0.518258,0.560000,0.036178,0.115489
18199,0.517278,0.430000,0.034215,-0.140000
18399,0.517418,0.530000,0.034452,0.052706
18599,0.517283,0.505000,0.034218,0.006024
18799,0.517742,0.560000,0.035202,0.127417
18999,0.517872,0.530000,0.035447,0.060000
19199,0.517684,0.500000,0.035104,-0.003613
19399,0.517344,0.485000,0.034440,-0.030618
19599,0.517216,0.505000,0.034212,0.008215
19799,0.517143,0.510000,0.034119,0.015570
19999,0.516919,0.495000,0.033683,-0.008789
