# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.sea_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.760000,0.760000,0.511798,0.511798
599,0.782500,0.805000,0.559650,0.607646
799,0.765000,0.730000,0.522131,0.447231
999,0.757500,0.735000,0.504587,0.449179
1199,0.751000,0.725000,0.490381,0.432639
1399,0.755000,0.775000,0.500204,0.546737
1599,0.745714,0.690000,0.484178,0.380000
1799,0.743750,0.730000,0.478869,0.438436
1999,0.737778,0.690000,0.467180,0.374306
2199,0.733000,0.690000,0.457390,0.369919
2399,0.736818,0.775000,0.462495,0.497544
2599,0.737917,0.750000,0.465050,0.492695
2799,0.733462,0.680000,0.457046,0.358460
2999,0.727857,0.655000,0.445945,0.302467
3199,0.725000,0.685000,0.440400,0.363379
3399,0.725000,0.725000,0.440645,0.444220
3599,0.727941,0.775000,0.446486,0.541284
3799,0.728333,0.735000,0.448276,0.470106
3999,0.732368,0.805000,0.456168,0.599343
4199,0.728750,0.660000,0.448785,0.308943
4399,0.726905,0.690000,0.445005,0.369919
4599,0.727500,0.740000,0.446124,0.469604
4799,0.728043,0.740000,0.447936,0.480779
4999,0.732292,0.830000,0.456899,0.658806
5199,0.731400,0.710000,0.454602,0.393813
5399,0.730000,0.695000,0.451433,0.371134
5599,0.730185,0.735000,0.451016,0.426655
5799,0.731250,0.760000,0.452554,0.488218
5999,0.730690,0.715000,0.451358,0.417892
6199,0.730000,0.710000,0.450232,0.416792
6399,0.731129,0.765000,0.451987,0.500000
6599,0.731563,0.745000,0.453717,0.489285
6799,0.733636,0.800000,0.458247,0.598555
6999,0.733235,0.720000,0.457839,0.440895
7199,0.734000,0.760000,0.459259,0.507591
7399,0.734028,0.735000,0.459090,0.451232
7599,0.733378,0.710000,0.457841,0.412955
7799,0.733816,0.750000,0.458649,0.488700
7999,0.733077,0.705000,0.456866,0.384519
8199,0.733750,0.760000,0.458275,0.514759
8399,0.732805,0.695000,0.456371,0.380333
8599,0.734762,0.815000,0.460303,0.622063
8799,0.736163,0.795000,0.462871,0.570140
8999,0.736364,0.745000,0.463174,0.475848
9199,0.736556,0.745000,0.463100,0.448649
9399,0.735217,0.675000,0.460082,0.315501
9599,0.735532,0.750000,0.460912,0.496830
9799,0.736042,0.760000,0.461912,0.509152
9999,0.736327,0.750000,0.462424,0.487337
10199,0.736100,0.725000,0.462121,0.446123
10399,0.735686,0.715000,0.461315,0.422141
10599,0.735769,0.740000,0.461272,0.456067
10799,0.736509,0.775000,0.462501,0.524011
10999,0.736481,0.735000,0.462114,0.433155
11199,0.736364,0.730000,0.461879,0.449261
11399,0.735804,0.705000,0.460757,0.399430
11599,0.734649,0.670000,0.457847,0.253816
11799,0.735086,0.760000,0.458335,0.475983
11999,0.735763,0.775000,0.459137,0.485479
12199,0.736417,0.775000,0.459929,0.489217
12399,0.736967,0.770000,0.460246,0.429846
12599,0.736613,0.715000,0.458721,0.296991
12799,0.737143,0.770000,0.459090,0.447115
12999,0.737812,0.780000,0.459784,0.476253
13199,0.737308,0.705000,0.458049,0.294427
13399,0.737121,0.725000,0.457217,0.385475
13599,0.737015,0.730000,0.456420,0.374348
13799,0.736397,0.695000,0.454679,0.314453
13999,0.736667,0.755000,0.454656,0.431818
14199,0.737000,0.760000,0.454700,0.428639
14399,0.737958,0.805000,0.455910,0.514079
14599,0.738542,0.780000,0.456645,0.499488
14799,0.739384,0.800000,0.457772,0.525223
14999,0.738716,0.690000,0.455858,0.281992
15199,0.738800,0.745000,0.455774,0.445290
15399,0.738618,0.725000,0.455083,0.396400
15599,0.739026,0.770000,0.455278,0.442086
15799,0.738974,0.735000,0.454959,0.426779
15999,0.739430,0.775000,0.455258,0.452155
16199,0.740563,0.830000,0.456964,0.583690
16399,0.740988,0.775000,0.457337,0.471707
16599,0.741524,0.785000,0.457982,0.499767
16799,0.741566,0.745000,0.457684,0.421900
16999,0.741131,0.705000,0.456154,0.279961
17199,0.741176,0.745000,0.455996,0.437831
17399,0.741802,0.795000,0.456680,0.494327
17599,0.742529,0.805000,0.457791,0.550069
17799,0.742841,0.770000,0.457965,0.458058
17999,0.743427,0.795000,0.458767,0.522923
18199,0.744278,0.820000,0.460356,0.607158
18399,0.744396,0.755000,0.459952,0.382249
18599,0.744620,0.765000,0.459954,0.443128
18799,0.744731,0.755000,0.459377,0.333696
18999,0.744574,0.730000,0.458541,0.352130
19199,0.745105,0.795000,0.458924,0.456954
19399,0.744948,0.730000,0.458303,0.389417
19599,0.744897,0.740000,0.458028,0.430823
19799,0.744541,0.710000,0.456502,0.216534
19999,0.744242,0.715000,0.455146,0.245633
