# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] LeverageBagging(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.LeverageBagging.stagger_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,1.000000,1.000000,1.000000,1.000000
599,1.000000,1.000000,1.000000,1.000000
799,1.000000,1.000000,1.000000,1.000000
999,1.000000,1.000000,1.000000,1.000000
1199,1.000000,1.000000,1.000000,1.000000
1399,1.000000,1.000000,1.000000,1.000000
1599,1.000000,1.000000,1.000000,1.000000
1799,1.000000,1.000000,1.000000,1.000000
1999,1.000000,1.000000,1.000000,1.000000
2199,1.000000,1.000000,1.000000,1.000000
2399,1.000000,1.000000,1.000000,1.000000
2599,1.000000,1.000000,1.000000,1.000000
2799,1.000000,1.000000,1.000000,1.000000
2999,1.000000,1.000000,1.000000,1.000000
3199,1.000000,1.000000,1.000000,1.000000
3399,1.000000,1.000000,1.000000,1.000000
3599,1.000000,1.000000,1.000000,1.000000
3799,1.000000,1.000000,1.000000,1.000000
3999,0.999737,0.995000,0.999466,0.989646
4199,0.999750,1.000000,0.999492,1.000000
4399,0.999762,1.000000,0.999515,1.000000
4599,0.999773,1.000000,0.999539,1.000000
4799,0.999565,0.995000,0.999118,0.989944
4999,0.999583,1.000000,0.999154,1.000000
5199,0.999600,1.000000,0.999188,1.000000
5399,0.999615,1.000000,0.999219,1.000000
5599,0.999630,1.000000,0.999248,1.000000
5799,0.999643,1.000000,0.999275,1.000000
5999,0.999655,1.000000,0.999300,1.000000
6199,0.999667,1.000000,0.999323,1.000000
6399,0.999677,1.000000,0.999345,1.000000
6599,0.999687,1.000000,0.999366,1.000000
6799,0.999697,1.000000,0.999385,1.000000
6999,0.999706,1.000000,0.999404,1.000000
7199,0.999714,1.000000,0.999421,1.000000
7399,0.999722,1.000000,0.999437,1.000000
7599,0.999730,1.000000,0.999453,1.000000
7799,0.999737,1.000000,0.999467,1.000000
7999,0.999744,1.000000,0.999481,1.000000
8199,0.999750,1.000000,0.999494,1.000000
8399,0.999756,1.000000,0.999506,1.000000
8599,0.999762,1.000000,0.999518,1.000000
8799,0.999767,1.000000,0.999529,1.000000
8999,0.999773,1.000000,0.999540,1.000000
9199,0.999778,1.000000,0.999550,1.000000
9399,0.999783,1.000000,0.999560,1.000000
9599,0.999787,1.000000,0.999570,1.000000
9799,0.999792,1.000000,0.999579,1.000000
9999,0.999796,1.000000,0.999587,1.000000
10199,0.999800,1.000000,0.999595,1.000000
10399,0.999804,1.000000,0.999603,1.000000
10599,0.999615,0.990000,0.999222,0.979968
10799,0.999245,0.980000,0.998473,0.958519
10999,0.998148,0.940000,0.996254,0.879020
11199,0.996000,0.880000,0.991908,0.757110
11399,0.992143,0.780000,0.984099,0.546532
11599,0.987982,0.755000,0.975673,0.496092
11799,0.984483,0.785000,0.968580,0.555050
11999,0.983644,0.935000,0.966857,0.856670
12199,0.982417,0.910000,0.964342,0.800885
12399,0.982213,0.970000,0.963892,0.929874
12599,0.982097,0.975000,0.963637,0.946820
12799,0.981984,0.975000,0.963383,0.945247
12999,0.981953,0.980000,0.963289,0.954792
13199,0.982077,0.990000,0.963510,0.977558
13399,0.982348,1.000000,0.964026,1.000000
13599,0.982537,0.995000,0.964387,0.989047
13799,0.982794,1.000000,0.964860,1.000000
13999,0.983043,1.000000,0.965327,1.000000
14199,0.983214,0.995000,0.965657,0.989182
14399,0.983451,1.000000,0.966128,1.000000
14599,0.983681,1.000000,0.966569,1.000000
14799,0.983904,1.000000,0.967010,1.000000
14999,0.984122,1.000000,0.967430,1.000000
15199,0.984267,0.995000,0.967729,0.989785
15399,0.984474,1.000000,0.968147,1.000000
15599,0.984610,0.995000,0.968410,0.989116
15799,0.984808,1.000000,0.968809,1.000000
15999,0.984873,0.990000,0.968923,0.977721
16199,0.985062,1.000000,0.969287,1.000000
16399,0.985247,1.000000,0.969647,1.000000
16599,0.985427,1.000000,0.970009,1.000000
16799,0.985602,1.000000,0.970344,1.000000
16999,0.985714,0.995000,0.970559,0.989047
17199,0.985882,1.000000,0.970882,1.000000
17399,0.986047,1.000000,0.971209,1.000000
17599,0.986207,1.000000,0.971531,1.000000
17799,0.986364,1.000000,0.971827,1.000000
17999,0.986517,1.000000,0.972128,1.000000
18199,0.986667,1.000000,0.972437,1.000000
18399,0.986813,1.000000,0.972707,1.000000
18599,0.986957,1.000000,0.972984,1.000000
18799,0.987097,1.000000,0.973245,1.000000
18999,0.987234,1.000000,0.973517,1.000000
19199,0.987368,1.000000,0.973789,1.000000
19399,0.987500,1.000000,0.974042,1.000000
19599,0.987629,1.000000,0.974301,1.000000
19799,0.987704,0.995000,0.974447,0.989116
19999,0.987828,1.000000,0.974691,1.000000
