# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] NaiveBayes(nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.NaiveBayes.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.810000,0.810000,0.623203,0.623203
599,0.800000,0.790000,0.603803,0.584364
799,0.820000,0.860000,0.641894,0.708455
999,0.841250,0.905000,0.682976,0.807575
1199,0.835000,0.810000,0.666545,0.150838
1399,0.834167,0.830000,0.654634,0.426934
1599,0.832857,0.825000,0.639686,0.360847
1799,0.835625,0.855000,0.652063,0.710174
1999,0.836111,0.840000,0.652319,0.656652
2199,0.830500,0.780000,0.636061,0.443883
2399,0.800909,0.505000,0.573217,0.140625
2599,0.804583,0.845000,0.581633,0.672581
2799,0.797692,0.715000,0.567671,0.426905
2999,0.808929,0.955000,0.586577,0.872086
3199,0.810667,0.835000,0.592965,0.670000
3399,0.813438,0.855000,0.603710,0.714342
3599,0.820588,0.935000,0.617812,0.855876
3799,0.820833,0.825000,0.612112,0.155405
3999,0.819211,0.790000,0.608083,0.540733
4199,0.815500,0.745000,0.596294,0.243772
4399,0.811190,0.725000,0.582407,0.093008
4599,0.815000,0.895000,0.594637,0.790042
4799,0.817609,0.875000,0.600046,0.721169
4999,0.815625,0.770000,0.591553,0.182803
5199,0.817600,0.865000,0.599171,0.732355
5399,0.809038,0.595000,0.579263,0.108911
5599,0.809630,0.825000,0.579556,0.584027
5799,0.813571,0.920000,0.590495,0.840622
5999,0.811207,0.745000,0.584098,0.381818
6199,0.811833,0.830000,0.588610,0.668454
6399,0.811774,0.810000,0.588107,0.571734
6599,0.812187,0.825000,0.586508,0.463519
6799,0.810455,0.755000,0.582538,0.462601
6999,0.806471,0.675000,0.573252,0.276653
7199,0.802143,0.655000,0.563271,0.237738
7399,0.791389,0.415000,0.541271,0.053857
7599,0.788378,0.680000,0.534534,0.308855
7799,0.783421,0.600000,0.525981,0.266055
7999,0.786410,0.900000,0.534673,0.800658
8199,0.789750,0.920000,0.544016,0.840510
8399,0.792195,0.890000,0.551436,0.782609
8599,0.793214,0.835000,0.555465,0.670396
8799,0.792093,0.745000,0.554653,0.510369
8999,0.793977,0.875000,0.560109,0.750000
9199,0.795111,0.845000,0.563269,0.688066
9399,0.796304,0.850000,0.566966,0.702145
9599,0.796170,0.790000,0.568694,0.565397
9799,0.796771,0.825000,0.569945,0.629237
9999,0.795204,0.720000,0.567177,0.453925
