# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBagging(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBagging.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.710000,0.710000,0.419012,0.419012
599,0.705000,0.700000,0.412818,0.406235
799,0.753333,0.850000,0.508806,0.687630
999,0.757500,0.770000,0.515560,0.536244
1199,0.765000,0.795000,0.524811,0.189723
1399,0.776667,0.835000,0.535364,0.465847
1599,0.795714,0.910000,0.562904,0.716981
1799,0.793750,0.780000,0.568975,0.562450
1999,0.779444,0.665000,0.538114,0.288898
2199,0.775000,0.735000,0.523728,0.350808
2399,0.772727,0.750000,0.522656,0.527812
2599,0.771250,0.755000,0.519130,0.480382
2799,0.772692,0.790000,0.523868,0.578947
2999,0.776071,0.820000,0.528127,0.588665
3199,0.775333,0.765000,0.529527,0.540926
3399,0.779375,0.840000,0.541587,0.681814
3599,0.786176,0.895000,0.554818,0.774194
3799,0.788611,0.830000,0.553522,0.191439
3999,0.792368,0.860000,0.561310,0.704485
4199,0.796750,0.880000,0.567857,0.690043
4399,0.795238,0.765000,0.560693,0.291955
4599,0.797500,0.845000,0.569582,0.689192
4799,0.800870,0.875000,0.576823,0.735450
4999,0.802083,0.830000,0.576323,0.496818
5199,0.801600,0.790000,0.578107,0.587264
5399,0.795769,0.650000,0.564992,0.255319
5599,0.797037,0.830000,0.566664,0.609195
5799,0.794286,0.720000,0.563595,0.465700
5999,0.794310,0.795000,0.563382,0.556757
6199,0.793833,0.780000,0.564869,0.556675
6399,0.793710,0.790000,0.564837,0.564992
6599,0.795000,0.835000,0.565374,0.526134
6799,0.795455,0.810000,0.566034,0.593844
6999,0.794706,0.770000,0.564293,0.512763
7199,0.791714,0.690000,0.557262,0.328423
7399,0.788056,0.660000,0.551369,0.359940
7599,0.787162,0.755000,0.550300,0.505550
7799,0.787763,0.810000,0.554158,0.598309
7999,0.788846,0.830000,0.558050,0.658051
8199,0.789375,0.810000,0.560632,0.617244
8399,0.792439,0.915000,0.568627,0.825641
8599,0.792857,0.810000,0.570349,0.620190
8799,0.794302,0.855000,0.574583,0.704624
8999,0.795000,0.825000,0.577106,0.650000
9199,0.796778,0.875000,0.581131,0.749348
9399,0.794674,0.700000,0.577733,0.412686
9599,0.794255,0.775000,0.577704,0.545546
9799,0.794792,0.820000,0.578902,0.635332
9999,0.794796,0.795000,0.579311,0.592040
