# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.agrawal_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.715000,0.715000,-0.015319,-0.015319
599,0.682500,0.650000,-0.003794,0.000428
799,0.655000,0.600000,0.028230,0.049430
999,0.636250,0.580000,0.032499,0.022915
1199,0.619000,0.550000,0.007213,-0.088008
1399,0.616667,0.605000,0.007876,0.014963
1599,0.606429,0.545000,0.002632,-0.039050
1799,0.595625,0.520000,-0.009967,-0.100287
1999,0.593333,0.575000,0.005735,0.084644
2199,0.587500,0.535000,-0.009434,-0.143911
2399,0.588636,0.600000,0.007497,0.139785
2599,0.587500,0.575000,0.011038,0.050279
2799,0.587692,0.590000,0.011359,0.025665
2999,0.585357,0.555000,0.003519,-0.093635
3199,0.586333,0.600000,0.000518,-0.053325
3399,0.590000,0.645000,0.002281,0.020419
3599,0.592941,0.640000,0.006241,0.072165
3799,0.594444,0.620000,0.004215,-0.042381
3999,0.596053,0.625000,0.001782,-0.065947
4199,0.596000,0.595000,-0.001259,-0.059655
4399,0.596190,0.600000,-0.003017,-0.039501
4599,0.596818,0.610000,-0.002758,0.003067
4799,0.598043,0.625000,0.000673,0.075444
4999,0.600000,0.645000,0.004115,0.085052
5199,0.599800,0.595000,0.002585,-0.035541
5399,0.598846,0.575000,0.000939,-0.039628
5599,0.600185,0.635000,0.001290,0.014046
5799,0.601250,0.630000,0.002404,0.033564
5999,0.600172,0.570000,-0.000237,-0.072319
6199,0.599333,0.575000,-0.004117,-0.125828
6399,0.599839,0.615000,-0.006425,-0.097179
6599,0.601875,0.665000,-0.001993,0.142125
6799,0.601515,0.590000,-0.003839,-0.065489
6999,0.600147,0.555000,-0.005810,-0.069969
7199,0.600000,0.595000,-0.005930,-0.009975
7399,0.599306,0.575000,-0.004626,0.027460
7599,0.599459,0.605000,-0.004639,-0.005345
7799,0.598289,0.555000,-0.004311,-0.001125
7999,0.598974,0.625000,-0.001003,0.114522
8199,0.599375,0.615000,0.000952,0.076074
8399,0.599512,0.605000,0.002172,0.048651
8599,0.598929,0.575000,0.000161,-0.070259
8799,0.598605,0.585000,-0.000181,-0.009978
8999,0.599091,0.620000,0.000441,0.028630
9199,0.600333,0.655000,0.001699,0.055053
9399,0.601304,0.645000,0.001875,0.000282
9599,0.601809,0.625000,0.002897,0.050633
9799,0.602812,0.650000,0.003658,0.039912
9999,0.603571,0.640000,0.005118,0.076331
10199,0.604000,0.625000,0.005586,0.028749
10399,0.604608,0.635000,0.005659,0.007343
10599,0.605192,0.635000,0.005603,-0.004127
10799,0.605000,0.595000,0.005655,0.009780
10999,0.603796,0.540000,0.003129,-0.126899
11199,0.603182,0.570000,0.001641,-0.077019
11399,0.604196,0.660000,0.003854,0.127646
11599,0.602807,0.525000,0.003874,-0.019970
11799,0.602069,0.560000,0.006935,0.092409
11999,0.600085,0.485000,0.007140,-0.034552
12199,0.598583,0.510000,0.008370,-0.000408
12399,0.596885,0.495000,0.009607,-0.025589
12599,0.595484,0.510000,0.011905,0.012594
12799,0.593651,0.480000,0.012529,-0.051036
12999,0.590781,0.410000,0.012117,-0.176236
13199,0.589923,0.535000,0.015515,0.068883
13399,0.587803,0.450000,0.014329,-0.121533
13599,0.586866,0.525000,0.017573,0.050570
13799,0.585441,0.490000,0.019031,-0.021635
13999,0.583696,0.465000,0.019231,-0.073866
14199,0.582000,0.465000,0.018575,-0.087619
14399,0.581056,0.515000,0.020795,0.035785
14599,0.580139,0.515000,0.021896,0.018219
14799,0.579178,0.510000,0.023746,0.019510
14999,0.578446,0.525000,0.025277,0.043303
15199,0.577933,0.540000,0.027341,0.075563
15399,0.576908,0.500000,0.027697,-0.009999
15599,0.577208,0.600000,0.031056,0.191511
15799,0.576410,0.515000,0.032017,0.024537
15999,0.575000,0.465000,0.031087,-0.085193
16199,0.573875,0.485000,0.031207,-0.034344
16399,0.572901,0.495000,0.030951,-0.028932
16599,0.572195,0.515000,0.031698,0.022375
16799,0.571687,0.530000,0.033055,0.058588
16999,0.571190,0.530000,0.034425,0.059342
17199,0.570000,0.470000,0.034133,-0.061380
17399,0.569012,0.485000,0.034713,-0.028765
17599,0.568506,0.525000,0.036126,0.054162
17799,0.567330,0.465000,0.035357,-0.077760
17999,0.566517,0.495000,0.035667,-0.012024
18199,0.565500,0.475000,0.035821,-0.049370
18399,0.564560,0.480000,0.035459,-0.041145
18599,0.563967,0.510000,0.035398,0.001121
18799,0.563333,0.505000,0.034966,-0.019988
18999,0.562234,0.460000,0.033760,-0.095335
19199,0.561474,0.490000,0.033244,-0.020000
19399,0.561094,0.525000,0.034359,0.049810
19599,0.561186,0.570000,0.036117,0.140000
19799,0.560357,0.480000,0.035837,-0.043653
19999,0.560202,0.545000,0.036180,0.072942
