# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.covtype.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.790000,0.790000,0.668952,0.668952
599,0.795000,0.800000,0.680788,0.689706
799,0.815000,0.855000,0.733601,0.796212
999,0.798750,0.750000,0.732063,0.695873
1199,0.814000,0.875000,0.765737,0.847607
1399,0.819167,0.845000,0.774365,0.782196
1599,0.815714,0.795000,0.769199,0.716538
1799,0.806875,0.745000,0.760782,0.676396
1999,0.800000,0.745000,0.754686,0.671508
2199,0.797500,0.775000,0.754969,0.675231
2399,0.806364,0.895000,0.766431,0.828228
2599,0.813333,0.890000,0.774445,0.806576
2799,0.811154,0.785000,0.770807,0.598693
2999,0.815714,0.875000,0.774788,0.738275
3199,0.815333,0.810000,0.772099,0.560032
3399,0.814688,0.805000,0.769621,0.692732
3599,0.817353,0.860000,0.771305,0.781838
3799,0.817778,0.825000,0.770473,0.722211
3999,0.819474,0.850000,0.772075,0.788255
4199,0.817000,0.770000,0.768321,0.674739
4399,0.815952,0.795000,0.766752,0.721562
4599,0.816136,0.820000,0.767092,0.746309
4799,0.814130,0.770000,0.765144,0.695978
4999,0.812083,0.765000,0.763549,0.660821
5199,0.809400,0.745000,0.760372,0.611073
5399,0.806923,0.745000,0.757502,0.629158
5599,0.803704,0.720000,0.755493,0.647522
5799,0.802500,0.770000,0.755550,0.703656
5999,0.798966,0.700000,0.752703,0.634759
6199,0.797667,0.760000,0.752182,0.697352
6399,0.797903,0.805000,0.753747,0.748954
6599,0.796875,0.765000,0.753373,0.709814
6799,0.798485,0.850000,0.756191,0.805819
6999,0.798235,0.790000,0.756873,0.716647
7199,0.796286,0.730000,0.755307,0.661887
7399,0.793750,0.705000,0.752927,0.633210
7599,0.790405,0.670000,0.749400,0.580540
7799,0.788684,0.725000,0.747851,0.647187
7999,0.786026,0.685000,0.745545,0.563500
8199,0.785750,0.775000,0.746106,0.633327
8399,0.787805,0.870000,0.749144,0.691468
8599,0.788333,0.810000,0.750238,0.637940
8799,0.786628,0.715000,0.748618,0.506280
8999,0.785000,0.715000,0.747003,0.568443
9199,0.784889,0.780000,0.747041,0.674532
9399,0.784565,0.770000,0.746851,0.632382
9599,0.784362,0.775000,0.746697,0.637009
9799,0.779896,0.570000,0.741711,0.444373
9999,0.778367,0.705000,0.740079,0.475486
10199,0.778300,0.775000,0.740004,0.555643
10399,0.778137,0.770000,0.739878,0.672668
10599,0.775000,0.615000,0.736663,0.248047
10799,0.771792,0.605000,0.733191,0.411414
10999,0.770185,0.685000,0.731400,0.599975
11199,0.769818,0.750000,0.730930,0.683224
11399,0.767232,0.625000,0.727842,0.511751
11599,0.768070,0.815000,0.728668,0.612687
11799,0.768017,0.765000,0.728397,0.549269
11999,0.767712,0.750000,0.727871,0.632109
12199,0.766000,0.665000,0.725714,0.543643
12399,0.764180,0.655000,0.723483,0.545365
12599,0.761371,0.590000,0.720248,0.501535
12799,0.758810,0.600000,0.717324,0.511077
12999,0.757656,0.685000,0.716025,0.586763
13199,0.755462,0.615000,0.713522,0.512751
13399,0.752424,0.555000,0.710091,0.428425
13599,0.752537,0.760000,0.710283,0.514170
13799,0.751176,0.660000,0.708760,0.486230
13999,0.748333,0.555000,0.705521,0.447565
14199,0.747857,0.715000,0.705064,0.614122
14399,0.750704,0.950000,0.708718,0.841371
14599,0.753056,0.920000,0.711742,0.619410
14799,0.754110,0.830000,0.713175,0.584098
14999,0.755270,0.840000,0.714666,0.525996
15199,0.756933,0.880000,0.716630,0.591420
15399,0.758487,0.875000,0.718412,0.538958
15599,0.758377,0.750000,0.718288,0.425320
15799,0.760513,0.925000,0.720621,0.804062
15999,0.761139,0.810000,0.721267,0.640475
16199,0.763062,0.915000,0.723268,0.752637
16399,0.764877,0.910000,0.725109,0.740204
16599,0.767012,0.940000,0.727306,0.829944
16799,0.769458,0.970000,0.729843,0.920755
16999,0.771369,0.930000,0.731755,0.818146
17199,0.773235,0.930000,0.733594,0.830303
17399,0.775581,0.975000,0.735994,0.941813
17599,0.777931,0.980000,0.738354,0.945829
17799,0.779773,0.940000,0.740135,0.850672
17999,0.781910,0.970000,0.742208,0.914353
18199,0.783667,0.940000,0.743817,0.807846
18399,0.785220,0.925000,0.745077,0.597099
18599,0.787228,0.970000,0.746988,0.919936
18799,0.788763,0.930000,0.748341,0.818300
18999,0.790638,0.965000,0.750064,0.898152
19199,0.792211,0.940000,0.751437,0.833795
19399,0.793854,0.950000,0.752903,0.868421
19599,0.795309,0.935000,0.754158,0.834994
19799,0.796735,0.935000,0.755332,0.815393
19999,0.798030,0.925000,0.756213,0.534739
